ID,What is wrong with the link?,Type;Type,URL;URL,Doc Resource Class,Doc Title,Doc Code,Doc Institution,Error
2dab2f70653f4bb8b4f2b51619ec8329_0,Cannot access REST API; but data is accessible through Web Portal: https://data.detroitmi.gov/datasets/911-calls-for-service/explore?location=42.566954%2C-83.567877%2C16.04 ,Download;ArcGIS#FeatureLayer,http://data.detroitmi.gov/datasets/2dab2f70653f4bb8b4f2b51619ec8329_0.zip;https://gis.detroitmi.gov/arcgis/rest/services/OpenData/911CallsForService/FeatureServer/0,"[""Datasets"", ""Web services""]",911 Calls For Service: City of Detroit,07c-01,Detroit Open Data,
fe2f692918a04c13a6cead436e7eaec9_0,Cannot access REST API; but data is accessible through Web Portal: https://data.detroitmi.gov/datasets/blight-violations/explore ,Download;ArcGIS#FeatureLayer,https://data.detroitmi.gov/datasets/fe2f692918a04c13a6cead436e7eaec9_0.zip;https://gis.detroitmi.gov/arcgis/rest/services/OpenData/BlightViolations/FeatureServer/0,"[""Datasets"", ""Web services""]",Blight Violations: City of Detroit,07c-01,Detroit Open Data,
aa3158d40cb6458c873075ce9437649c_0,Cannot access REST API; but data is accessible through Web Portal: https://data.detroitmi.gov/datasets/fire-incidents/explore?location=40.648604%2C-89.787394%2C5.84 ,Download;ArcGIS#FeatureLayer,http://data.detroitmi.gov/datasets/aa3158d40cb6458c873075ce9437649c_0.zip;https://gis.detroitmi.gov/arcgis/rest/services/OpenData/FireIncidents/FeatureServer/0,"[""Datasets"", ""Web services""]",Fire Incidents: City of Detroit,07c-01,Detroit Open Data,
a210575930354d758c12d7f45eebaa2f_0,Cannot access REST API; but data is accessible through Web Portal: https://data.detroitmi.gov/datasets/parcels-2/explore?location=42.352701%2C-83.099134%2C12.20 ,Download;ArcGIS#FeatureLayer,http://data.detroitmi.gov/datasets/a210575930354d758c12d7f45eebaa2f_0.zip;https://gis.detroitmi.gov/arcgis/rest/services/OpenData/Parcels/FeatureServer/0,"[""Datasets"", ""Web services""]",Parcels: City of Detroit,07c-01,Detroit Open Data,
3c36523e359f4d45aee1f173d4b9df29_0,Cannot access REST API; but data is accessible through Web Portal: https://data.detroitmi.gov/datasets/property-sales-1/explore?location=42.353198%2C-83.100800%2C12.15 ,Download;ArcGIS#FeatureLayer,https://data.detroitmi.gov/datasets/3c36523e359f4d45aee1f173d4b9df29_0.zip;https://gis.detroitmi.gov/arcgis/rest/services/OpenData/PropertySales/FeatureServer/0,"[""Datasets"", ""Web services""]",Property Sales: City of Detroit,07c-01,Detroit Open Data,
0825badfe6304620a998d162be0e135e_0,Cannot access REST API; but data is accessible through Web Portal: https://data.detroitmi.gov/datasets/rms-crime-incidents/explore ,Download;ArcGIS#FeatureLayer,https://data.detroitmi.gov/datasets/0825badfe6304620a998d162be0e135e_0.zip;https://gis.detroitmi.gov/arcgis/rest/services/OpenData/RMSCrimeIncidents/FeatureServer/0,"[""Datasets"", ""Web services""]",RMS Crime Incidents: City of Detroit,07c-01,Detroit Open Data,
f337e36f-83e0-4ca7-b47e-736d98d05ca5,"Data does not exist, or has been removed; Retire record",FGDC;Download,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_mngeo/water_national_hydrography_data/metadata/metadata.html;https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_mngeo/water_national_hydrography_data/shp_water_national_hydrography_data.zip,"[""Datasets""]",National Hydrography Dataset (NHD) - High-Resolution: Minnesota,05a-01,Minnesota Geospatial Commons,
6497acd8-e19a-4482-948f-3312ae16b634,"Data does not exist, or has been removed; Retire record",http://www.isotc211.org/schemas/2005/gmd/,https://gisdata.wisc.edu/public/metadata/Dane_LIDAR_ESRI_2017.xml,"[""Datasets""]","LiDAR-Derived Classified LAS (ESRI) [Dane County, Wisconsin] {2017}",10,WisconsinView,
ddc18a58-6e43-4c5a-80f6-e0ac578e4652,"Data does not exist, or has been removed; Retire record",Information;FGDC;Download,https://gisdata.mn.gov/dataset/water-emergency-response-areas;https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_emergency_response_areas/metadata/metadata.html;https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_emergency_response_areas/shp_water_emergency_response_areas.zip,"[""Datasets""]",Emergency Response Areas (ERA): Minnesota,05a-01,Minnesota Geospatial Commons,
5967807e44e445229d64b70d23081744_0,"Data does not exist, or has been removed; Retire record",Download;ArcGIS#DynamicMapLayer,https://gis-michigan.opendata.arcgis.com/datasets/5967807e44e445229d64b70d23081744_0.zip;https://utility.arcgis.com/usrsvcs/servers/5967807e44e445229d64b70d23081744/rest/services/CSS/ProcurementVendors/MapServer/0,"[""Datasets""]",Procurement Vendors [Michigan],06a-01,State of Michigan Open Data Portal,
7cf4117186c7486290aace6528a24915&sublayer=2,"Data does not exist, or has been removed; Retire record",Download;ArcGIS#DynamicMapLayer,https://gis-michigan.opendata.arcgis.com/datasets/egle::michigan-electric-vehicle-charger-needs-oldgisago.zip;https://utility.arcgis.com/usrsvcs/servers/691601c6e0a5414b839ce5aba748e2d4/rest/services/EGLE/ElectricVechicleChargers/MapServer/1,"[""Datasets""]",Michigan Electric Vehicle Charger Needs  OLDGISAGO [Michigan],06a-01,State of Michigan Open Data Portal,
798659bde6874043bee40491db5cd9a6&sublayer=11,"Data does not exist, or has been removed; Retire record",Download;ArcGIS#DynamicMapLayer,https://gis-michigan.opendata.arcgis.com/datasets/egle::ozone-national-ambient-air-quality-standard-nonattainment-areas-2015-oldgisago.zip;https://utility.arcgis.com/usrsvcs/servers/ae16777fcad44009bb6ef52fa46e0bde/rest/services/EGLE/AirMonitoring/MapServer/14,"[""Datasets""]",Ozone National Ambient Air Quality Standard Nonattainment Areas -  OLDGISAGO [Michigan] {2015},06a-01,State of Michigan Open Data Portal,
7cf4117186c7486290aace6528a24915&sublayer=1,"Data does not exist, or has been removed; Retire record",Download;ArcGIS#DynamicMapLayer,https://gis-michigan.opendata.arcgis.com/datasets/egle::primary-sulfur-dioxide-national-ambient-air-quality-standard-nonattainment-areas-2010-oldgisago.zip;https://utility.arcgis.com/usrsvcs/servers/4b1322098bb94c8ca8c1870ba03520e1/rest/services/EGLE/DrugTakebackLocationsOpenData/MapServer/0,"[""Datasets""]",Household Drug Take Back Locations OLDGISAGO [Michigan],06a-01,State of Michigan Open Data Portal,
7cf4117186c7486290aace6528a24915&sublayer=0,"Data does not exist, or has been removed; Retire record",Download;ArcGIS#DynamicMapLayer,https://gis-michigan.opendata.arcgis.com/datasets/egle::primary-sulfur-dioxide-national-ambient-air-quality-standard-nonattainment-areas-2010-oldgisago.zip;https://utility.arcgis.com/usrsvcs/servers/f8730950c6054a07a3fe27c0c66f24c9/rest/services/EGLE/AirMonitoring/MapServer/13,"[""Datasets""]",Primary Sulfur Dioxide National Ambient Air Quality Standard Nonattainment Areas -   OLDGISAGO [Michigan] {2010},06a-01,State of Michigan Open Data Portal,
651711c6-465b-449a-840f-4220120d20e3,"Data does not exist, or has been removed; Retire record",Download;Information,ftp://ftp.hamiltoncounty.in.gov/GIS/Data/Regulated%20Watersheds/,"[""Datasets""]","Regulated Watersheds: Hamilton County, Indiana",01b-18057,"Hamilton County, Indiana Open Data Collection","#<Net::FTPPermError: 550 The system cannot find the file specified. 
>"
ccd6728d-7b92-4402-8d98-a67afd361450,"Data does not exist, or has been removed; Retire record",Download;Information,http://data.phl.opendata.arcgis.com/datasets/1531a6999c0f40d3b1a6764a0a54f32b_0.zip;https://www.opendataphilly.org/dataset/airport-buildings,"[""Datasets"", ""Web services""]","Airport Terminal Buildings: City of Philadelphia, Pennsylvania",08c-01,OpenDataPhilly,
5bf21a67-a15b-4972-9010-14c2852642d0,"Data does not exist, or has been removed; Retire record",Download;Information,http://data.phl.opendata.arcgis.com/datasets/44a1035a6ddc49b1a4c49a389abf21ac_0.zip;https://www.opendataphilly.org/dataset/airport-airside-pavement,"[""Datasets"", ""Web services""]","Airport Airside Pavement: City of Philadelphia, Pennsylvania",08c-01,OpenDataPhilly,
770a41a8-d8b0-46ed-af06-2c93ca937ca6,"Data does not exist, or has been removed; Retire record",Download;Information,http://data.phl.opendata.arcgis.com/datasets/4df9250e3d624ea090718e56a9018694_0.zip;https://www.opendataphilly.org/dataset/parks-and-recreation-assets,"[""Datasets"", ""Web services""]","Parks & Recreation Assets (HISTORIC): City of Philadelphia, Pennsylvania",08c-01,OpenDataPhilly,
9c77143d-f091-4d22-8cd8-7af739283425,"Data does not exist, or has been removed; Retire record",Download;Information,http://data.phl.opendata.arcgis.com/datasets/58567377f6234fcab42b1bd8c9c0c5ae_0.zip;https://www.opendataphilly.org/dataset/phl-airport-amenities,"[""Datasets"", ""Web services""]","Airport Amenities: City of Philadelphia, Pennsylvania",08c-01,OpenDataPhilly,
d36d5b87-bfc7-412b-bb42-674a17c1dea2,"Data does not exist, or has been removed; Retire record",Download;Information,http://data.phl.opendata.arcgis.com/datasets/656d0ed09d104fdbabd53a8970fb2cb9_0.zip;https://www.opendataphilly.org/dataset/airport-parking-locations,"[""Datasets"", ""Web services""]","Airport Public Parking Entry and Exit Locations: City of Philadelphia, Pennsylvania",08c-01,OpenDataPhilly,
