,Collection To Add Map To,Image Path,Transcript Path,Notes (page titles),TITLE,ALTERNATIVE TITLE,CREATOR,CONTRIBUTOR,PUBLISHER,DESCRIPTION,CAPTION,ADDITIONAL NOTES,Project Affiliation,DATE OF CREATION,HISTORICAL ERA/PERIOD,ITEM TYPE,ITEM PHYSICAL FORMAT,DIMENTIONS,LOCALLY ASSIGNED SUBJECT HEADINGS,FAST SUBJECT HEADINGS,LANGUAGE,TRANSCRIPTION,TRANSLATION,CITY OR TOWNSHIP,STATE OR PROVINCE,COUNTRY,REGION OR AREA,CONTINENT,Coordinates,PROJECTIONS,SCALE,GEONAMES URI,PARENT COLLECTION NAME,CONTRIBUTING ORGANIZATION,CONTACT INFORMATION,LOCAL RIGHTS STATEMENT,RIGHTS STATEMENT URI,EXPECTED PUBLIC DOMAIN YEAR OF ENTRY,ADDITIONAL RIGHTS INFORMATION,FISCAL SPONSOR,LOCAL IDENTIFIER,BARCODE IDENTIFIER,SYSTEM IDENTIFIER,DLS IDENTIFIER,KALTURA AUDIO IDENTIFIER,KALTURA AUDIO PLAYLIST IDENTIFIER,KALTURA VIDEO IDENTIFIER,KALTURA VIDEO PLAYLIST IDENTIFIER,KALTURA AUDIO/VIDEO PLAYLIST IDENTIFIER,PERSISTENT URL (PURL),UMEDIA ARCHIVE,ATTACHED CHILD,FEATURED IMAGE,OBJECT FILE NAME
2,General Map Collection,G3200 1500 .C5 1900,B4512433,Sheet 1,[Mapa-mundi] : Juan de la Cosa la fizo en el puerto de S.M. en el año de 1500,,"Cosa, Juan de la, -1510","Cosa, Juan de la, -1510","(Madrid], )",,,Reproduction in facsimile of the original in the Museo naval de Madrid.,,1892,,Cartographic,Maps | http://vocab.getty.edu/aat/300028094,40 x 80,World maps; To 1800; Early maps,,,,,,,,,,"W1800000 E1800000 N0845900 S0850000; (W 180ʻ00'00""--E 180ʻ00'00""/N 84ʻ59'00""--S 85ʻ00'00"")",,Scale not indicated.,,,"University of Minnesota Libraries, John R. Borchert Map Library.","University of Minnesota Libraries, John R. Borchert Map Library. S-76 Wilson Library, 309 19th Ave S, Minneapolis, MN 55455; https://www.lib.umn.edu/borchert","Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",,,,,G3200 1500 .C5 1900,UMN_BARCODE:B4512433,UMN_ALMA:9947186270001701,map10591,,,,,,,,,,
2,General Map Collection,G3200 1500 .C5 1900,B5052859,Sheet 2,[Mapa-mundi] : Juan de la Cosa la fizo en el puerto de S.M. en el año de 1500,,"Cosa, Juan de la, -1510","Cosa, Juan de la, -1510","(Madrid], )",,,Reproduction in facsimile of the original in the Museo naval de Madrid.,,1892,,Cartographic,Maps | http://vocab.getty.edu/aat/300028094,40 x 80,World maps; To 1800; Early maps,,,,,,,,,,"W1800000 E1800000 N0845900 S0850000; (W 180ʻ00'00""--E 180ʻ00'00""/N 84ʻ59'00""--S 85ʻ00'00"")",,Scale not indicated.,,,"University of Minnesota Libraries, John R. Borchert Map Library.","University of Minnesota Libraries, John R. Borchert Map Library. S-76 Wilson Library, 309 19th Ave S, Minneapolis, MN 55455; https://www.lib.umn.edu/borchert","Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",,,,,G3200 1500 .C5 1900,UMN_BARCODE:B5052859,UMN_ALMA:9947186270001701,map10592,,,,,,,,,,
2,General Map Collection,G3200 1500 .C5 1900,B5052860,Sheet 3,[Mapa-mundi] : Juan de la Cosa la fizo en el puerto de S.M. en el año de 1500,,"Cosa, Juan de la, -1510","Cosa, Juan de la, -1510","(Madrid], )",,,Reproduction in facsimile of the original in the Museo naval de Madrid.,,1892,,Cartographic,Maps | http://vocab.getty.edu/aat/300028094,40 x 80,World maps; To 1800; Early maps,,,,,,,,,,"W1800000 E1800000 N0845900 S0850000; (W 180ʻ00'00""--E 180ʻ00'00""/N 84ʻ59'00""--S 85ʻ00'00"")",,Scale not indicated.,,,"University of Minnesota Libraries, John R. Borchert Map Library.","University of Minnesota Libraries, John R. Borchert Map Library. S-76 Wilson Library, 309 19th Ave S, Minneapolis, MN 55455; https://www.lib.umn.edu/borchert","Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",,,,,G3200 1500 .C5 1900,UMN_BARCODE:B5052860,UMN_ALMA:9947186270001701,map10593,,,,,,,,,,
2,General Map Collection,G3200 1500 .C5 1900,B5052861,Sheet 4,[Mapa-mundi] : Juan de la Cosa la fizo en el puerto de S.M. en el año de 1500,,"Cosa, Juan de la, -1510","Cosa, Juan de la, -1510","(Madrid], )",,,Reproduction in facsimile of the original in the Museo naval de Madrid.,,1892,,Cartographic,Maps | http://vocab.getty.edu/aat/300028094,40 x 80,World maps; To 1800; Early maps,,,,,,,,,,"W1800000 E1800000 N0845900 S0850000; (W 180ʻ00'00""--E 180ʻ00'00""/N 84ʻ59'00""--S 85ʻ00'00"")",,Scale not indicated.,,,"University of Minnesota Libraries, John R. Borchert Map Library.","University of Minnesota Libraries, John R. Borchert Map Library. S-76 Wilson Library, 309 19th Ave S, Minneapolis, MN 55455; https://www.lib.umn.edu/borchert","Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",,,,,G3200 1500 .C5 1900,UMN_BARCODE:B5052861,UMN_ALMA:9947186270001701,map10594,,,,,,,,,,
2,General Map Collection,G3200 1500 .C5 1900,B5052862,Sheet 5,[Mapa-mundi] : Juan de la Cosa la fizo en el puerto de S.M. en el año de 1500,,"Cosa, Juan de la, -1510","Cosa, Juan de la, -1510","(Madrid], )",,,Reproduction in facsimile of the original in the Museo naval de Madrid.,,1892,,Cartographic,Maps | http://vocab.getty.edu/aat/300028094,40 x 80,World maps; To 1800; Early maps,,,,,,,,,,"W1800000 E1800000 N0845900 S0850000; (W 180ʻ00'00""--E 180ʻ00'00""/N 84ʻ59'00""--S 85ʻ00'00"")",,Scale not indicated.,,,"University of Minnesota Libraries, John R. Borchert Map Library.","University of Minnesota Libraries, John R. Borchert Map Library. S-76 Wilson Library, 309 19th Ave S, Minneapolis, MN 55455; https://www.lib.umn.edu/borchert","Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",,,,,G3200 1500 .C5 1900,UMN_BARCODE:B5052862,UMN_ALMA:9947186270001701,map10595,,,,,,,,,,
2,General Map Collection,G3200 1500 .C5 1900,B5052863,Sheet 6,[Mapa-mundi] : Juan de la Cosa la fizo en el puerto de S.M. en el año de 1500,,"Cosa, Juan de la, -1510","Cosa, Juan de la, -1510","(Madrid], )",,,Reproduction in facsimile of the original in the Museo naval de Madrid.,,1892,,Cartographic,Maps | http://vocab.getty.edu/aat/300028094,40 x 80,World maps; To 1800; Early maps,,,,,,,,,,"W1800000 E1800000 N0845900 S0850000; (W 180ʻ00'00""--E 180ʻ00'00""/N 84ʻ59'00""--S 85ʻ00'00"")",,Scale not indicated.,,,"University of Minnesota Libraries, John R. Borchert Map Library.","University of Minnesota Libraries, John R. Borchert Map Library. S-76 Wilson Library, 309 19th Ave S, Minneapolis, MN 55455; https://www.lib.umn.edu/borchert","Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",,,,,G3200 1500 .C5 1900,UMN_BARCODE:B5052863,UMN_ALMA:9947186270001701,map10596,,,,,,,,,,
3,General Map Collection,G3200 1529 (1885) .R4,B4491701,Sheet 1,Carta universal en que se contierne todo lo que del mundo se ha descubierto fasta agora hizola Diego Ribero cosmographo de Su magestad. Año de 1529 é Sevilla,,,"Ribeiro, Diogo, 14..-15; Griggs, W., 18..-18..?",(London),,,"The Second Borgian map by Diego Ribero, Seville 1529.; Reproduced from the original in the Museum of the ""Propaganda in Rome... by W. Griggs, London.""; Reproduction ä la taille de l'original qui est conservé maintenant ä la Bibliothéque vaticane.",,1885,,Cartographic,Maps | http://vocab.getty.edu/aat/300028094,140 x 59 centimeters,,,Italian,,,,,,,,W1800000 E1800000 N0900000 S0900000; (W 180°--E 180°/N 90°--S 90°),,"Scale approximately 1:3,000,000",,,"University of Minnesota Libraries, John R. Borchert Map Library.","University of Minnesota Libraries, John R. Borchert Map Library. S-76 Wilson Library, 309 19th Ave S, Minneapolis, MN 55455; https://www.lib.umn.edu/borchert","Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",,,,,G3200 1529 (1885) .R4,UMN_BARCODE:B4491701,UMN_ALMA:9964484200001701,map10597,,,,,,,,,,
3,General Map Collection,G3200 1529 (1885) .R4,B5052878,Sheet 2,Carta universal en que se contierne todo lo que del mundo se ha descubierto fasta agora hizola Diego Ribero cosmographo de Su magestad. Año de 1529 é Sevilla,,,"Ribeiro, Diogo, 14..-15; Griggs, W., 18..-18..?",(London),,,"The Second Borgian map by Diego Ribero, Seville 1529.; Reproduced from the original in the Museum of the ""Propaganda in Rome... by W. Griggs, London.""; Reproduction ä la taille de l'original qui est conservé maintenant ä la Bibliothéque vaticane.",,1885,,Cartographic,Maps | http://vocab.getty.edu/aat/300028094,140 x 59 centimeters,,,Italian,,,,,,,,W1800000 E1800000 N0900000 S0900000; (W 180°--E 180°/N 90°--S 90°),,"Scale approximately 1:3,000,000",,,"University of Minnesota Libraries, John R. Borchert Map Library.","University of Minnesota Libraries, John R. Borchert Map Library. S-76 Wilson Library, 309 19th Ave S, Minneapolis, MN 55455; https://www.lib.umn.edu/borchert","Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",,,,,G3200 1529 (1885) .R4,UMN_BARCODE:B5052878,UMN_ALMA:9964484200001701,map10598,,,,,,,,,,
4,General Map Collection,G3200 1579 .O7,31951D03686921B,,Typvs orbis terrarvm,Typus orbis terrarum,"Ortelius, Abraham, 1527-1598","Hogenburg, Frans (Franciscus), approximately 1538-1590; Ortelius, Abraham, 1527-1598",Abraham Ortelius (Antwerp),,,"Oval map within illustrated border, showing clouds.; Appears in Latin edition of Ortelius's Theatrum orbis terrarum.; Hand colored.; Includes illustrations.; Latin text on verso.; In lower left: cum privilegio.; Has a crack and re-engraved clouds in lower left corner, which, according to Shirley, dates the map to 1579 or later.",,1579?,,Cartographic,Maps | http://vocab.getty.edu/aat/300028094,"25 x 50 centimeters, on sheet 41 x 53",,,Latin,,,,,,,,W1800000 E1800000 N0900000 S0900000; (W 180°--E 180°/N 90°--S 90°),,"Scale approximately 1:82,000,000 At equator",,,"University of Minnesota Libraries, John R. Borchert Map Library.","University of Minnesota Libraries, John R. Borchert Map Library. S-76 Wilson Library, 309 19th Ave S, Minneapolis, MN 55455; https://www.lib.umn.edu/borchert","Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",,,,,G3200 1579 .O7,UMN_BARCODE:31951D03686921B,UMN_ALMA:9976156487301701,map10599a; map10599b,,,,,,,,,,
5,General Map Collection,G3200 1588 .M8,31951D036867528,,Die erst general Tafel die Beschreibung und den Circkel des gantzen Erdtrichs und Meers innhaltende,,"Münster, Sebastian, 1489-1552","Henricpetri, Sebastian, 1547-1627; Münster, Sebastian, 1489-1552",Sebastian Henricpetri (Basel),,,Oval map within illustrated border.; Appears in Sebastian Münster's Cosmografia (published circa 1588).; Prime meridian: Ferro.; Includes text.; Text and illustration on verso.,,1588,,Cartographic,Maps | http://vocab.getty.edu/aat/300028094,"30 x 35 centimeters, on sheet 34 x 36",World maps,,German,,,,,,,,W1800000 E1800000 N0900000 S0900000; (W 180°--E 180°/N 90°--S 90°),,"Scale approximately 1:120,000,000 At equator",,,"University of Minnesota Libraries, John R. Borchert Map Library.","University of Minnesota Libraries, John R. Borchert Map Library. S-76 Wilson Library, 309 19th Ave S, Minneapolis, MN 55455; https://www.lib.umn.edu/borchert","Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",,,,,G3200 1588 .M8,UMN_BARCODE:31951D036867528,UMN_ALMA:9975746299701701,map10600a; map10600b,,,,,,,,,,
