SYSTEM IDENTIFIER,Coordinates,Main Title,Display Date,Date Start,Date End
UMN_ALMA:9924331550001701,"E0351329 E0351418 N0314702 N0314624; (E 35°13'29""--E 35°14'18""/N 31°47'02""--N 31°46'24"")",Plan de Jérusalem,1761,1761,1761
UMN_ALMA:9924324310001701,"E0743500 E0743800 N0305800 N0305300; (E 74°35'00""--E 74°38'00""/N 30°58'00""--N 30°53'00"")",Town guide map of Ferozepore city,1920,1920,1920
UMN_ALMA:9926153920001701,W1162300 W1154200 N0511900 N0503400; (W 116°23'--W 115°42' /N51°19'--N 50°34'),"Kootenay Park, Alberta-British Columbia : west of fifth meridian ",1955,1928,1955
UMN_ALMA:9927491350001701,W971500 W892900 N492400 N433000; Not given,Minnesota,1913,1913,1913
UMN_ALMA:9920937090001701,W0960000 W0830000 N0470000 N0410000; (W 96°--W 83°/N 47°--N 41°).,"Western states, Michigan, Wisconsin, Minnesota, Iowa : with portions of Illinois & Indiana ",1873,1873,1873
UMN_ALMA:9924937720001701,"E0680900 E0972300 N0353000 N0064400; (E 68°09'00""--E 97°23'00""/N 35°30'00""--N 6°44'00"")",India shewing the post roads and dawk stations,1850?,1850,1850
UMN_ALMA:9920729840001701,"W0843800 W0683900 S0000200 S0201100; (W 84°38'00""--W 68°39'00""/S 0°02'00""--S 20°11'00"")",Plano del Rio Tambopata,1902,1902,1902
UMN_ALMA:9922221550001701,"W1040200 W963300 N0490000 N0455600; (W 104°02'00""--W 96°33'00""/N 49°00'00""--N 45°56'00"")",Map of trunk highway system State of North Dakota,1927,1927,1927
UMN_ALMA:9924336110001701,"E0801556 E0801744 N0130536 N0130405; (E 80°15'56""--E 80°17'44""/N 13°05'36""--N 13°04'05"").",Plan de Madraz Et Du Fort St. Georges : Pris par les François le 21 Septembre 1746 = Grondtekening van Madras en't Fort St. Georges : door de Fransen ingenoomen den 21 September 1746,1756,1756,1756
UMN_ALMA:9930458940001701,"W0943739 W0934559 N0444309 N0442723; (W 94°37'39""--W 93°45'59""/N 44°43'09""--N 44°27'23"").","Sibley County, Minnesota ",1907,1907,1907
UMN_ALMA:9937001960001701,"W0960900 W0931600 N0492300 N0472400; (W 96°09'00""--W 93°16'00""/N 49°23'00""--N 47°24'00"").","Drainage survey ceded lands, Chippewas in Minnesota : surveyed in 1906-8 ",1909?,1909,1909
UMN_ALMA:9934641650001701,W1730000 W0150000 N0720000 N0100000; (W 173°--W 15°/N 72°--N 10°).,"A new map of North America, from the latest authorities ","Decr 1, 1806",1806,1806
UMN_ALMA:9930479680001701,"W0945141 W0942209 N0440635 N0435057; (W 94°51'41""--W 94°22'09""/N 44°06'35""--N 43°50'57"").","Watonwan County, Minnesota ",1907,1907,1907
UMN_ALMA:9930461100001701,"W0970800 W0953200 N0481000 N0472900; (W 97°08'00""--W 95°32'00""/N 48°10'00""--N 47°29'00"").","Polk County, Minnesota ",1907,1907,1907
UMN_ALMA:9930462680001701,"W0930340 W0921729 N0464607 N0462501; (W 93°03'40""--W 92°17'29""/N 46°46'07""--N 46°25'01"").","Carlton County, Minnesota ",1929,1929,1929
UMN_ALMA:9936800990001701,E0910000 E1120000 N0260000 N0010000; (E 91⁰--E 112⁰/N 26⁰--N 1⁰).,"Map of the Burman Empire : including also Siam, Cochin-China, Ton-King and Malaya. From Calcutta to Hong-Kong ",1840?,1840,1840
UMN_ALMA:9936787610001701,E0680000 E1370000 N0380000 S0100000; (E 68⁰--E 137⁰/N 38⁰--S 10⁰).,India quae orientalis dicitur : et insulae adiacentes,1635,1635,1635
UMN_ALMA:9936794090001701,E0860000 E1200000 N0280000 N0010000; (E 86⁰--E 120⁰/N 28⁰--N 1⁰).,"Nieuwe kaart van India over de Ganges : of van Malakka, Siam, Cambodia, Chiampa, Kochinchina, Laos, Pegu, Ava, enz. ",1750?,1750,1750
UMN_ALMA:9936226690001701,W1244500 W1170000 N0490000 N0453000; (W124⁰45ʹ--W 117⁰00ʹ/N 49⁰00ʹ--N 45⁰30ʹ).,"Rand, McNally & Co.'s indexed county and township pocket map and shippers' guide of Washington : accompanied by a new and original compilation and ready reference index, showing in detail the entire railroad system, the express company doing business over each road, and accurately locating all cities, towns, post offices, railroad stations, villages, counties, islands, lakes, rivers, etc",1909,1909,1909
UMN_ALMA:9930993650001701,"W0834000 W0750900 N0392700 N0363200; (W 83°40'00""--W 75°09'00""/N 39°27'00""--N 36°32'00"")","Massanutten national forest, Virginia ",1917,1917,1917
UMN_ALMA:9936480630001701,E0360000 E0510000 N0460000 N0390000; (E 36°--E 51°/N 46°--N 39°),A geological map of the Caucasus,1914,1914,1914
UMN_ALMA:9937006890001701,W0930548 W0930548 N0445721 N0445721; (W 93⁰05ʹ48ʺ--W 93⁰05ʹ48ʺ/N 44⁰57ʹ21ʺ--N 44⁰57ʹ21ʺ).,Historical map and tableau : containing and showing facts and events of great importance from 1838-1903,1902,1902,1902
UMN_ALMA:9936467520001701,"W0913000 W0872900 N0423000 N0365800; (W 91°30'00""--W 87°29'00""/N 42°30'00""--N 36°58'00"").","Rand, McNally & Co.'s Illinois","1894, 1889",1889,1894
UMN_ALMA:9936458280001701,"E0800000 E1765000 N0730000 N0400000; (E 80°00'00""--E 176°50'00""/N 73°00'00""--N 40°00'00"")",[Geologicheskai︠a︡ karta SSSR],1894,1894,1894
