Title,Date,Publisher,Description,Metadata
Pennsylvania school districts,2020,Pennsylvania Department of Transportation,"Pennsylvania Department of Transportation, Bureau of Planning and Research, Cartographic Information Division",FullMetadataDisplay.aspx?file=PaSchoolDistricts2020_08.xml
Pennsylvania local roads,2020,Pennsylvania Department of Transportation,Public roads within Pennsylvania. This file includes all identified public roads not maintained by the PA Dept. of Transportation.,FullMetadataDisplay.aspx?file=PaLocalRoads2020_08.xml
Best Fishing Waters - Lakes,2020,Pennsylvania Fish and Boat Commission,“Pennsylvania’s Best Fishing Waters” program identifies proven waters for specific species.  This listing includes suggestions for distinct species within PA Lakes.,FullMetadataDisplay.aspx?file=BestFishingWaters_Lakes202002.xml
Integrated List Attaining Lakes,2020,Pennsylvania Department of Environmental Protection,"This layer shows only attaining lakes of the Integrated List. The Lakes Integrated List represents lake assessments in an integrated format for the Clean Water Act Section 305(b) reporting and Section 303(d) listing. PA DEP protects 4 lake water uses: aquatic life, fish consumption, potable water supply, and recreation. The 305(b) layers represent lakes that have been evaluated for attainment of those uses. If a lake is not attaining any one of its 4 uses, it is considered impaired. Aquatic Life use attainment - The integrity reflected in any component of the biological community (i.e. fish or fish food organisms). Fish Consumption use attainment - The risk posed to people by the consumption of aquatic organisms (ex. fish, shellfish, frogs, turtles, crayfish, etc.). Recreational use attainment - The risk associated with human recreation activities in or on a water body (i.e. exposure to bacteria and other disease causing organisms through water contact recreation like swimming or water skiing). Potable Water Supply use attainment - The risk posed to people by the ingestion of drinking water. Lakes that have appeared on an approved Category 5 Integrated Listing are the entries labeled as approved. Integrated Lists are submitted for approval every other year. Lakes entered subsequent to the latest approved Category 5 listing are labeled tentative. After appearing on an approved listing, the tentative entries move to approved. The Lake Integrated List is provided as two separate layers determined if the lake is attaining or not attaining its designated uses. DEP Lakes Integrated List layers are maintained by the PADEP Office of Water Management, Bureau of Water Supply & Wastewater Management, Water Quality Assessment and Standards Division. The layer is based on the High Resolution National Hydrography Dataset (NHD). Additional update information is provided by Bureau of Watershed Management, Water Use Planning Division.",FullMetadataDisplay.aspx?file=IntegratedListAttaining_Lakes2020_10.xml
Integrated List Non Attaining Lakes,2020,Pennsylvania Department of Environmental Protection,"This layer shows only non attaining lakes of the Integrated List. The Lakes Integrated List represents lake assessments in an integrated format for the Clean Water Act Section 305(b) reporting and Section 303(d) listing. PA DEP protects 4 lake water uses: aquatic life, fish consumption, potable water supply, and recreation. The 305(b) layers represent lakes that have been evaluated for attainment of those uses. If a lake is not attaining any one of its 4 uses, it is considered impaired. Aquatic Life use attainment - The integrity reflected in any component of the biological community (i.e. fish or fish food organisms). Fish Consumption use attainment - The risk posed to people by the consumption of aquatic organisms (ex. fish, shellfish, frogs, turtles, crayfish, etc.). Recreational use attainment - The risk associated with human recreation activities in or on a water body (i.e. exposure to bacteria and other disease causing organisms through water contact recreation like swimming or water skiing). Potable Water Supply use attainment - The risk posed to people by the ingestion of drinking water. Lakes that have appeared on an approved Category 5 Integrated Listing are the entries labeled as approved. Integrated Lists are submitted for approval every other year. Lakes entered subsequent to the latest approved Category 5 listing are labeled tentative. After appearing on an approved listing, the tentative entries move to approved. The Lake Integrated List is provided as two separate layers determined if the lake is attaining or not attaining its designated uses. DEP Lakes Integrated List layers are maintained by the PADEP Office of Water Management, Bureau of Water Supply & Wastewater Management, Water Quality Assessment and Standards Division. The layer is based on the High Resolution National Hydrography Dataset (NHD). Additional update information is provided by Bureau of Watershed Management, Water Use Planning Division.",FullMetadataDisplay.aspx?file=IntegratedListNonAttaining_Lakes2020_10.xml
Oil Gas Locations - Conventional Unconventional,2020,Pennsylvania Department of Environmental Protection,"The following data set contains all the Oil & Gas Wells in Pennsylvania that the Dept of Enviromental Protection has locational information on.  The wells are broken into two formation types of conventional and unconventional wells.
    A conventional well is a bore hole drilled or being drilled for the purpose of or to be used for the production of oil or natureal gas from only  conventional formation(s).  A conventional formation is any formation that does not meet the statutory definition of an unconventional formation.
     An unconventional gas well is a bore hole drilled or being drilled for the purpose of or to be used for the production of natural gas from an unconventional formation.  Unconventional formation is a geological shale formation existing below the base of the Elk Sandstone or its geologic equivalent stratigraphic interval where natural gas generally cannot be produced at economic flow rates or in economic volumes except by vertical or horizontal well bores stimulated by hydraulic fracture treatments or by using multilateral well bores or other techniques to expose more of the formation to the well bore.",FullMetadataDisplay.aspx?file=OilGasLocations_ConventionalUnconventional2020_12.xml
Public Water Supplier's (PWS) Service Areas,2020,Pennsylvania Department of Environmental Protection,"As part of Pennsylvania's State Water Plan this data set is used to determine non-public water supply areas (self-supplied). It is also used to help determine the population served and water supply demand.

Boundaries of current public water supplier's (PWS) service areas. This data set contains the present service area boundary of the water system and does not contain locations of surface and groundwater sources, storage facilities, transmission and distribution system lines, and interconnections with other water systems. Revisions, updates and additions are done on an as needed basis. All boundaries should be considered approximate.",FullMetadataDisplay.aspx?file=PublicWaterSupply2020_10.xml
Water Management Plans (WMP) - Marcellus Shale,2020,Pennsylvania Department of Environmental Protection,This data set contains all approved water sources within water management plans (WMP). A WMP contains water sources utilized in the fracture stimulation of Marcellus Shale natural gas wells in Pennsylvania.,FullMetadataDisplay.aspx?file=WMPMarcellusShale2020_10.xml
Conservation Wells,2020,Pennsylvania Department of Environmental Protection,"The conservation well layer identifies the permitted surface location of oil and gas conservation wells that have not been plugged.  These include active, regulatory inactive, orphaned, and abandoned wells.  A conservation well is any well which penetrates the Onondaga horizon, or in those areas in which the Onondaga horizon is nearer to the surface than thirty-eight hundred feet, any well which exceeds a depth of thirty-eight hundred feet beneath the surface.",FullMetadataDisplay.aspx?file=ConservationWells2020_10.xml
Conservation Wells Plugged,2020,Pennsylvania Department of Environmental Protection,"The plugged conservation well layer identifies the permitted surface location of oil and gas conservation wells that have been plugged.  A conservation well is any well which penetrates the Onondaga horizon, or in those areas in which the Onondaga horizon is nearer to the surface than thirty-eight hundred feet, any well which exceeds a depth of thirty-eight hundred feet beneath the surface.",FullMetadataDisplay.aspx?file=ConservationWells_Plugged2020_10.xml
Streams Chapter 93 Designated Use,2019,Pennsylvania Department of Environmental Protection,"National Hydrography Dataset NHDFlowline layer with a spatial representation of designated water uses defined in Title 25 Environmental Protection, Department of Environmental Protection, Chapter 93, Water Quality Standards.  The Pennsylvania Code just cited provides a list of all streams or watersheds (basins) in the state along with their associated designated water uses.  This GIS layer displays these uses spatially on an interactive stream map.  Public users can drill down to locations on the map to view and map the designated uses of the water bodies of interest.  The layer can also be used in conjunction with other spatially referenced data for spatial analyses.",FullMetadataDisplay.aspx?file=StreamsCH93DesignatedUse2019_03.xml
Streams Chapter 93 Existing Use,2019,Pennsylvania Department of Environmental Protection,"National Hydrography Dataset NHDFlowline layer with spatial representation of existing water uses defined in Title 25 Environmental Protection, Department of Environmental Protection, Chapter 93, Water Quality Standards.  The Pennsylvania Code just cited provides a definition for distinguishing between designated and existing use classification.  This GIS layer displays these uses spatially on an interactive stream map.  Public users can drill down to locations on the map to view and map the existing uses of the water bodies of interest.  The layer can also be used in conjunction with other spatially referenced data for spatial analyses.",FullMetadataDisplay.aspx?file=StreamsCH93ExistingUse2019_03.xml
PFBC Database Lakes (Polygons),2019,Pennsylvania Fish and Boat Commission,"This layer contains the lakes that are part of the Pennsylvania Fish and Boat Commission Fisheries Resource Database.   These include lakes that are currently or have previously been stocked, regulated or sampled.",FullMetadataDisplay.aspx?file=Lakes_PFBCDatabase201901.xml
PFBC Database Lakes (Points),2019,Pennsylvania Fish and Boat Commission,"This layer contains the lakes that are part of the Pennsylvania Fish and Boat Commission Fisheries Resource Database.   These include lakes that are currently or have previously been stocked, regulated or sampled.",FullMetadataDisplay.aspx?file=Lakes_Point201901.xml
Fishing Special Regulation Streams,2020,Pennsylvania Fish and Boat Commission,This layer contains flowing waters from the Pennsylvania Fish and Boat Commission Fisheries Resource Database that are under fishing special regulations.,FullMetadataDisplay.aspx?file=Fishing_SpecReg_Streams202002.xml
Best Fishing Waters - Streams,2020,Pennsylvania Fish and Boat Commission,“Pennsylvania’s Best Fishing Waters” program identifies proven waters for specific species.  This listing includes suggestions for distinct species within PA Streams.,FullMetadataDisplay.aspx?file=BestFishingWaters_Streams202002.xml
District Boundaries,2019,Pennsylvania Game Commission,PA Game Commission districts  boundaries,FullMetadataDisplay.aspx?file=PGC_BNDDistricts2019.xml
Land Management Groups,2020,Pennsylvania Game Commission,Boundaries for 29 PGC Land Management Groups,FullMetadataDisplay.aspx?file=PGC_BNDLandManagementGroups2020.xml
Game Regions,2020,Pennsylvania Game Commission,Game Commission Regions  boundaries,FullMetadataDisplay.aspx?file=PGC_BNDRegions2020.xml
Wildlife Management Units,2020,Pennsylvania Game Commission,Wildlife Management Units boundaries,FullMetadataDisplay.aspx?file=PGC_BNDWildlifeManagementUnits2020.xml
Office locations,2020,Pennsylvania Game Commission,Office locations,FullMetadataDisplay.aspx?file=PGC_Offices2020.xml
Total Maximum Daily Load (TMDL),2020,Pennsylvania Department of Environmental Protection,"The Clean Water Act Section 303(d) establishes the Total Maximum Daily Load (TMDL) program. The purpose of the TMDL program is to identify sources of pollution and allocate pollutant loads in places where water quality goals are not being achieved.  This layer shows the list of waters for which technology-based or other required pollution controls are not stringent enough to meet water quality standards.  The TMDLs themselves specify a pollutant budget that must be achieved to meet state water quality standards and allocates pollutant loads among pollution sources in a watershed, e.g., point and nonpoint sources.
TMDLs can be developed for several categories such as: point sources (permitted sewage and industrial discharges); nonpoint sources (agriculture and urban runoff); lakes; abandoned mine drainage (also called acid mine drainage or AMD); specific bioaccumulative chemicals (PCBs and chlordane that contaminate fish, resulting in fish advisories limiting or banning the number of fish that a person can safely consume); and complex situations (combinations of different types).
This layer is based on the High Resolution National Hydrography Dataset (NHD).  The Lake TMDLs are not included in this layer.",FullMetadataDisplay.aspx?file=TotalMaximumDailyLoad2020_10.xml
Total Maximum Daily Load (TMDL) - Lakes,2020,Pennsylvania Department of Environmental Protection,"The Clean Water Act Section 303(d) establishes the Total Maximum Daily Load (TMDL) program. The purpose of the TMDL program is to identify sources of pollution and allocate pollutant loads in places where water quality goals are not being achieved.  This layer shows the list of waters for which technology-based or other required pollution controls are not stringent enough to meet water quality standards.  The TMDLs themselves specify a pollutant budget that must be achieved to meet state water quality standards and allocates pollutant loads among pollution sources in a watershed, e.g., point and nonpoint sources.
This layer represents lakes with TMDL associated with them.  Lakes have characteristics that differentiate TMDLs from other waters. Lakes are not free-flowing like streams, but are contained waters that trap pollutants for long periods. Most lake impairments are from high nutrient or sediment loads. Wherever possible, lake TMDLs are developed with the information in the lake study reports that were sponsored by local watershed groups or other local interests. Target acceptable pollutant loads are set at the level of a watershed largely unaffected by human induced impacts. Load allocations are given to the pollutant sources using the same methods as nonpoint source TMDLs. Other indicators of water quality are also considered in the evaluation of a lake. One indicator is the Trophic Status Index (TSI), which refers to the degree of nutrient enrichment in the lake. Nutrient enrichment causes growths of algae that consume oxygen and interfere with the health of the aquatic organisms in the lake. The TSI is affected by factors such as lake volume, water residence time and nutrient loads to the lake. After target loads are set, the TSI is evaluated under reduced nutrient load conditions to assure that the pollutant reductions will bring the TSI into an acceptable range. Implementation of lake TMDLs is best accomplished though local participation.  This layer is based on the High Resolution National Hydrography Dataset (NHD).",FullMetadataDisplay.aspx?file=TotalMaximumDailyLoadLakes2020_10.xml
DVRPC 2005 Elevation - Spot Elevations,2005,Delaware Valley Regional Planning Commission,"A spot elevation is an elevation measurement taken at a single location. It shows the height of ground above Mean Sea Level (M.S.L.). This layer consists of spot elevations for DVRPC's 9-county region and was generated from an aerial topographic survey in 2005.The Delaware Valley Regional Planning Commission's (DVRPC) 9-county region is made up of the following: Bucks, Chester, Delaware, Montgomery, and Philadelphia counties in Pennsylvania; and Burlington, Camden, Gloucester, and Mercer counties in New Jersey.",FullMetadataDisplay.aspx?file=DVRPC_2005_Elevation-Spot_Elevations.xml
DVRPC 2005 Elevation - 5 ft Interval Contours,2005,Delaware Valley Regional Planning Commission,"An elevation or topgraphic contour is a line that connects a series of points of equal elevation and is used to illustrate topography, or relief, on a map. It shows the height of ground above Mean Sea Level (M.S.L.). Numerous contour lines that are close together indicate hilly or mountainous terrain; when far apart, they represent a gentler slope. This layer consists of contours at a five foot interval for DVRPC's 9-county region and was generated from an aerial topographic survey in 2005.The Delaware Valley Regional Planning Commission's (DVRPC) 9-county region is made up of the following: Bucks, Chester, Delaware, Montgomery, and Philadelphia counties in Pennsylvania; and Burlington, Camden, Gloucester, and Mercer counties in New Jersey.",FullMetadataDisplay.aspx?file=DVRPC_2005_Elevation-5ft_Interval_Contours.xml
Trout Stocked Streams,2020,Pennsylvania Fish and Boat Commission,This layer contains flowing waters from the Pennsylvania Fish and Boat Commission Fisheries Resource Database that will be stocked with trout in 2017.,FullMetadataDisplay.aspx?file=TroutStocked_Streams_2020.xml
Fishing Special Regulation Lakes (Points),2020,Pennsylvania Fish and Boat Commission,"This layer contains the lakes that are part of the Pennsylvania Fish and Boat Commission Fisheries Resource Database.   These include lakes that are currently or have previously been stocked, regulated or sampled.",FullMetadataDisplay.aspx?file=Fishing_SpecRegLakesPoint202002.xml
