Title,Date,Publisher,Description,Metadata,Download
"(u'Centre County - Parcels',)","(u'2018',)","(u'Centre County',)","(u'This Parcels layer contains basic geometry and attribute information.  It is maintained by the Tax Assessment staff with the assistance of the GIS Department.  This contains NO ownership information.  Please contact the GIS Department for this dataset.',)","(u'FullMetadataDisplay.aspx?file=CentreCountyParcels2018.xml',)",undefined
"(u'Glacial Deposits of Northwestern Pennsylvania',)","(u'2018',)","(u'Allegheny College',)","(u'Digitized regional surficial geology map for northwestern Pennsylvania. The complete citation for the paper map is: Map of the Glacial Deposits of Northwestern Pennsylvania by V.C. Shepps, J.B. Droste, and R.F. Sitler under the supervision of G.W.White, 1959, Bulletin G-32, Pennsylvania Geologic Survey. The original map was published at a scale of 1:125,000. Three counties are fully covered by these deposits and mapped (Crawford, Erie, and Mercer); five more are partially covered and mapped (Beaver, Butler, Lawrence, Warren, and Venango). \r\nThis GIS dataset shows the areal distribution of 14 distinct glacial deposits from the Pleistocene Epoch and Recent stream alluvium and/or bedrock exposures. All mapping activity and lithologic interpretations were made by the original authors of the map (Shepps et al., 1959); the authors of this electronic geospatial resource (Shaffer et al., 2005) have only provided digital transfer of the map features and attributes and documentation of the process. Purpose:\r\nThis dataset identifies the distribution of surficial unconsolidated sediments (glacial deposits and stream alluvium) in northwestern PA. This map is the only published comprehensive regional surficial geologic map available for the region. The original map was digitized to provide an electronic version for GIS work. Potential users should read the Supplemental Information Section (below) to determine the appropriate scale for using these data. More detailed surficial geologic maps may exist within the mapped area in either paper or electronic format. Researchers are encouraged to check with the U.S. Geological Survey, Pennsylvania Geologic Survey, PASDA, and/or Geology Departments at local universities and colleges for other maps.',)","(u'FullMetadataDisplay.aspx?file=NWPAGlacialDeposits2018.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycollege/AlleghenyCollege_GlacialDeposits2018.zip
"(u'Thickness of Glacial Deposits, Western Crawford County, Pennsylvania',)","(u'2010',)","(u'Allegheny College',)","(u'Digitized sediment thickness map for western Crawford County, Pennsylvania. (The term western applies to all portions of the county west of 80 degrees 07\' 30"") The complete citation for the source map is: Map Showing the Thickness of Glacial Deposits and Locations of Wells in Western Crawford County, Pennsylvania by George R. Schiner and John T. Gallaher, 1979, W46, Plate 2. The original map was published at a scale of 1:50,000. The map is a part of the Pennsylvania Geologic Survey Water Resource Report 46, Geology and Groundwater Resources of Western Crawford County, Pennsylvania. This GIS dataset shows the areal distribution of glacial deposits and estimated well yields across the western portion of Crawford County. Water well locations published on the source map have not been included here. All mapping activity and thickness interpretations were made by the original authors of the map (Shiner and Gallaher, 1979); the authors of this electronic geospatial resource (Shaffer et al., 2010) have only transferred the map features, assigned attributes, and documented our process.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCollege_GlacialDeposits1979.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycollege/AlleghenyCollege_GlacialDeposits1979.zip
"(u'Thickness of Unconsolidated Deposits of Erie County, Pennsylvania',)","(u'2010',)","(u'Allegheny College',)","(u'Digitized sediment thickness map for Erie County, Pennsylvania. The complete citation for the source map is: Map Showing the Thickness of Unconsolidated Deposits, Locations of Selected Wells, and Seismic-Refraction Cross Sections by David B. Richards, J. Jack McCoy, and John T. Gallaher, 1987, W62, Plate 2. The original map was published at a scale of 1:62,500. The map is a part of the Pennsylvania Geologic Survey Water Resource Report 62, Groundwater Resources of Erie County, Pennsylvania. This GIS dataset shows the areal distribution of sediment thickness across Erie County. Water well locations and geophysical data on the source map have not been included here. All mapping activity and thickness interpretations were made by the original authors of the map (Richards et al., 1987); the authors of this electronic geospatial resource (Shaffer et al., 2010) have only transferred the map features, assigned attributes, and documented our process.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCollege_UnconsolidatedDeposits1987.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycollege/AlleghenyCollege_UnconsolidatedDeposits1987.zip
"(u'Allegheny County - Address Points',)","(u'2018',)","(u'Allegheny County',)","(u'This dataset contains Address Points in Allegheny County. The Address Points were created by GDR for the Allegheny County CAD project, October 2008. Data is updated by County staff as changes and corrections are found, on a continuous basis. Updates are sent to PASDA monthly.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_AddressPoints201809.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_AddressPoints201809.zip
"(u'Allegheny County - Basins',)","(u'2002',)","(u'Allegheny County',)","(u'3 Rivers Wet Weather Demonstration Program Outreach Planning Basins',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Basins2002.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Basins2002.zip
"(u'Allegheny County - Blocks',)","(u'2002',)","(u'Allegheny County',)","(u'Derived from original MAPINDX: Map Index Sheets from Block and Lot Grid of Property Assessment and based on aerial photography, showing 1983 datum with solid line and NAD 27 with 5"" grid tics and italicized grid coordinate markers and outlines of map sheet boundaries.  Each grid square is 3500 x 4500 feet. Each Index Sheet contains 16 lot/block sheets, labeled from left to right, top to bottom (4 across, 4 down): A, B, C, D, E, F, G, H, J, K, L, M, N, P, R, S. The first (4) numeric characters in  a parcelID indicate the Index sheet in which the parcel can be found, the alpha character identifies the block in which most (or all) of the property lies.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Blocks2002.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Blocks2002.zip
"(u'Allegheny County - Boundary',)","(u'2016',)","(u'Allegheny County',)","(u'This dataset contains the Allegheny County boundary.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Boundary2016.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Boundary2016.zip
"(u'Allegheny County - Building Footprints',)","(u'2018',)","(u'Allegheny County',)","(u'Footprints for all buildings and out buildings in Allegheny County.  Buildings are captured by following the edge of the roof line.  All near orthogonal corners are square.  Interim roof lines, such as dormers, are not shown. Minor structures such as carports, decks, patios, stairs, etc. which are part of the structure are not shown.  Building Footprints were updated as a result of a flyover in 2004. Buildings less than 400 square feet were not captured. Special consideration was given to garages, less than 400 square feet, and were digitized if greater than 200 square feet.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Footprints201808.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Footprints201808.zip
"(u'Allegheny County - Cemeteries',)","(u'2002',)","(u'Allegheny County',)","(u'Outlines of public and private cemeteries greater than one acre in size. Areas were delineated following a generalized line along the outside edge of the area. Individual features within the cemetery are not shown.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCounty_Cemetery2002.xml',)",ftp://ftp.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_Cemetery2002.zip
