Information,Status,b1g_code_s,dct_isPartOf_sm,b1g_status_s,suppressed_b,dc_subject_sm,b1g_dateAccessioned_s,dc_format_s,solr_geom,b1g_keyword_sm,layer_geom_type_s,dct_provenance_s,dct_accrualMethod_s,b1g_image_ss,dct_issued_s,dc_description_s,dc_identifier_s,dct_accessRights_sm,dct_temporal_sm,b1g_date_range_drsim,solr_year_i,dc_rights_s,dct_alternativeTitle_sm,dc_language_sm,dc_title_s,layer_slug_s,b1g_dateRetired_s,layer_id_s,b1g_child_record_b,dc_type_sm,dc_publisher_sm,dct_spatial_sm,b1g_centroid_ss,b1g_genre_sm,dc_creator_sm,dc_identifier_s,Download,HTML
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1,Matching,08a-01,08a-01,Active,FALSE,Imagery and Base Maps,2019-03-28,Files,"ENVELOPE(-76.875,-77,40,39.875)",,Raster,Pennsylvania State University,,,,"Orthophotos combine the image characteristics of a photograph with the geometric qualities of a map. The primary digital orthophotoquad (DOQ) is a 1-meter ground resolution, quarter-quadrangle (3.75-minutes of latitude by 3.75-minutes of longitude) image cast on the Universal Transverse Mercator Projection (UTM) on the North American Datum of 1983 (NAD83).The geographic extent of the DOQ is equivalent to a quarter-quad plus The overedge ranges a minimum of 50 meters to a maximum of 300 meters beyond the extremes of the primary and secondary corner points. The overedge is included to facilitate tonal matching for mosaicking and for the placement of the NAD83 and secondary datum corner ticks. The normal orientation of data is by lines (rows) and samples (columns). Each line contains a series of pixels ordered from west to east with the order of the lines from north to south. The standard, archived digital orthophoto is formatted as four ASCII header records, followed by a series of 8-bit binary image data records. The radiometric image brightness values are stored as 256 gray levels ranging from 0 to 255. The metadata embedded in the digital orthophoto contain a wide range of descriptive information including format source information, production instrumentation and dates, and data to assist with displaying and georeferencing the image. DOQ images are acquired as a part of the USGS' National Aerial Photography Program (NAPP). Through NAPP imagery for each state is produced on a 7 year cycle. These images are the NAPP III cycle which will run from 1997-2001 These DOQQ's are distributed through PASDA as GeoTIFF images as received from USGS.",915aebde-eb4b-41e3-b478-3329407a4d69,,1999,[1999 TO 1999],1999,Public,,English,Digital Orthophoto Quarter Quadrangle images for Pennsylvania,915aebde-eb4b-41e3-b478-3329407a4d69,,,FALSE,Dataset,State of Pennsylvania,Pennsylvania,"39.9375,-76.9375",Aerial imagery,United States Geologic Survey (USGS)|Pennsylvania Bureau of Topographic and Geologic Survey,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1,https://btaagdp.org/metadata/08a-01/FullMetadataDisplay.aspx%3ffile=doq99_pa.html
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=10,Matching,08a-01,08a-01,Active,FALSE,Imagery and Base Maps|Elevation,2019-03-28,Files,"ENVELOPE(-77.4716,-76.9584,40.0697,39.7199)",,Mixed,Pennsylvania State University,,,,"The U.S. Geological Survey has developed a National Elevation Database (NED).The NED is a seamless mosaic of best-available elevation data. The 7.5-minute elevation data for the conterminous United States are the primary initial source data. In addition to the availability of complete 7.5-minute data, efficient processing methods were developed to filter production artifacts in the existing data, convert to a consistent datum, edge-match, fill slivers of missing data at quadrangle seams, recast the data to a consistent geographic projection and convert all elevation values to decimal meters as a consistent unit of measure. NED has a resolution of one-third arc-second (approximately 10 meters) for much of the conterminous United States, Hawaii and Puerto Rico in a NAD83 datum. There is a resolution of two arc-seconds for Alaska and the datum is NAD27. NED at 10 meters is created using the same methods outlined above with the source data being mostly the 10m DEMs. DEMs at 5 meters, 1/3 arc-second, and 1/9 arc-second maps are also used where available. In some cases, the 10m NED is resampled from LIDAR or created using aerial photography. One of the effects of the NED processing steps is a much-improved base of elevation data for calculating slope and hydrologic derivatives. Artifact removal greatly improves the quality of the slope, shaded-relief, and synthetic drainage information that can be derived from the elevation data. Geospatial elevation data are used by the scientific and resource management communities for global change research, hydrologic modeling, resource monitoring, mapping, and visualization applications. NRCS has elected to ONLY serve NED 10 which is 10 meter or better and not NED 10 which was resampled from 30 meter. NRCS also serves the maps in a UTM projection. These two facts differentiate the maps from those served at http://seamless.usgs.gov/.",97afb685-0a36-480c-8e61-0809b6065861,,1999,[1999 TO 1999],1999,Public,,English,National Elevation Dataset 10 Meter 7.5x7.5 minute quadrangle for Pennsylvania,97afb685-0a36-480c-8e61-0809b6065861,,,FALSE,Dataset,State of Pennsylvania,Pennsylvania,"39.8948,-77.215",Geospatial data,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=10,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=10,https://btaagdp.org/metadata/08a-01/FullMetadataDisplay.aspx%3ffile=ned_10meter_quads.html
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=100,Matching,08a-01,08a-01,Active,FALSE,Elevation,2019-03-28,Files,"ENVELOPE(-74.696,-80.5194,42.2695,39.7199)",,Raster,Pennsylvania State University,,,,"Digital Elevation Model (DEM) is the terminology adopted by the USGS to describe terrain elevation data sets in a digital raster form. The standard DEM consists of a regular array of elevations cast on a designated coordinate projection system. The DEM data are stored as a series of profiles in which the spacing of the elevations along and between each profile is in regular whole number intervals. The normal orientation of data is by columns and rows. Each column contains a series of elevations ordered from south to north with the order of the columns from west to east. The DEM is formatted as one ASCII header record (A-record), followed by a series of profile records (B-records) each of which include a short B-record header followed by a series of ASCII integer elevations per each profile. The last physical record of the DEM is an accuracy record (C-record). 7.5-minute DEM (30- by 30-meter data spacing, cast on Universal Transverse Mercator (UTM) projection). Provides coverage in 7.5- by 7.5-minute blocks. Each product provides the same coverage as a standard USGS 7.5-minute quadrangle without over edge. Coverage is for the Contiguous United States, Hawaii, and Puerto Rico.",812dfe64-b0af-4310-a4d7-0100d5df7854,,1996,[1996 TO 1996],1996,Public,,English,Digital Elevation Model - 30-Meter: Pennsylvania,812dfe64-b0af-4310-a4d7-0100d5df7854,,,FALSE,Dataset,State of Pennsylvania,Pennsylvania,"40.9947,-77.6077",Geospatial data,United States Geological Survey (USGS),http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=100,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=100,https://btaagdp.org/metadata/08a-01/FullMetadataDisplay.aspx%3ffile=dem30meter.html
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1000,Matching,08a-01,08a-01,Active,FALSE,Imagery and Base Maps,2019-03-28,Files,"ENVELOPE(-82.9504,-89.7963,39.6539,35.4776)",Impervious surfaces,Raster,Pennsylvania State University,,,,"The National Land Cover Database 2001 tree canopy layer for mapping zone 47 was produced through a cooperative project conducted by the Multi-Resolution Land Characteristics (MRLC) Consortium. The MRLC Consortium is a partnership of federal agencies (www.mrlc.gov), consisting of the U.S. Geological Survey (USGS), the National Oceanic and Atmospheric Administration (NOAA), the U.S. Environmental Protection Agency (EPA), the U.S. Department of Agriculture (USDA), the U.S. Forest Service (USFS), the National Park Service (NPS), the U.S. Fish and Wildlife Service (FWS), the Bureau of Land Management (BLM) and the USDA Natural Resources Conservation Service (NRCS). One of the primary goals of the project is to generate a current, consistent, seamless, and accurate National Land cover Database (NLCD) circa 2001 for the United States at medium spatial resolution. For a detailed definition and discussion on MRLC and the NLCD 2001 products, refer to Homer et al. (2003) and http://www.mrlc.gov/mrlc2k.asp. The NLCD 2001 was created by partitioning the U.S. into mapping zones. A total of 66 mapping zones were delineated within the conterminous U.S. based on ecoregion and geographical characteristics, edge matching features and the size requirement of Landsat mosaics. Mapping zone 47 encompasses whole or portions of several states including the states of Kentucky, Indiana, Ohio, Tennessee, and Missouri. Questions about the NLCD mapping zone 47 can be directed to the NLCD 2001 land cover mapping team at the National Center, EROS, Sioux Falls, SD (605) 594-6151 or mrlc@usgs.gov.",075dc71b-2213-4bfd-a6cf-7c6e0a7321b3,,2003,[2003 TO 2003],2003,Public,,English,National Land Cover Database 2001 - Imperviousness Layer - Western Pennsylvania and Ohio,075dc71b-2213-4bfd-a6cf-7c6e0a7321b3,,,FALSE,Dataset,State of Pennsylvania,Pennsylvania,"37.5658,-86.3734",Geospatial data,United States Geological Survey (USGS),http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1000,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1000,https://btaagdp.org/metadata/08a-01/FullMetadataDisplay.aspx%3ffile=impervious11_westernpa_ohio_010407.html
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1001,Matching,08a-01,08a-01,Active,FALSE,Imagery and Base Maps,2019-03-28,Files,"ENVELOPE(-73.8497,-78.124,40.8165,35.7847)",,Raster,Pennsylvania State University,,,,"The National Land Cover Database 2001 for mapping zone 47 was produced through a cooperative project conducted by the Multi-Resolution Land Characteristics (MRLC) Consortium. The MRLC Consortium is a partnership of federal agencies (www.mrlc.gov), consisting of the U.S. Geological Survey (USGS), the National Oceanic and Atmospheric Administration (NOAA), the U.S. Environmental Protection Agency (EPA), the U.S. Department of Agriculture (USDA), the U.S. Forest Service (USFS), the National Park Service (NPS), the U.S. Fish and Wildlife Service (FWS), the Bureau of Land Management (BLM) and the USDA Natural Resources Conservation Service (NRCS). One of the primary goals of the project is to generate a current, consistent, seamless, and accurate National Land Cover Database (NLCD) circa 2001 for the United States at medium spatial resolution. For a detailed definition and discussion on MRLC and the NLCD 2001 products, refer to Homer et al. (2003) and http://www.mrlc.gov/mrlc2k.asp. The NLCD 2001 was created by partitioning the U.S. into mapping zones. A total of 66 mapping zones were delineated within the conterminous U.S. based on ecoregion and geographical characteristics, edge matching features and the size requirement of Landsat mosaics. Mapping zone 47 encompasses whole or portions of several states including the states of Kentucky, Indiana, Ohio, Tennessee, and Missouri. Questions about the NLCD mapping zone 47 can be directed to the NLCD 2001 land cover mapping team at the National Center, EROS, Sioux Falls, SD (605) 594-6151 or mrlc@usgs.gov.",11f9c7fb-7667-48d7-8a59-510103b9ef03,,2003,[2003 TO 2003],2003,Public,,English,National Land Cover Database 2001 - Imperviousness Layer - Pennsylvania and Northeast,11f9c7fb-7667-48d7-8a59-510103b9ef03,,,FALSE,Dataset,State of Pennsylvania,Pennsylvania,"38.3006,-75.9869",Geospatial data,United States Geological Survey (USGS),http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1001,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1001,https://btaagdp.org/metadata/08a-01/FullMetadataDisplay.aspx%3ffile=impervious13_pa_northeast_010407.html
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1002,Matching,08a-01,08a-01,Active,FALSE,Imagery and Base Maps,2019-03-28,Files,"ENVELOPE(-80.3503,-86.9213,36.0154,31.9648)",,Raster,Pennsylvania State University,,,,"The National Land Cover Database 2001 for mapping zone 47 was produced through a cooperative project conducted by the Multi-Resolution Land Characteristics (MRLC) Consortium. The MRLC Consortium is a partnership of federal agencies (www.mrlc.gov), consisting of the U.S. Geological Survey (USGS), the National Oceanic and Atmospheric Administration (NOAA), the U.S. Environmental Protection Agency (EPA), the U.S. Department of Agriculture (USDA), the U.S. Forest Service (USFS), the National Park Service (NPS), the U.S. Fish and Wildlife Service (FWS), the Bureau of Land Management (BLM) and the USDA Natural Resources Conservation Service (NRCS). One of the primary goals of the project is to generate a current, consistent, seamless, and accurate National Land Cover Database (NLCD) circa 2001 for the United States at medium spatial resolution. For a detailed definition and discussion on MRLC and the NLCD 2001 products, refer to Homer et al. (2003) and http://www.mrlc.gov/mrlc2k.asp. The NLCD 2001 was created by partitioning the U.S. into mapping zones. A total of 66 mapping zones were delineated within the conterminous U.S. based on ecoregion and geographical characteristics, edge matching features and the size requirement of Landsat mosaics. Mapping zone 47 encompasses whole or portions of several states including the states of Kentucky, Indiana, Ohio, Tennessee, and Missouri. Questions about the NLCD mapping zone 47 can be directed to the NLCD 2001 land cover mapping team at the National Center, EROS, Sioux Falls, SD (605) 594-6151 or mrlc@usgs.gov.",de2d9068-4d8f-45e1-8a06-ca27e04d1509,,2003,[2003 TO 2003],2003,Public,,English,National Land Cover Database 2001 - Imperviousness Layer - Southeast,de2d9068-4d8f-45e1-8a06-ca27e04d1509,,,FALSE,Dataset,State of Pennsylvania,United States of America,"33.9901,-83.6358",Geospatial data,United States Geological Survey (USGS),http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1002,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1002,https://btaagdp.org/metadata/08a-01/FullMetadataDisplay.aspx%3ffile=impervious14_southeast3k_091406.html
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1004,Matching,08a-01,08a-01,Active,FALSE,Biota|Environment,2019-03-28,Files,"ENVELOPE(-75.1079,-76.3652,40.8627,39.983)",,Vector,Pennsylvania State University,,,,"Natural Lands Trust works proactively to protect the natural heritage of the Philadelphia region for today and generations to come. This file contains various layers and maps for Schuylkill Action Network - Land Prioritization Strategy Model Included maps are: Composite Resource Protection Prioritization, Composite Resource Protection Prioritization 3 color, DVRPC Future Development Year 2020-2030, Future Development on High Priority CRP Areas, NLT SC Conservation Resource Prioritization, PWD Source Water Model. Also included are the GIS data layers that support these maps.",f291ceaf-7712-4b8f-9e7a-e0cc3f8399d6,,2007,[2007 TO 2007],2007,Public,,English,NLT - Schuylkill Action Network - Land Prioritization Strategy Model (GIS Data and Maps): Pennsylvania,f291ceaf-7712-4b8f-9e7a-e0cc3f8399d6,,,FALSE,Dataset,Delaware Valley Regional Planning Commission,Pennsylvania,"40.4228,-75.7365",Geospatial data,"Delaware Valley Regional Planning Commission, Natural Lands Trust, Philadelphia Water Department",http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1004,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1004,https://btaagdp.org/metadata/08a-01/FullMetadataDisplay.aspx%3ffile=NLT_metadata04012007.html
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1005,Matching,08a-01,08a-01,Active,FALSE,Planning and Cadastral,2019-03-28,Files,"ENVELOPE(-80.5211,-74.6895,42.5147,39.7198)",,Vector,Pennsylvania State University,,,,"Natural Lands Trust works proactively to protect the natural heritage of the Philadelphia region for today and generations to come. This file contains various layers and maps for Schuylkill Action Network - Land Prioritization Strategy Model Included maps are: Composite Resource Protection Prioritization, Composite Resource Protection Prioritization 3 color, DVRPC Future Development Year 2020-2030, Future Development on High Priority CRP Areas, NLT SC Conservation Resource Prioritization, PWD Source Water Model. Also included are the GIS data layers that support these maps.",15af7562-8ea1-43e8-82f1-774330ac82b7,,2007,[2007 TO 2007],2007,Public,,English,NLT - Schuylkill Action Network - Land Prioritization Strategy Model (GIS Data and Maps): Pennsylvania,15af7562-8ea1-43e8-82f1-774330ac82b7,,,FALSE,Dataset,Delaware Valley Regional Planning Commission,Pennsylvania,"41.1172,-77.6053",Geospatial data,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1005,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1005,https://btaagdp.org/metadata/08a-01/FullMetadataDisplay.aspx%3ffile=NLT_metadata04012007.html
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=102,Matching,08a-01,08a-01,Active,FALSE,Imagery and Base Maps,2019-03-28,Files,"ENVELOPE(-75.03,-75.92,40.98,40.4)",,Raster,Pennsylvania State University,,,,"Digital orthophoto covering Lehigh and Northampton County, Pennsylvania that was flow in spring 2010. An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Flown during leaf off conditions between March 27, 2010 and April 22, 2010. Digital imagery at 1''=200 design scale natural color aerial photography at 1' pixel resolution. Image tile dimensions are 5000' by 5000' and 1000tiles cover the entirety of Lehigh and Northampton Counties.",9ed950c5-2b3c-4a7a-8d9e-4f50ea5c21bd,,2010,[2010 TO 2010],2010,Public,,English,"LVPC 2010 Digital Orthoimagery: Lehigh/Northampton County, Pennsylvania",9ed950c5-2b3c-4a7a-8d9e-4f50ea5c21bd,,,FALSE,Dataset,Lehigh Valley Planning Commission,"Lehigh Valley, Pennsylvania|Pennsylvania","40.69,-75.475",Aerial imagery,Lehigh Valley Planning Commission|U.S. Geological Survey,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=102,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=102,https://btaagdp.org/metadata/08a-01/FullMetadataDisplay.aspx%3ffile=LehighNorthaerials2010.html
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1020,Matching,08a-01,08a-01,Active,FALSE,Imagery and Base Maps,2019-03-28,Files,"ENVELOPE(-75.2328,-75.2128,39.8705,39.8552)",,Raster,Pennsylvania State University,,,,Philadelphia aerial photography,dab68c55-59a4-45c4-9bac-d74ecde24696,,2016,[2016 TO 2016],2016,Public,,English,"Aerial Photography 2016 3in: Philadephia, Pennsylvania",dab68c55-59a4-45c4-9bac-d74ecde24696,,,FALSE,Dataset,"City of Philadelphia, Pennsylvania","Philadelphia, Pennsylvania|Pennsylvania","39.8629,-75.2228",Aerial imagery,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1020,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1020,https://btaagdp.org/metadata/08a-01/FullMetadataDisplay.aspx%3ffile=PhiladelphiaImagery2016_3in.html
