url,bbox
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=3Rivers_Data.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AbandonedCropLandSince1969_ChesBay.xml', '', '', '', '', '', ","-80.546657,36.338941,-73.684109,43.643778"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Access202205.xml', '', '', '', '', '', ","-80.516720,39.694960,-74.690070,42.258820"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=ActiveUndergroundPermitBoundaries2022_11.xml', '', '', '', '', '', ","-80.573775,39.710401,-78.546339,41.306125"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_AgSecurityAreas202211.xml', '', '', '', '', '', ","-77.431890,39.718087,-76.958211,40.064407"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_LandConservancyEasements202211.xml', '', '', '', '', '', ","-77.446040,39.716051,-76.962731,40.060219"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_MtJoyTwpPreservedFarms202211.xml', '', '', '', '', '', ","-77.187315,39.737967,-77.120451,39.806974"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_MunicipalBoundary202211.xml', '', '', '', '', '', ","-77.472235,39.717592,-76.952451,40.070974"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_Parcels202211.xml', '', '', '', '', '', ","-77.472229,39.717566,-76.952241,40.071480"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_PreservedFarms202211.xml', '', '', '', '', '', ","-77.406893,39.718355,-76.984984,40.052617"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_Roads202211.xml', '', '', '', '', '', ","-77.470487,39.717706,-76.954830,40.070894"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AerialPhotoColor_cached.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=agriculturalsecurityareas.xml', '', '', '', '', '', ","-80.519890,39.719800,-74.689520,42.269860"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AgriculturalSecurityAreas202011.xml', '', '', '', '', '', ","-80.013019,39.702553,-75.720662,41.665886"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AirEmissionPlants2022_10.xml', '', '', '', '', '', ","-80.579611,39.678451,-74.634977,42.242787"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=allarm2004.xml', '', '', '', '', '', ","-80.5181,39.693,-74.617,42.234"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCollege_GlacialDeposits1979.xml', '', '', '', '', '', ","-80.522125,41.480059,-80.119980,41.851616"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCollege_UnconsolidatedDeposits1987.xml', '', '', '', '', '', ","-80.520604,41.841946,-79.602871,42.283103"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty__ZipCodeBoundaries202207.xml', '', '', '', '', '', ","-80.444191,40.143151,-79.588984,40.832057"
