Title,Date,Publisher,Description,Metadata
Adams County - Ag Security Areas,2022,Adams County,"Agricultureal Security Areas  of Adams County, Pennsylvania",FullMetadataDisplay.aspx?file=AdamsCounty_AgSecurityAreas202210.xml
Adams County - Land Conservancy Easements,2022,Adams County,"Land Conservancy Easements of Adams County, Pennsylvania",FullMetadataDisplay.aspx?file=AdamsCounty_LandConservancyEasements202210.xml
Adams County - Mt Joy Twp Preserved Farms,2022,Adams County,"Mt Joy Twp Preserved Farms of Adams County, Pennsylvania",FullMetadataDisplay.aspx?file=AdamsCounty_MtJoyTwpPreservedFarms202210.xml
Adams County - Municipal Boundary,2022,Adams County,Adams County Municipal Boundaies,FullMetadataDisplay.aspx?file=AdamsCounty_MunicipalBoundary202210.xml
Adams County - Parcels,2022,Adams County,Adams County parcels,FullMetadataDisplay.aspx?file=AdamsCounty_Parcels202210.xml
Adams County - Preserved Farms,2022,Adams County,"Preserved Farms of Adams County, Pennsylvania",FullMetadataDisplay.aspx?file=AdamsCounty_PreservedFarms202210.xml
Adams County - Streets,2022,Adams County,Adams County streets,FullMetadataDisplay.aspx?file=AdamsCounty_Roads202210.xml
Glacial Deposits of Northwestern Pennsylvania,2018,Allegheny College,"Digitized regional surficial geology map for northwestern Pennsylvania. The complete citation for the paper map is: Map of the Glacial Deposits of Northwestern Pennsylvania by V.C. Shepps, J.B. Droste, and R.F. Sitler under the supervision of G.W.White, 1959, Bulletin G-32, Pennsylvania Geologic Survey. The original map was published at a scale of 1:125,000. Three counties are fully covered by these deposits and mapped (Crawford, Erie, and Mercer); five more are partially covered and mapped (Beaver, Butler, Lawrence, Warren, and Venango). 
This GIS dataset shows the areal distribution of 14 distinct glacial deposits from the Pleistocene Epoch and Recent stream alluvium and/or bedrock exposures. All mapping activity and lithologic interpretations were made by the original authors of the map (Shepps et al., 1959); the authors of this electronic geospatial resource (Shaffer et al., 2005) have only provided digital transfer of the map features and attributes and documentation of the process. Purpose:
This dataset identifies the distribution of surficial unconsolidated sediments (glacial deposits and stream alluvium) in northwestern PA. This map is the only published comprehensive regional surficial geologic map available for the region. The original map was digitized to provide an electronic version for GIS work. Potential users should read the Supplemental Information Section (below) to determine the appropriate scale for using these data. More detailed surficial geologic maps may exist within the mapped area in either paper or electronic format. Researchers are encouraged to check with the U.S. Geological Survey, Pennsylvania Geologic Survey, PASDA, and/or Geology Departments at local universities and colleges for other maps.",FullMetadataDisplay.aspx?file=NWPAGlacialDeposits2018.xml
"Thickness of Glacial Deposits, Western Crawford County, Pennsylvania",2010,Allegheny College,"Digitized sediment thickness map for western Crawford County, Pennsylvania. (The term western applies to all portions of the county west of 80 degrees 07' 30"") The complete citation for the source map is: Map Showing the Thickness of Glacial Deposits and Locations of Wells in Western Crawford County, Pennsylvania by George R. Schiner and John T. Gallaher, 1979, W46, Plate 2. The original map was published at a scale of 1:50,000. The map is a part of the Pennsylvania Geologic Survey Water Resource Report 46, Geology and Groundwater Resources of Western Crawford County, Pennsylvania. This GIS dataset shows the areal distribution of glacial deposits and estimated well yields across the western portion of Crawford County. Water well locations published on the source map have not been included here. All mapping activity and thickness interpretations were made by the original authors of the map (Shiner and Gallaher, 1979); the authors of this electronic geospatial resource (Shaffer et al., 2010) have only transferred the map features, assigned attributes, and documented our process.",FullMetadataDisplay.aspx?file=AlleghenyCollege_GlacialDeposits1979.xml
"Thickness of Unconsolidated Deposits of Erie County, Pennsylvania",2010,Allegheny College,"Digitized sediment thickness map for Erie County, Pennsylvania. The complete citation for the source map is: Map Showing the Thickness of Unconsolidated Deposits, Locations of Selected Wells, and Seismic-Refraction Cross Sections by David B. Richards, J. Jack McCoy, and John T. Gallaher, 1987, W62, Plate 2. The original map was published at a scale of 1:62,500. The map is a part of the Pennsylvania Geologic Survey Water Resource Report 62, Groundwater Resources of Erie County, Pennsylvania. This GIS dataset shows the areal distribution of sediment thickness across Erie County. Water well locations and geophysical data on the source map have not been included here. All mapping activity and thickness interpretations were made by the original authors of the map (Richards et al., 1987); the authors of this electronic geospatial resource (Shaffer et al., 2010) have only transferred the map features, assigned attributes, and documented our process.",FullMetadataDisplay.aspx?file=AlleghenyCollege_UnconsolidatedDeposits1987.xml
