Title,Date,Publisher,Description,Download
"(u'Best Fishing Waters - Lakes',)","(u'2019',)","(u'Pennsylvania Fish and Boat Commission',)","(u'\u201cPennsylvania\u2019s Best Fishing Waters\u201d program identifies proven waters for specific species.  This listing includes suggestions for distinct species within PA Lakes.',)",ftp://ftp.pasda.psu.edu/pub/pasda/pafish/historic
"(u'Best Fishing Waters - Streams',)","(u'2019',)","(u'Pennsylvania Fish and Boat Commission',)","(u'\u201cPennsylvania\u2019s Best Fishing Waters\u201d program identifies proven waters for specific species.  This listing includes suggestions for distinct species within PA Streams.',)",undefined
"(u'Captive Hazardous Waste Operation',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'A Captive Hazardous Waste Operation is a DEP primary facility type related to the Waste Management Hazardous Waste Program. The sub-facility types related to Captive Hazardous Waste Operations that are included in eMapPA are: Boiler/Industrial Furnace, Disposal Facility, Hazardous Generator, Incinerator, Recycling Facility, Storage Facility, and Treatment Facility. Captive Hazardous Waste Operation Sub-Facility Types\r\nBoiler or Industrial Furnace:\r\n\r\nFacility permitted by DEP to burn or process hazardous waste generated onsite, to recover thermal energy, or to accomplish recovery of materials in association with a manufacturing process.\r\n\r\nDisposal Facility:\r\n\r\nFacility permitted by DEP to dispose of hazardous waste generated onsite by incineration, or by intentionally placing the waste in or on land or water in specially designed and constructed containment units where the waste will remain after closure of the facility.\r\n\r\nHazardous Generator:\r\n\r\nA site where hazardous waste is first produced. The hazardous waste may be accumulated onsite at this facility for a prescribed limited amount of time (usually between 90 and 270 days) without first obtaining a storage permit from the Department, as long as it is done in accordance with prescribed standards.\r\n\r\nIncinerator:\r\n\r\nFacility permitted by DEP to burn or thermally combust hazardous waste generated onsite in an enclosed device using controlled flame. Devices meeting the criteria for classification as a boiler, industrial furnace, carbon regeneration unit, or sludge dryer are not incinerators.\r\n\r\nRecycling Facility:\r\n\r\nFacility permitted by DEP to treat hazardous waste generated onsite, making it suitable for upcoming recovery of a usable product or material.\r\n\r\nStorage Facility:\r\n\r\nFacility permitted by DEP to hold hazardous waste generated onsite for a temporary period (not to exceed one year). At the end of that period the hazardous waste is treated, disposed of, or stored elsewhere. Facilities accumulating hazardous wastes generated onsite in accordance with prescribed generator accumulation standards for a prescribed limited amount of time (usually between 90 and 270 days) are NOT storage facilities.\r\n\r\nTreatment Facility:\r\n\r\nFacility permitted by DEP to change the physical, chemical or biological character or composition of hazardous waste that is generated onsite. The purpose is to neutralize the waste or to render the waste non-hazardous, safer for transport, suitable for recovery, suitable for storage, or reduced in volume.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Commercial Hazardous Waste Operations',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'A Commercial Hazardous Waste Operation is a DEP primary facility type related to the Waste Management Hazardous Waste Program. The sub-facility types related to Commercial Hazardous Waste Operations that are included are: Disposal Facility, Hazardous Generator, Recycling Facility, Storage Facility, and Treatment Facility. Disposal Facility:\r\n\r\nFacility permitted by DEP to accept hazardous waste generated off-site, and dispose of the waste by incineration, or by intentionally placing the waste in or on land or water in specially designed and constructed containment units where it will remain after closure of the facility',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Municipal Waste Operations',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'A Municipal Waste Operation is a DEP primary facility type related to the Waste Management Municipal Waste Program. The sub-facility types related to Municipal Waste Operations that are included are: Composting:\r\n\r\nIncludes facilities that use land for processing municipal waste by composting. Composting is a process that biologically decomposes organic waste under controlled anaerobic or aerobic conditions to yield a humus-like product.\r\n\r\nLand Application:\r\n\r\nIncludes facilities that uses agricultural utilization or land reclamation of waste. Sewage sludge is land-applied for its nutrient value or as a soil conditioner.\r\n\r\nLandfill - Abandoned:\r\n\r\nThe Abandoned Landfill Inventory Project collects geospatial and descriptive data for closed and abandoned landfills throughout the state of Pennsylvania. Locations for sites were determined from historic records such as microfiche, index card, topographic map, and staff personal files, and then compiled into site lists. Each of the six DEP regions is staffed with summer interns who physically locate the sites and collect the data for the project.\r\n\r\nThe purpose of the Abandoned Landfill Inventory Project is to determine the location of abandoned and closed landfills in order to catalog potential environmental hazards. The data is intended for internal government and public consumption, in order to keep property sales, clean-up efforts, and land development well informed.\r\n\r\nFor metadata on the ALI Project, see Abandoned Landfill Metadata. \r\n\r\nLandfill:\r\n\r\nA landfill is a facility that uses land for the disposal of municipal waste.\r\n\r\nProcessing Facility:\r\n\r\nA processing facility is a transfer station, composting facility, resource recovery facility, or a facility that reduces the volume or bulk of municipal waste for offsite reuse.\r\n\r\nResource Recovery:\r\n\r\nA resource recovery is a facility that provides for the extraction and utilization of materials or energy from municipal waste. The facility can be a mechanical extraction facility or a combustion facility.\r\n\r\nTransfer Station:\r\n\r\nA transfer station is a facility that receives and processes or temporarily stores municipal waste at a location other than the generation site. This sub-facility facilitates the transportation or transfer of municipal waste to a processing or disposal facility.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Radiation Facilities',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'A Radiation Facility is a DEP primary facility type related to the Radiation Protection Program. The sub-facility types related to Radiation that are included are:___\r\nAccelerator -- Electronic machine producing high energy radiation, \r\nMammography Quality Stds Act Tube -- Specialized X-ray equipment for mammography, \r\nX-ray Machine -- A facility where X-ray machines other than accelerators are used',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Residual Waste Operations',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'A Residual Waste Operation is a DEP primary facility type related to the Waste Management Residual Waste Program. Residual waste is waste generated at an industrial, mining, or wastewater treatment facility. The sub-facility types related to Residual Waste that are included are:____ Generator:\r\n\r\nA generator is a person, company, institution, or municipality that produces or creates residual waste. Residual waste is waste generated at an industrial, mining, or wastewater treatment facility.\r\n\r\nImpoundment:\r\n\r\nAn impoundment is a facility designed to hold an accumulation of liquid wastes.\r\n\r\nIncinerator:\r\n\r\nAn incinerator is an enclosed device using controlled combustion to thermally break down residual waste.\r\n\r\nLand Application:\r\n\r\n\r\nLand application is a facility that uses agricultural utilization or land reclamation of waste. Residual waste is land applied for its nutrient value or as a soil conditioner.\r\n\r\nLandfill:\r\n\r\nA landfill is a facility that uses land for the disposal of residual waste.\r\n\r\nProcessing Facility:\r\n\r\nA processing facility is a transfer station, compost facility, resource recovery facility, or a facility that reduces the volume or bulk of residual waste for off-site reuse.\r\n\r\nTransfer Station:\r\n\r\nA transfer station receives and processes or temporarily stores residual waste at a location other than the generation site. This sub-facility facilitates the transportation or transfer of residual waste to a processing or disposal facility.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Storage Tank Locations - Inactive',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'A Storage Tank Location is a DEP primary facility type, and its sole sub-facility is the storage tank itself. Storage tanks are aboveground or underground, and are regulated under Chapter 245 pursuant to the Storage Tank and Spill Prevention Act. Storage tanks currently contain, have contained in the past, or will contain in the future, petroleum or a regulated hazardous substance. Above ground storage tanks that either contain hazardous materials or have a capacity greater than 21000 are removed.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Storage Tank Locations - Active',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u'A Storage Tank Location is a DEP primary facility type, and its sole sub-facility is the storage tank itself. Storage tanks are aboveground or underground, and are regulated under Chapter 245 pursuant to the Storage Tank and Spill Prevention Act. Storage tanks currently contain, have contained in the past, or will contain in the future, petroleum or a regulated hazardous substance.\r\n\r\nAbove ground storage tanks that either contain hazardous materials or have a capacity greater than 21000 are removed.',)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
"(u'Water Pollution Control Facilities',)","(u'2019',)","(u'Pennsylvania Department of Environmental Protection',)","(u""A Water Pollution Control Facility is a DEP primary facility type related to the Water Pollution Control Program. The sub-facility types related to Water Pollution Control that are included are:___\r\nCompost/Processing -- Indicates that the facility treats sewage sludge by composting to produce a material that can be beneficially used, biosolids. \r\nConveyance System -- Sewerage system without treatment \r\nDischarge Point --  Discharge point to stream \r\nGroundwater Monitoring Point --   \r\nInternal Monitoring Point --  Used to monitor internal processes-not a discharge \r\nLand Discharge -- Land application of wastewater \r\nOutfall Structure -- Outfall structure to stream \r\nPump Station -- Sewerage pump station \r\nStorage Unit -- Storage of wastewater \r\nTreatment Plant -- Sewage or industrial wastewater treatment plant \r\n____The primary facility kinds of 'Sewage Non-Publicly Owned (Non-Muni)' and 'Sewage Publicly Owned (Muni)' are removed."",)",ftp://ftp.pasda.psu.edu/pub/pasda/dep/historic
