245,034$d,034$e,034$f,034$g,650,651,520$a
"10$aBiofuel Feedstock Potential in the Chesapeake Bay - Switchgrass on Abandoned Cropland.","-80.546657","-73.684109","43.643778","36.338941","\7$aFarming.$2ISO 19155 Topic Categories|\7$aEnvironment.$2ISO 19155 Topic Categories|\7$autilitiesCommunication.$2ISO 19155 Topic Categories|\7$aEnergy.$2ISO 19155 Topic Categories|\7$aBiofuel.$2ISO 19155 Topic Categories|\7$aSwitchgrass.$2ISO 19155 Topic Categories","\0$aChesapeake Bay.","AbandonedCropLandSince1969_ChesBay."
"10$a7.5 minute digital elevation models (DEM) for Pennsylvania 10 meter.","-80.5194","-74.696","42.2695","39.7199","\7$aDEM.$2ISO 19115 Topic Categories|\7$adigital elevation model.$2ISO 19115 Topic Categories|\7$aelevation.$2ISO 19115 Topic Categories|\7$adigital terrain model.$2ISO 19115 Topic Categories|\7$ahypsography.$2ISO 19115 Topic Categories|\7$aaltitude.$2ISO 19115 Topic Categories","\7$aAbbottstown Quadrangle.$2none|\7$aPennsylvania.$2none","abbottstown_pa-zip."
"10$aActive Underground Permit Boundaries 201801.","-80.573775","-78.546339","41.306125","39.710401","\7$aeconomy.$2ISO 19115 Topic Categories|\7$aActive Underground Permit Boundaries, underground permit area boundaries.$2ISO 19115 Topic Categories|\7$acoal mine.$2ISO 19115 Topic Categories|\7$abituminous coal.$2ISO 19115 Topic Categories|\7$amine map.$2ISO 19115 Topic Categories|\7$aPermit Boundaries, Mining.$2ISO 19115 Topic Categories|\7$ageoscientificinformation.$2ISO 19115 Topic Categories","\0$aPennsylvania.","ActiveUndergroundPermitBoundaries2018_02."
"10$aAerial Photo Color 2003-2006 (cached mapservice)",,,,,"\7$aImagery/Base Maps/Earth Cover.$2ISO 19115 Topic Categories|\7$aimage map.$2ISO 19115 Topic Categories|\7$aorthoimage.$2ISO 19115 Topic Categories|\7$anatural color orthophoto.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories|\7$arectified image.$2ISO 19115 Topic Categories|\7$arectified photograph.$2ISO 19115 Topic Categories|\7$amapservice.$2ISO 19115 Topic Categories|\7$acache.$2ISO 19115 Topic Categories",,"AerialPhotoColor_cached."
"10$aAgricultural Security Areas."," -80.519890"," -74.689520"," 42.269860"," 39.719800","\7$aAgriculture.$2ISO 19115 Topic Categories|\7$afarming.$2ISO 19115 Topic Categories",,"agriculturalsecurityareas."
"10$aALLARM Pennsylvania water quality database."," -80.5181"," -74.617"," 42.234"," 39.693","\7$awater quality.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\0$aCodoras Creek.|\0$aConamaugh Valley.|\0$aConewengo.|\0$aCoppley Creek.|\0$aPennsylvania.|\0$aRoaring Run.|\0$aStoney Creek.","allarm2004."
"10$aALLARM Pennsylvania water quality database.","-80.5181","-74.617","42.234","39.693","\7$awater quality.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\0$aCodoras Creek.|\0$aConamaugh Valley.|\0$aConewengo.|\0$aCoppley Creek.|\0$aPennsylvania.|\0$aRoaring Run.|\0$aStoney Creek.","allarm-zip."
"10$aThickness of Glacial Deposits, Western Crawford County, Pennsylvania.","-80.522125","-80.119980","41.851616","41.480059","\7$asurficial deposits.$2Glossary of Geology (Fifth edition) 2005. Klaus K.E. Neuendorf, James P. Mehl, Jr., and Julia A. Jackson, editors; Washington D.C.: The American Geological Institute, 800 pp.|\7$aisopach map.$2Glossary of Geology (Fifth edition) 2005. Klaus K.E. Neuendorf, James P. Mehl, Jr., and Julia A. Jackson, editors; Washington D.C.: The American Geological Institute, 800 pp.|\7$aunconsolidated.$2Glossary of Geology (Fifth edition) 2005. Klaus K.E. Neuendorf, James P. Mehl, Jr., and Julia A. Jackson, editors; Washington D.C.: The American Geological Institute, 800 pp.|\7$ageoscientificinformation.$2Glossary of Geology (Fifth edition) 2005. Klaus K.E. Neuendorf, James P. Mehl, Jr., and Julia A. Jackson, editors; Washington D.C.: The American Geological Institute, 800 pp.","\0$aPennsylvania.|\0$aCrawford County.","AlleghenyCollege_GlacialDeposits1979."
"10$aThickness of Unconsolidated Deposits of Erie County, Pennsylvania.","-80.520604","-79.602871","42.283103","41.841946","\7$asurficial deposits.$2Glossary of Geology (Fifth edition) 2005. Klaus K.E. Neuendorf, James P. Mehl, Jr., and Julia A. Jackson, editors; Washington D.C.: The American Geological Institute, 800 pp.|\7$aisopach map.$2Glossary of Geology (Fifth edition) 2005. Klaus K.E. Neuendorf, James P. Mehl, Jr., and Julia A. Jackson, editors; Washington D.C.: The American Geological Institute, 800 pp.|\7$aunconsolidated.$2Glossary of Geology (Fifth edition) 2005. Klaus K.E. Neuendorf, James P. Mehl, Jr., and Julia A. Jackson, editors; Washington D.C.: The American Geological Institute, 800 pp.|\7$ageoscientificinformation.$2Glossary of Geology (Fifth edition) 2005. Klaus K.E. Neuendorf, James P. Mehl, Jr., and Julia A. Jackson, editors; Washington D.C.: The American Geological Institute, 800 pp.","\0$aPennsylvania.|\0$aErie County.","AlleghenyCollege_UnconsolidatedDeposits1987."
"10$aAllegheny County Zip Code Boundaries.","-80.444191","-79.588984","40.832057","40.143151","\7$aboundaries.$2ISO 19115 Topic Categories",,"AlleghenyCounty__ZipCodeBoundaries2016."
