Title,Spatial Coverage,Alternative Title,Description,Language,Creator,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Resource Type,Format,Information,Download,ID,Identifier,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,License,Access Rights,File Size,Bounding Box
Points of Interest [Alabama],Alabama,HOTOSM United States (Alabama) Points of Interest (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IS NOT NULL OR man_made IS NOT NULL OR shop IS NOT NULL OR tourism IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|points of interest - poi,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_alabama_points_of_interest,https://data.humdata.orghttps://export.hotosm.org/downloads/c4aff268-47b8-4b3b-834d-a1cdc38f0504/hotosm_usa_alabama_points_of_interest_points_shp.zip,6bb2d931-e5e2-493b-a4b9-9519caea1f84,https://data.humdata.org/dataset/hotosm_usa_alabama_points_of_interest,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-88.4731014,30.143376,-84.8882885,35.0081121"
Airports [Alabama],Alabama,HOTOSM United States (Alabama) Airports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:aeroway IS NOT NULL OR building = 'aerodrome' OR emergency:helipad IS NOT NULL OR emergency = 'landing_site'Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,airports|aviation|facilities and infrastructure|geodata|helicopter landing zone - hlz|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_alabama_airports,https://data.humdata.orghttps://export.hotosm.org/downloads/c4aff268-47b8-4b3b-834d-a1cdc38f0504/hotosm_usa_alabama_airports_points_shp.zip,0a40d00e-79c0-4f93-98ac-8d8b690103a3,https://data.humdata.org/dataset/hotosm_usa_alabama_airports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-88.4731014,30.143376,-84.8882885,35.0081121"
Sea Ports [Alabama],Alabama,HOTOSM United States (Alabama) Sea Ports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity = 'ferry_terminal' OR building = 'ferry_terminal' OR port IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|logistics|ports|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_alabama_sea_ports,https://data.humdata.orghttps://export.hotosm.org/downloads/c4aff268-47b8-4b3b-834d-a1cdc38f0504/hotosm_usa_alabama_sea_ports_points_shp.zip,ec39b9f7-f4f9-40b7-b1b9-a88a465b191c,https://data.humdata.org/dataset/hotosm_usa_alabama_sea_ports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-88.4731014,30.143376,-84.8882885,35.0081121"
Health Facilities [Alabama],Alabama,HOTOSM United States (Alabama) Health Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:healthcare IS NOT NULL OR amenity IN ('doctors','dentist','clinic','hospital','pharmacy')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|health|health facilities,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_alabama_health_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/c4aff268-47b8-4b3b-834d-a1cdc38f0504/hotosm_usa_alabama_health_facilities_points_shp.zip,9a8f33a8-e8f6-49a5-9bc9-387929068430,https://data.humdata.org/dataset/hotosm_usa_alabama_health_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-88.4731014,30.143376,-84.8882885,35.0081121"
Waterways [Alabama],Alabama,HOTOSM United States (Alabama) Waterways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:waterway IS NOT NULL OR water IS NOT NULL OR natural IN ('water','wetland','bay')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|rivers|water bodies - hydrography|waterbodies,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_alabama_waterways,https://data.humdata.orghttps://export.hotosm.org/downloads/c4aff268-47b8-4b3b-834d-a1cdc38f0504/hotosm_usa_alabama_waterways_lines_shp.zip,b9f8e0dd-437f-48a8-9891-3436c6cad3dd,https://data.humdata.org/dataset/hotosm_usa_alabama_waterways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-88.4731014,30.143376,-84.8882885,35.0081121"
Financial Services [Alabama],Alabama,HOTOSM United States (Alabama) Financial Services (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IN ('mobile_money_agent','bureau_de_change','bank','microfinance','atm','sacco','money_transfer','post_office')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,financial institutions|geodata|services,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_alabama_financial_services,https://data.humdata.orghttps://export.hotosm.org/downloads/c4aff268-47b8-4b3b-834d-a1cdc38f0504/hotosm_usa_alabama_financial_services_points_shp.zip,029e28f7-a205-42b4-9cc1-260e8f1d87c1,https://data.humdata.org/dataset/hotosm_usa_alabama_financial_services,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-88.4731014,30.143376,-84.8882885,35.0081121"
Populated Places [Alabama],Alabama,HOTOSM United States (Alabama) Populated Places (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:place IN ('isolated_dwelling','town','village','hamlet','city')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|populated places - settlements,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_alabama_populated_places,https://data.humdata.orghttps://export.hotosm.org/downloads/c4aff268-47b8-4b3b-834d-a1cdc38f0504/hotosm_usa_alabama_populated_places_points_shp.zip,da31fbad-b3ca-432e-bdc9-2774d7ae1456,https://data.humdata.org/dataset/hotosm_usa_alabama_populated_places,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-88.4731014,30.143376,-84.8882885,35.0081121"
Railways [Alabama],Alabama,HOTOSM United States (Alabama) Railways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:railway IN ('rail','station')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|railways|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_alabama_railways,https://data.humdata.orghttps://export.hotosm.org/downloads/c4aff268-47b8-4b3b-834d-a1cdc38f0504/hotosm_usa_alabama_railways_lines_shp.zip,8f5af88d-83a9-4995-a279-eee72d2ff851,https://data.humdata.org/dataset/hotosm_usa_alabama_railways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-88.4731014,30.143376,-84.8882885,35.0081121"
Buildings [Alabama],Alabama,HOTOSM United States (Alabama) Buildings (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:building IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,buildings|geodata,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_alabama_buildings,https://data.humdata.orghttps://export.hotosm.org/downloads/c4aff268-47b8-4b3b-834d-a1cdc38f0504/hotosm_usa_alabama_buildings_polygons_shp.zip,4ff5d608-b641-4b41-b01c-5eb5f492a3c6,https://data.humdata.org/dataset/hotosm_usa_alabama_buildings,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-88.4731014,30.143376,-84.8882885,35.0081121"
Roads [Alabama],Alabama,HOTOSM United States (Alabama) Roads (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:highway IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|roads|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_alabama_roads,https://data.humdata.orghttps://export.hotosm.org/downloads/c4aff268-47b8-4b3b-834d-a1cdc38f0504/hotosm_usa_alabama_roads_lines_shp.zip,b2714e7b-18b9-499d-9d88-74effb6294f4,https://data.humdata.org/dataset/hotosm_usa_alabama_roads,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-88.4731014,30.143376,-84.8882885,35.0081121"
