Title,Alternative Title,Description,Language,Creator,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Update Frequency,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,ID,Identifier,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,License,Access Rights,Suppressed,Child Record,File Size
Beirut port explosion operational zones,Beirut port explosion operational zones,Beirut port explosion operational zonesUPDATED 9 October 2020:Enlarged zones with UN HABITAT socio-economic classification and the 3Km priority of the Flash Appeal priority radius added.   Please see the methodology section in the metadata for further information.UPDATED 19 August 2020:11 operational zones numbered 129 to 139 inclusive added to the Sinn El-Fil cadastre south of the origional set.Zones spreadsheet added.NOTESUsers are referred to the compatible Beirut buildings footprints COD.The standard Administrative Boundary Common Operational Dataset (COD-AB) can be found at Lebanon - Subnational Administrative Boundaries.,eng,OCHA Lebanon,Datasets,,common operational dataset - cod,2020-10-09,"August 11, 2020-August 11, 2020",2020-2020,Every week,Lebanon,"35.1037,34.6921,36.6237,33.055",Vector data,Shapefile,https://data.humdata.org/dataset/beirut-port-explosion-operational-zones,https://data.humdata.org/dataset/cb7c8fe8-579f-4e0c-b840-eb6a09fd6ee7/resource/58ca7a96-8366-4464-bdd0-c0270ef77252/download/beirut_port_explosions_operational_zones_139.zip,f6b2c43f-a7bf-44f1-a874-7808b4e33bf4,https://data.humdata.org/dataset/beirut-port-explosion-operational-zones,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Other: humanitarian use only,Public,FALSE,FALSE,37.3K
Population potentially exposed to floods between 12&21 July 2020  in Bangladesh,Population potentially exposed to floods between 12&21 July 2020  in Bangladesh,"UNOSAT code: FL20200713BGD  This map illustrates potentially exposed population to floods (cumulative) aggregated by district using NOAA20-VIIRS in Bangladesh  between the 12th and the 21st of July 2020 and Worldpop spatial demographic data. About 34 million people were  exposed or living close to flooded areas. The most exposed districts mainly located in Sylhet, Mymensingh and Rajshahi divisions.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-08-11,"July 24, 2020-July 24, 2020",2020-2020,Never,Bangladesh,"88.0283,26.6319,92.6737,20.5762",Vector data,Shapefile,https://data.humdata.org/dataset/population-potentially-exposed-to-floods-between-12-21-july-2020-in-bangladesh,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/BD/FL20200713BGD/FL20200713BGD_SHP.zip,23567f05-1cd0-4088-a0b2-8fd32caadb69,https://data.humdata.org/dataset/population-potentially-exposed-to-floods-between-12-21-july-2020-in-bangladesh,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
Satellite detected water extent as of 21 July 2020 over Northwestern region of Bangladesh,Satellite detected water extent as of 21 July 2020 over Northwestern region of Bangladesh,"UNOSAT code: FL20200713BGD  This map illustrates satellite-detected surface waters over Khulna, Rajshahi and Rangpur Division of Bangladesh of Bangladesh as observed from a Sentinel-1 image acquired on 9 July 2020 and 21 July 2020. Within the analyzed area of about 15,000 km2, a total of about 3,600 km2 of lands appear to be flooded. Based on Worldpop population data and the detected surface waters, about 2,507,000 people are potentially exposed or living close to flooded areas. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from Sentinel-1 image acquired on 9 July 2020 and 21 July 2020 may underestimate the presence of standing",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-07-24,"July 22, 2020-July 22, 2020",2020-2020,Never,Bangladesh,"88.0283,26.6319,92.6737,20.5762",Vector data,Shapefile,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-21-july-2020-over-northwestern-region-of-bangladesh,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/BD/FL20200713BGD/FL20200713BGD_SHP.zip,73def9dc-b2a7-40c9-bd28-31d136b9cb8e,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-21-july-2020-over-northwestern-region-of-bangladesh,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
Satellite detected water extent as of 20 July 2020 over the Northeastern region of Bangladesh,Satellite detected water extent as of 20 July 2020 over the Northeastern region of Bangladesh,"UNOSAT code: FL20200713BGD  This map illustrates satellite-detected surface waters over Chittagong, Dhaka, Mymensingh and Sylhet Divisions of Bangladesh as observed from a Sentinel-1 image acquired on 20 July 2020 due to the current monsoon rains. Within the analyzed area of about 14,250 km2, a total of about 7,120 km2 of lands appear to be flooded. Based on WorldPop population data and the detected surface waters, about 6,700,000 people area potentially exposed or living close to flooded areas. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-07-24,"July 22, 2020-July 22, 2020",2020-2020,Never,Bangladesh,"88.0283,26.6319,92.6737,20.5762",Vector data,Shapefile,https://data.humdata.org/dataset/water-extent-as-of-20-july-2020-over-the-northeastern-region-of-bangladesh,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/BD/FL20200713BGD/FL20200713BGD_SHP.zip,c176e91d-d3b0-4d6f-9291-d7edbd418b8a,https://data.humdata.org/dataset/water-extent-as-of-20-july-2020-over-the-northeastern-region-of-bangladesh,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
Satellite detected water extent as of 19 July 2020 of Bangladesh,Satellite detected water extent as of 19 July 2020 of Bangladesh,"UNOSAT code: FL20200713BGD  This map illustrates satellite-detected surface waters in the central parts of Bangladesh as observed from a Sentinel-1 image acquired on 19 July 2020 and 13 July 2020. Within the analyzed area of about 40,000 km2, a total of about 8,700 km2 of lands appear to be flooded.This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.Important Note: Flood analysis from Sentinel-1 imagery acquired on 19 July 2020 and 13 July 2020 may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-07-24,"July 21, 2020-July 21, 2020",2020-2020,Never,Bangladesh,"88.0283,26.6319,92.6737,20.5762",Vector data,Shapefile,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-19-july-2020-of-bangladesh,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/BD/FL20200713BGD/FL20200713BGD_SHP.zip,3c97fd32-06e2-48ec-9ed2-c64e4f0817f3,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-19-july-2020-of-bangladesh,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
"Satellite detected water extent as of 18 July 2020 over Eastern part of Sylhet Division, Bangladesh","Satellite detected water extent as of 18 July 2020 over Eastern part of Sylhet Division, Bangladesh","UNOSAT code: FL20200713BGD  This map illustrates satellite-detected surface waters over the Eastern part of the Sylhet division of Bangladesh as observed from a TerraSAR-X image acquired on 18 July 2020 due to the current monsoon rains. Within the analyzed area of about 8,600 km2, a total of about 2,200 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Based on WorldPop population data and the detected surface waters, about 2,000,000 people area potentially exposed or living close to flooded areas. Please send ground feedback to UNITAR - UNOSAT.Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-07-24,"July 21, 2020-July 21, 2020",2020-2020,Never,Bangladesh,"88.0283,26.6319,92.6737,20.5762",Vector data,Shapefile,https://data.humdata.org/dataset/water-extent-as-of-18-july-2020-over-eastern-part-of-sylhet-division-bangladesh,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/BD/FL20200713BGD/FL20200713BGD_SHP.zip,c107a338-e59c-4c34-b9a0-f24acc520fd2,https://data.humdata.org/dataset/water-extent-as-of-18-july-2020-over-eastern-part-of-sylhet-division-bangladesh,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
Satellite detected water extent as of 14 July 2020 over Province 2 of Nepal,Satellite detected water extent as of 14 July 2020 over Province 2 of Nepal,"UNOSAT code: FL20200708NPL  This map illustrates satellite-detected surface waters in Province 2 of Nepal as observed from a Radarsat-2 image acquired on 14 July 2020 due to the current monsoon rains. Within the analyzed area of about 2,000 km2, a total of about 50 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-07-24,"July 16, 2020-July 16, 2020",2020-2020,Never,Nepal,"80.0585,30.4474,88.2015,26.348",Vector data,Shapefile,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-14-july-2020-over-province-2-of-nepal,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/NP/FL20200708NPL/FL20200708NPL_SHP.zip,4a7bdcfa-e7d5-424f-9b7d-f202d1398de3,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-14-july-2020-over-province-2-of-nepal,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
Satellite detected water extent as of 13 July 2020 over Province 2 of Nepal,Satellite detected water extent as of 13 July 2020 over Province 2 of Nepal,"UNOSAT code: FL20200708NPL  This map illustrates satellite-detected surface waters in Province 2 of Nepal as observed from a Sentinel-1 image acquired on 13 July 2020 due to the current monsoon rains. Within the analyzed area of about 2,300 km2, a total of about 200 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-07-24,"July 15, 2020-July 15, 2020",2020-2020,Never,Nepal,"80.0585,30.4474,88.2015,26.348",Vector data,Shapefile,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-13-july-2020-over-province-2-of-nepal,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/NP/FL20200708NPL/FL20200708NPL_SHP.zip,58825d9c-ed8e-48aa-8530-64d1e187a885,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-13-july-2020-over-province-2-of-nepal,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
Satellite detected water extent as of 12 July 2020 over Province 1 and 2 of Nepal,Satellite detected water extent as of 12 July 2020 over Province 1 and 2 of Nepal,"UNOSAT code: FL20200708NPL  This map illustrates satellite-detected surface waters in Province 1 and 2 of Nepal as observed from a Radarsat-2  image acquired on 12 July 2020 due to the current monsoon rains. Within the analyzed area of about 3,000 km2, a total of about 475 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-07-24,"July 13, 2020-July 13, 2020",2020-2020,Never,Nepal,"80.0585,30.4474,88.2015,26.348",Vector data,Shapefile,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-12-july-2020-over-province-1-and-2-of-nepal,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/NP/FL20200708NPL/FL20200708NPL_SHP.zip,8854a7e8-975c-4ac3-8ee2-5de0a550e7e2,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-12-july-2020-over-province-1-and-2-of-nepal,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
Satellite detected water extent as of 12 July 2020 over Province 2 of Nepal,Satellite detected water extent as of 12 July 2020 over Province 2 of Nepal,"UNOSAT code: FL20200708NPL  This map illustrates satellite-detected surface waters in Province 2 of Nepal as observed from a TerraSAR-X image acquired on 12 July 2020 due to the current monsoon rains. Within the analyzed area of about 900 km2, a total of about 35 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT. 
Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),Datasets,,floods - storm surges|geodata,2020-07-24,"July 14, 2020-July 14, 2020",2020-2020,Never,Nepal,"80.0585,30.4474,88.2015,26.348",Vector data,Shapefile,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-12-july-2020-over-province-2-of-nepal,https://data.humdata.orghttps://unosat-maps.web.cern.ch/unosat-maps/NP/FL20200708NPL/FL20200708NPL_SHP.zip,218b141f-6c78-413d-b98d-0d5b5420c486,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-12-july-2020-over-province-2-of-nepal,University of Minnesota,99-1400,99-1400,Active,HTML,2021-10-31,,Creative Commons Attribution Share-Alike,Public,FALSE,FALSE,
