Title,Alternative Title,Description,Language,Creator,titleSource,Resource Class,Theme,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,HTML,Image,ID,Identifier,Provider,Code,Member Of,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record
"Forest Health Survey 2022, Minnesota",,"This dataset shows where largescale tree canopy damage was delineated in aerial surveys in 2022. Only forest disturbances were mapped if they were occurring at the time of the flight. Flights occurred sporadically from early June to mid September. The following were the most common disturbers, listed from largest area disturbed to smallest area disturbed: spruce budworm, eastern larch beetle, aspen decline, unknown cause of defoliation on hardwoods and aspen, wind, forest tent caterpillar, oak wilt, flooding, unknown causes of mortality, large aspen tortrix, bark beetles on pine, larch casebearer, and twolined chestnut borer. Not included in this dataset are unmapped areas of damage from emerald ash borer in the north metro area, forest damage in southeast Minnesota, and most twolined chestnut borer-infested forests.",eng,"Minnesota Department of Natural Resources (MNDNR) - Division of Forestry, Forest Health Unit and US Forest Service",State of Minnesota,Datasets,Environment,bark beetles|budworm|caterpillar|diseases|eab|eastern larch beetle|emerald ash borer|flooding|forest health|forest tent caterpillar|insects|spruce budworm|tree damage|tree health|twolined chestnut borer|wind,2022-10-21T08:03:45.317706,Continually updated resource,,Minnesota,"-97.230,43.500,-89.530,49.370",Vector data,Shapefile,https://gisdata.mn.gov/dataset/env-forest-health-survey-2022,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/env_forest_health_survey_2022/shp_env_forest_health_survey_2022.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/env_forest_health_survey_2022/metadata/metadata.html,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/env_forest_health_survey_2022/metadata/preview.jpg,c4b4cf70-a5a5-4dc9-b976-e489bd933e12,env-forest-health-survey-2022,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,12/19/22,,Public,FALSE,FALSE
"Aerial Photography - 2008 - Spring, Dakota County, Minnesota",,Low level (6-inch & 12-inch) aerial photography for Dakota County flown in Spring 2008. 6-inch tested 6.99 feet horizontal accuracy at 95% confidence level and covers primarily the urban portions of the County. 12-inch tested 7.36 feet horizontal accuracy at 95% confidence level and covers the whole extent of the County.,eng,Dakota County,Dakota County,Imagery,Imagery and Basemaps,aerial photo|aerial photography|air photo|air photography|base map|digital orthorectified image|ortho|orthophoto,2022-11-22T09:03:59.893454,Continually updated resource,,"Dakota County, Minnesota|Minnesota","-93.330,44.469,-92.729,44.923",Satellite imagery,Imagery,https://gisdata.mn.gov/dataset/us-mn-co-dakota-base-aerialphotography-2008-sprg,https://gisimg.co.dakota.mn.us/arcgis/services/AerialPhotography/2008AirPhotoLeafOff12Inch/ImageServer/WMSServer?request=GetCapabilities&service=WMS,,,https://gisimg.co.dakota.mn.us/arcgis/rest/services/AerialPhotography/2008AirPhotoLeafOff12Inch/ImageServer,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2008_sprg/metadata/metadata.html,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2008_sprg/metadata/preview.jpg,6fb48e5a-2942-467a-871e-ee2d9b0f1e08,us-mn-co-dakota-base-aerialphotography-2008-sprg,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,12/19/22,,Public,FALSE,FALSE
"Aerial Photography - 2009 - Summer, Dakota County, Minnesota",,Low level 12-inch aerial photography for Dakota County flown in 2009. Tested 4.05 feet horizontal accuracy at 95% confidence level.,eng,Dakota County,Dakota County,Imagery,Imagery and Basemaps,aerial photo|aerial photography|air photo|air photography|base map|digital orthorectified image|ortho|orthophoto,2022-11-22T09:03:58.713547,Continually updated resource,,"Dakota County, Minnesota|Minnesota","-93.330,44.469,-92.729,44.923",Satellite imagery,Imagery,https://gisdata.mn.gov/dataset/us-mn-co-dakota-base-aerialphotography-2009-lfon,https://gisimg.co.dakota.mn.us/arcgis/services/AerialPhotography/2009AirPhotoLeafOn12Inch/ImageServer/WMSServer?request=GetCapabilities&service=WMS,,,https://gisimg.co.dakota.mn.us/arcgis/rest/services/AerialPhotography/2009AirPhotoLeafOn12Inch/ImageServer,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2009_lfon/metadata/metadata.html,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2009_lfon/metadata/preview.jpg,9f0ff4a1-fa4f-4ac5-a93d-c15200232049,us-mn-co-dakota-base-aerialphotography-2009-lfon,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,12/19/22,,Public,FALSE,FALSE
"Aerial Photography - 2022 - Spring, Dakota County, Minnesota",,Low level (6-inch) aerial photography for Dakota County flown in Spring 2022. Tested 1.29 feet horizontal accuracy at 95% confidence level. (Points indepedent of those used by vendor.),eng,Dakota County,Dakota County,Imagery,Imagery and Basemaps,aerial photo|aerial photography|air photo|air photography|base map|digital orthorectified image|ortho|orthophoto,2022-11-22T09:03:57.330323,Continually updated resource,,"Dakota County, Minnesota|Minnesota","-93.330,44.469,-92.729,44.923",Satellite imagery,Imagery,https://gisdata.mn.gov/dataset/us-mn-co-dakota-base-aerialphotography-2022-sprg,https://gisimg.co.dakota.mn.us/arcgis/services/AerialPhotography/2022AirPhotoLeafOff6inch_Spring/ImageServer/WMSServer?request=GetCapabilities&service=WMS,,,https://gisimg.co.dakota.mn.us/arcgis/rest/services/AerialPhotography/2022AirPhotoLeafOff6inch_Spring/ImageServer,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2022_sprg/metadata/metadata.html,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2022_sprg/metadata/preview.jpg,a20fa112-cade-4781-ad33-fb4ba5267952,us-mn-co-dakota-base-aerialphotography-2022-sprg,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,12/19/22,,Public,FALSE,FALSE
Groundwater Capture Area,,"The ""capture zone"" is the proposed capture area within the aquifer. When there isn't a surface water contribution, the groundwater capture area is identical to the wellhead protection zone. When a conjunctive delineation is used, the groundwater capture area (GWCA - same as ""capture zone') and the surface water contribution area ( SWCA) are combined to form the wellhead protection area (WHPA).",eng,"	Minnesota Department Of Health - Environmental Health Division - Source Water Protection Unit",State of Minnesota,Datasets,Environment,inlandwaters,2022-11-18T09:03:42.002010,Continually updated resource,,Minnesota,"-97.230,43.500,-89.530,49.370",Vector data,Shapefile,https://gisdata.mn.gov/dataset/water-groundwater-capture-zones,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_groundwater_capture_zones/shp_water_groundwater_capture_zones.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_groundwater_capture_zones/metadata/metadata.html,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_groundwater_capture_zones/metadata/preview.jpg,576945fd-8dd3-4e30-bc22-81081e79eebb,water-groundwater-capture-zones,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,12/19/22,,Public,FALSE,FALSE
"Aerial Photography - 2011 - Spring, Dakota County, Minnesota",,Low level (6-inch & 12-inch) aerial photography for Dakota County flown in Spring 2011. 6-inch tested 4.58 feet horizontal accuracy at 95% confidence level and covers primarily the urban portions of the County. 12-inch tested 5.28 feet horizontal accuracy at 95% confidence level and covers the whole extent of the County. (Points indepedent of those used by vendor.),eng,Dakota County,Dakota County,Imagery,Imagery and Basemaps,aerial photo|aerial photography|air photo|air photography|base map|digital orthorectified image|ortho|orthophoto,2022-11-22T09:03:55.530612,Continually updated resource,,"Dakota County, Minnesota|Minnesota","-93.330,44.469,-92.729,44.923",Satellite imagery,Imagery,https://gisdata.mn.gov/dataset/us-mn-co-dakota-base-aerialphotography-2011-lfon,https://gisimg.co.dakota.mn.us/arcgis/services/AerialPhotography/2011AirPhotoLeafOn12Inch/ImageServer/WMSServer?request=GetCapabilities&service=WMS,,,https://gisimg.co.dakota.mn.us/arcgis/rest/services/AerialPhotography/2011AirPhotoLeafOn12Inch/ImageServer,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2011_lfon/metadata/metadata.html,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2011_lfon/metadata/preview.jpg,aced0a1a-f05b-4169-8a7c-85b3422c8daf,us-mn-co-dakota-base-aerialphotography-2011-lfon,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,12/19/22,,Public,FALSE,FALSE
Areal extent of the Mt. Simon-Hinckley aquifer,,"The Mt. Simon-Hinckley aquifer is the deepest bedrock aquifer in south-central/southeastern Minnesota, including the Minneapolis-St. Paul metro area. The aquifer is often overlain by sand and gravel, and bedrock aquifers which provide ample groundwater. The margins of the Mt. Simon-Hinckley aquifer have been identified as areas of focused recharge. Near the margins, the Mt. Simon-Hinckley aquifer may be the only available groundwater source. State statutes limit present use, protecting the aquifer as last resort for the future.",eng,Minnesota Department of Natural Resources,State of Minnesota,Datasets,Geoscientific,hinckley|mount simon|mt simon|mt simon-hinckley aquifer,2022-11-18T09:03:45.686560,Continually updated resource,,Minnesota,"-97.230,43.500,-89.530,49.370",Vector data,Shapefile,https://gisdata.mn.gov/dataset/geos-mtsimon-hinckley-aquifer,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/geos_mtsimon_hinckley_aquifer/shp_geos_mtsimon_hinckley_aquifer.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/geos_mtsimon_hinckley_aquifer/metadata/metadata.html,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/geos_mtsimon_hinckley_aquifer/metadata/preview.jpg,779140e4-fa32-4f07-8558-db8eaf3cf45a,geos-mtsimon-hinckley-aquifer,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,12/19/22,,Public,FALSE,FALSE
Drinking Water Supply Management Area for Surface Water (DWSMA-SW) New Generation,,New generation of Drinking Water Supply Management Areas for surface water intakes. This is the endorsed surface and subsurface area surrounding a public water supply intake that contains the scientifically calculated surface water protection area and is managed by the entity identified in a surface water protection plan. The boundaries of a DWSMA-SW are delineated by watershed and DNR-delineated catchment boundaries.,eng,Minnesota Department of Health,State of Minnesota,Datasets,Health,drinking water|environment|inland waters|source water assessment|surface water,2022-11-18T09:03:48.639421,Continually updated resource,,Minnesota,"-97.230,43.500,-89.530,49.370",Vector data,Shapefile,https://gisdata.mn.gov/dataset/water-drinking-water-supply-sw,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_drinking_water_supply_sw/shp_water_drinking_water_supply_sw.zip,,,,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_drinking_water_supply_sw/metadata/metadata.html,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_health/water_drinking_water_supply_sw/metadata/preview.jpg,da6db928-83af-4b88-b889-54d3fcc9e790,water-drinking-water-supply-sw,Minnesota Geospatial Commons,05a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05a-01,Active,CKAN,12/19/22,,Public,FALSE,FALSE
PWD Geotechnical Tests,,"BACKGROUND - The objective of geotechnical testing is to help determine the suitability of a site for green stormwater infrastructure. The tests are used to calculate infiltration rates at proposed green infrastructure locations and evaluate the lithology at depths sufficient to identify any hydraulically limiting layers that would inhibit vertical infiltration and potentially cause lateral flow. The testing includes drilling borings followed by infiltration testing within the footprint of each GSI system. USING THE LAYER - The infiltration rates and subsurface lithology results such as depth to bedrock and depth to groundwater may be helpful for other users of this layer, but it is important to note that these values can vary widely from location to location, even for nearby sites. Trouble downloading or have questions about this City dataset? Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/)",eng,,"City of Philadelphia, Pennsylvania",Datasets,Environment,Green Stormwater Infrastructure|Philadelphia Water Department,2022-11-28T22:53:18.634544,Continually updated resource,,"Philadelphia, Pennsylvania|Pennsylvania",,Vector data,Shapefile,https://www.opendataphilly.org/dataset/pwd-geotechnical-tests,https://opendata.arcgis.com/api/v3/datasets/b6fa77c0783d4d6c82697ef8cadcaa09_0/downloads/data?format=shp&spatialRefId=4326&where=1%3D1,,,,https://metadata.phila.gov/#home/datasetdetails/6321e815169cc40021d917a6/representationdetails/6321e815169cc40021d917b5/,,dbd7c151-dda6-45af-aea8-4702171515ef,pwd-geotechnical-tests,OpenDataPhilly,08c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,08c-01,Active,CKAN,12/19/22,,Public,FALSE,FALSE
Tobacco Retailer Density Caps,,"Tobacco Retailer Density Caps for each planning district included in the tobacco retailing regulations. This part of the regulation prohibits new tobacco retailer permits in capped planning districts. Capped districts refer to districts where there are 1 or more retailer(s) per 1,000 people present using daytime population estimates. For more information visit: [Tobacco Retailing](http://www.phila.gov/health/Commissioner/regulationtobaccoretailing.html). Visit the [OpenDataPhilly Discussion Group](http://www.phila.gov/data/discuss/) ",eng,,"City of Philadelphia, Pennsylvania",Datasets,Society,Philadelphia Department of Public Health|Tobacco,2022-11-28T22:30:28.388509,Continually updated resource,,"Philadelphia, Pennsylvania|Pennsylvania",,Vector data,Shapefile,https://www.opendataphilly.org/dataset/tobacco-retailer-density-caps,https://opendata.arcgis.com/api/v3/datasets/dd85d1bf45cd43d5a02b9b58eed01c02_0/downloads/data?format=shp&spatialRefId=4326&where=1%3D1,,,,https://metadata.phila.gov/#home/datasetdetails/6376a4753f9b210021ceca10/representationdetails/6376a4753f9b210021ceca1f/,,55f9e89b-8e4c-47a5-b0c2-5c5f2c4ac687,tobacco-retailer-density-caps,OpenDataPhilly,08c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,08c-01,Active,CKAN,12/19/22,,Public,FALSE,FALSE
