identifier,title,description,issued,landingPage
https://data.princegeorgescountymd.gov/api/views/e2wd-vu2n,Polling Places,A map of Prince George's County Election polling places as of 2016.  This map is refreshed when needed.,2014-06-05,https://data.princegeorgescountymd.gov/d/e2wd-vu2n,https://data.princegeorgescountymd.gov/api/views/e2wd-vu2n
https://data.princegeorgescountymd.gov/api/views/av8w-982m,School Board Districts,A map of Prince George's County School Board Districts. This map is refreshed when needed.,2014-06-05,https://data.princegeorgescountymd.gov/d/av8w-982m,https://data.princegeorgescountymd.gov/api/views/av8w-982m
https://data.princegeorgescountymd.gov/api/views/8wiw-r9j2,TNI Areas of Prince George's County,The Transforming Neighborhoods Initiative (TNI) focuses and aligns government efforts in six geographic areas throughout the county with the goal to improve the quality of life. The map below represents the areas that are part of this initiative. This map is refreshed when needed.,2014-06-02,https://data.princegeorgescountymd.gov/d/8wiw-r9j2,https://data.princegeorgescountymd.gov/api/views/8wiw-r9j2
https://data.princegeorgescountymd.gov/api/views/avc3-7kzn,Map Of Polling Places In Election Precincts,A map of Prince George's County polling places within each Election precincts. This map is refreshed when needed.,2015-06-04,https://data.princegeorgescountymd.gov/d/avc3-7kzn,https://data.princegeorgescountymd.gov/api/views/avc3-7kzn
https://data.princegeorgescountymd.gov/api/views/4cxr-fqa4,Census Tract map,This map represents the Prince George's County population until 2013 according to census.gov.,2015-06-04,https://data.princegeorgescountymd.gov/d/4cxr-fqa4,https://data.princegeorgescountymd.gov/api/views/4cxr-fqa4
https://data.princegeorgescountymd.gov/api/views/euxi-tx6q,Legislative Districts within Prince George's County,A map of police stations within the Prince George's County boundary and district layers. This map is refreshed when needed.,2014-07-11,https://data.princegeorgescountymd.gov/d/euxi-tx6q,https://data.princegeorgescountymd.gov/api/views/euxi-tx6q
https://data.princegeorgescountymd.gov/api/views/wmeu-edv2,Evacuation Routes within Prince George's County,A map of emergency evacuation routes within Prince George's County,2014-07-11,https://data.princegeorgescountymd.gov/d/wmeu-edv2,https://data.princegeorgescountymd.gov/api/views/wmeu-edv2
https://data.princegeorgescountymd.gov/api/views/2czg-8cdk,Police Districts,Prince George's County Police Department currently monitors six districts within the county. The map below displays the boundaries of each district. This map is refreshed when needed.,2016-08-11,https://data.princegeorgescountymd.gov/d/2czg-8cdk,https://data.princegeorgescountymd.gov/api/views/2czg-8cdk
https://data.princegeorgescountymd.gov/api/views/99q4-ehvr,Councilmanic District,This is a Councilmanic map displaying district with their respective members contact info.,2015-06-04,https://data.princegeorgescountymd.gov/d/99q4-ehvr,https://data.princegeorgescountymd.gov/api/views/99q4-ehvr
https://data.princegeorgescountymd.gov/api/views/r5s8-6v7y,Prince George's County Boundary,"Prince George's County is the second-most populous county in Maryland, with an estimated 890K citizens as of 2013. The map below depicts the boundaries of the County. This map is refreshed when needed.",2014-06-18,https://data.princegeorgescountymd.gov/d/r5s8-6v7y,https://data.princegeorgescountymd.gov/api/views/r5s8-6v7y
https://data.princegeorgescountymd.gov/api/views/yknd-q6gx,Map of Municipal Boundaries,This is a map of Prince George's County Municipal boundaries. This map is updated when changes are needed.,2015-06-04,https://data.princegeorgescountymd.gov/d/yknd-q6gx,https://data.princegeorgescountymd.gov/api/views/yknd-q6gx
https://data.princegeorgescountymd.gov/api/views/h3zn-fxdn,Road Centerlines,"This layer contains a geospatial representation of the center of the paved surface of a travel roadway for all public and some private streets in Prince George's County, Maryland. Attributes for the centerline contain street information, routing functionality, and class type.  The line work was created from the 1993 1FT aerial imagery and the attributes were entered by CENTECH Inc. This layer is maintained by Prince George's County Office of Information Technology and is primarily used to support the emergency response 911 system as well as other functions for the County agencies. 
The Spatial Data, and the information therein, is provided ""as is"" without warranty of any kind, either expressed, implied, or statutory. The user assumes the entire risk as to quality and performance of the Data. No guarantee of accuracy is granted, nor is any responsibility for reliance thereon assumed. In no event shall Prince George?s County be liable for direct, indirect, incidental, consequential or special damages of any kind. Prince George?s County does not accept liability for any damages or misrepresentation caused by inaccuracies in the Data or as a result to changes to the Data, nor is there responsibility assumed to maintain the Data in any manner or form. Any data derived from the Data must acknowledge Prince George?s County in the metadata.",2016-11-29,https://data.princegeorgescountymd.gov/d/h3zn-fxdn,https://data.princegeorgescountymd.gov/api/views/h3zn-fxdn
https://data.princegeorgescountymd.gov/api/views/vxhp-vpgw,Police Beats,A map of Prince George's County Police Beats. This map is refreshed when needed.,2016-08-11,https://data.princegeorgescountymd.gov/d/vxhp-vpgw,https://data.princegeorgescountymd.gov/api/views/vxhp-vpgw
