identifier,title,description,issued,landingPage
https://data.cityofchicago.org/api/views/eg9f-z3t6,Waterways,"Waterways in Chicago, including Lake Michigan, rivers, and lakes. The data can be viewed on the Chicago Data Portal with a web browser. To view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ), is required.",2014-10-17,https://data.cityofchicago.org/d/eg9f-z3t6,https://data.cityofchicago.org/api/views/eg9f-z3t6
https://data.cityofchicago.org/api/views/9zky-nrsy,Chicago Public Schools - School Locations SY1617,"Locations of educational units in the Chicago Public School District for school year 2016-2017. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2016-08-05,https://data.cityofchicago.org/d/9zky-nrsy,https://data.cityofchicago.org/api/views/9zky-nrsy
https://data.cityofchicago.org/api/views/sra3-5rba,Chicago Public Schools - Elementary School Attendance Boundaries SY0910,"Attendance boundaries for elementary schools in the Chicago Public Schools district for school year 2009-2010. Generally, all students in the applicable elementary school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2016-08-23,https://data.cityofchicago.org/d/sra3-5rba,https://data.cityofchicago.org/api/views/sra3-5rba
https://data.cityofchicago.org/api/views/csqr-8bm8,Chicago Public Schools - High School Attendance Boundaries SY0910,"Attendance boundaries for high schools in the Chicago Public Schools district for school year 2009-2010. Generally, all students in the applicable high school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2016-08-23,https://data.cityofchicago.org/d/csqr-8bm8,https://data.cityofchicago.org/api/views/csqr-8bm8
https://data.cityofchicago.org/api/views/7j9e-rz4v,Street Sweeping - 2019 - Map,"Street sweeping zones by Ward and Ward Section Number. For the corresponding schedule, see https://data.cityofchicago.org/d/k737-xg34.

For more information about the City's Street Sweeping program, go to http://bit.ly/H2PHUP.

The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ).",2019-02-28,https://data.cityofchicago.org/d/7j9e-rz4v,https://data.cityofchicago.org/api/views/7j9e-rz4v
https://data.cityofchicago.org/api/views/u3qc-ejzd,Chicago Public Schools - Middle School Attendance Boundaries SY1213,"Attendance boundaries for middle schools in the Chicago Public Schools district for school year 2012-2013. Note: only 28 middle schools have attendance boundaries in school year 2012-2013. Middle school boundaries are often established to relieve overcrowding at nearby elementary schools. Generally, all students in the applicable middle school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2016-08-23,https://data.cityofchicago.org/d/u3qc-ejzd,https://data.cityofchicago.org/api/views/u3qc-ejzd
https://data.cityofchicago.org/api/views/y9da-bb2y,Chicago Public Schools - High School Attendance Boundaries SY1718,"Attendance boundaries for high schools in the Chicago Public Schools district for school year 2017-2018. Generally, all students in the applicable high school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2017-08-01,https://data.cityofchicago.org/d/y9da-bb2y,https://data.cityofchicago.org/api/views/y9da-bb2y
https://data.cityofchicago.org/api/views/kjav-iyuj,Boundaries - Special Service Areas,"Special Service Areas (SSA) boundaries in Chicago. The Special Service Area program is a mechanism used to fund expanded services and programs through a localized property tax levy within contiguous industrial, commercial and residential areas. The enhanced services and programs are in addition to services and programs currently provided through the city. SSA-funded projects could include, but are not limited to, security services, area marketing and advertising assistance, promotional activities such as parades and festivals, or any variety of small scale capital improvements that could be supported through a modest property tax levy. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ).",2014-10-23,https://data.cityofchicago.org/d/kjav-iyuj,https://data.cityofchicago.org/api/views/kjav-iyuj
https://data.cityofchicago.org/api/views/bv6n-449d,Chicago Public Schools - High School Attendance Boundaries SY1819,"Attendance boundaries for high schools in the Chicago Public Schools district for school year 2018-2019. Generally, all students in the applicable high school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2018-07-18,https://data.cityofchicago.org/d/bv6n-449d,https://data.cityofchicago.org/api/views/bv6n-449d
https://data.cityofchicago.org/api/views/np6m-dynq,Boundaries - Micro-Market Recovery Program - Zones,"The City of Chicago launched the Micro-Market Recovery Program (MMRP), a coordinated effort among the City, not-for-profit intermediaries, and non-profit and for-profit capital sources to improve conditions, strengthen property values, and create environments supportive of private investment in targeted markets throughout the city. The goal of MMRP is to improve conditions, strengthen property values, and create environments supportive of private investment in targeted areas by strategically deploying public and private capital and other tools and resources in well-defined micro-markets. This dataset shows the areas covered by the MMRP program. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ).  For more information on the MMRP program, please see http://www.regionalhopi.org/content/city-chicago-micro-market-recovery-program-overview.",2013-10-09,https://data.cityofchicago.org/d/np6m-dynq,https://data.cityofchicago.org/api/views/np6m-dynq
https://data.cityofchicago.org/api/views/9xc2-zddf,Chicago Public Schools - High School Attendance Boundaries SY1213,"Attendance boundaries for high schools in the Chicago Public Schools district for school year 2012-2013. Generally, all students in the applicable high school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2016-08-23,https://data.cityofchicago.org/d/9xc2-zddf,https://data.cityofchicago.org/api/views/9xc2-zddf
https://data.cityofchicago.org/api/views/x3vc-9kat,Chicago Public Schools - Middle School Attendance Boundaries SY0607,"Attendance boundaries for middle schools in the Chicago Public Schools district for school year 2006-2007. Note: only 43 middle schools have attendance boundaries in school year 2006-2007. Middle school boundaries are often established to relieve overcrowding at nearby elementary schools. Generally, all students in the applicable middle school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2016-08-23,https://data.cityofchicago.org/d/x3vc-9kat,https://data.cityofchicago.org/api/views/x3vc-9kat
https://data.cityofchicago.org/api/views/6qik-a75t,Chicago Public Schools - School Locations SY1112,"Locations of educational units in the Chicago Public School District for school year 2011-2012. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth, are required.",2016-08-23,https://data.cityofchicago.org/d/6qik-a75t,https://data.cityofchicago.org/api/views/6qik-a75t
https://data.cityofchicago.org/api/views/kx6e-587i,Dockless Bicycle Pilot Zones - Summer 2018,"Map of the service area for Chicago's Summer 2018 dockless bicycle pilot program.

For more information on the pilot, please see https://www.cityofchicago.org/city/en/depts/cdot/supp_info/dockless-bike-share-pilot-project.html.",2018-08-23,https://data.cityofchicago.org/d/kx6e-587i,https://data.cityofchicago.org/api/views/kx6e-587i
https://data.cityofchicago.org/api/views/7cve-jgbp,Boundaries - Zoning Districts (current),"Zoning district boundaries by type and classification.Chicago is divided into zoning districts that regulate land use activities across the city. Data is based on the Chicago Zoning Ordinance and Land Use Ordinance http://bit.ly/9eqawi. Zoning Types are defined in this ordinance. For additional information about business uses, review the License/Zoning Reference (LZR) Guide http://bit.ly/vvGzne, which is based on the Municipal Code and is intended to assist business owners in determining the proper zoning district and primary business license for specific business types. Related Applications: Zoning Map https://gisapps.cityofchicago.org/zoning/",2016-01-04,https://data.cityofchicago.org/d/7cve-jgbp,https://data.cityofchicago.org/api/views/7cve-jgbp
https://data.cityofchicago.org/api/views/3w5d-sru8,Bike Routes,"Bike routes in Chicago. To view or use these files outside of a web brower, compression software and special GIS software, such as ESRI ArcGIS, is required.",2016-05-06,https://data.cityofchicago.org/d/3w5d-sru8,https://data.cityofchicago.org/api/views/3w5d-sru8
https://data.cityofchicago.org/api/views/u7uu-j2ma,Parks - Chicago Park District Buildings (current),"Inventory of buildings located on Chicago Park District premises as of November 4, 2016.",2015-03-19,https://data.cityofchicago.org/d/u7uu-j2ma,https://data.cityofchicago.org/api/views/u7uu-j2ma
