identifier,title,description,issued,modified,landingPage,webService,spatial
City of Indianapolis and Marion County - IndyGIS,"[u'OAP', u'Audit', u'Audit Reports', u'DiscloseIndy']",http://data1-indygis.opendata.arcgis.com/datasets/8f92303d977d48a984cf56eac69d0213,2012 Audit Reports,The Office of Audit and Performance evaluates City-County operations to promote accountability and high performing government for the citizens of Indianapolis-Marion County.,2018-12-11T15:36:24.000Z,2018-12-11T18:15:36.990Z,http://data1-indygis.opendata.arcgis.com/datasets/8f92303d977d48a984cf56eac69d0213,https://xmaps.indy.gov/ODP/Download/OAP/AuditReports/2012 Audit Reports.zip,"-180.0,-90.0,180.0,90.0",01c-02,Indiana,Municipalities Geospatial Data,{u'name': u'City of Indianapolis and Marion County - IndyGIS'},"City of Indianapolis, Indiana, United States|Indiana, United States"
City of Indianapolis and Marion County - IndyGIS,"[u'Bid Results', u'Bids', u'Bids and Quotes', u'OFM', u'Nonspatial']",http://data1-indygis.opendata.arcgis.com/datasets/d65c3da0b21246cc927036f251b791b2,2017 Bid Results,"The bid tabulations listed below reflect grand totals only of the valid bids received. They may not reflect any added or deducted alternatives. Evaluations will be made by the project manager or his representative for correct price extensions, meeting specifications, etc. Once those specifications are completed, the department?s governing board or commission will award the bid to the lowest, responsive, responsible bidder meeting the bid?s specifications. The bids listed may only be the top three responsive bids. Please click on the bid number below to review the results from that particular bid.",2018-12-04T15:36:09.000Z,2018-12-04T15:37:43.716Z,http://data1-indygis.opendata.arcgis.com/datasets/d65c3da0b21246cc927036f251b791b2,https://xmaps.indy.gov/ODP/Download/OFM/BidResults/2017 Bid Results.zip,"-180.0,-90.0,180.0,90.0",01c-02,Indiana,Municipalities Geospatial Data,{u'name': u'City of Indianapolis and Marion County - IndyGIS'},"City of Indianapolis, Indiana, United States|Indiana, United States"
City of Indianapolis and Marion County - IndyGIS,"[u'OFM', u'DiscloseIndy', u'bud', u'Adopted Budget']",http://data1-indygis.opendata.arcgis.com/datasets/388ebd4ebd274e439a15139f0da0acfd,2014 Adopted Budget,"A budget is a long-term plan to ensure a financially sound and stable municipality. Administrators outline the expected revenues and expenditures for a variety of services, putting together a new budget annually.",2018-12-11T19:46:43.000Z,2018-12-11T20:17:12.105Z,http://data1-indygis.opendata.arcgis.com/datasets/388ebd4ebd274e439a15139f0da0acfd,https://xmaps.indy.gov/ODP/Download/OFM/Budget/Adopted/2014 Adopted Budget.pdf,"-180.0,-90.0,180.0,90.0",01c-02,Indiana,Municipalities Geospatial Data,{u'name': u'City of Indianapolis and Marion County - IndyGIS'},"City of Indianapolis, Indiana, United States|Indiana, United States"
City of Indianapolis and Marion County - IndyGIS,"[u'Budget', u'Adopted Budget', u'OFM', u'DiscloseIndy']",http://data1-indygis.opendata.arcgis.com/datasets/1e30023714e646589414125e6e53d1c3,2018 Adopted Budget,"A budget is a long-term plan to ensure a financially sound and stable municipality. Administrators outline the expected revenues and expenditures for a variety of services, putting together a new budget annually.",2018-12-11T19:52:49.000Z,2018-12-11T20:16:50.789Z,http://data1-indygis.opendata.arcgis.com/datasets/1e30023714e646589414125e6e53d1c3,https://xmaps.indy.gov/ODP/Download/OFM/Budget/Adopted/2018 Adopted Budget.pdf,"-180.0,-90.0,180.0,90.0",01c-02,Indiana,Municipalities Geospatial Data,{u'name': u'City of Indianapolis and Marion County - IndyGIS'},"City of Indianapolis, Indiana, United States|Indiana, United States"
City of Indianapolis and Marion County - IndyGIS,"[u'OFM', u'Budget', u'Proposed Budget', u'DiscloseIndy']",http://data1-indygis.opendata.arcgis.com/datasets/1063fae0dbc847a282590284d9eee998,2006 Proposed Budget,"A budget is a long-term plan to ensure a financially sound and stable municipality. Administrators outline the expected revenues and expenditures for a variety of services, putting together a new budget annually.",2018-12-11T19:23:18.000Z,2018-12-11T20:17:39.841Z,http://data1-indygis.opendata.arcgis.com/datasets/1063fae0dbc847a282590284d9eee998,https://xmaps.indy.gov/ODP/Download/OFM/Budget/Proposed/2006 Proposed Budget.pdf,"-180.0,-90.0,180.0,90.0",01c-02,Indiana,Municipalities Geospatial Data,{u'name': u'City of Indianapolis and Marion County - IndyGIS'},"City of Indianapolis, Indiana, United States|Indiana, United States"
City of Indianapolis and Marion County - IndyGIS,"[u'Election Results', u'Election Results Archive', u'Indy Election Results', u'Marion County Election Results', u'2016 Election Results', u'Political']",http://data1-indygis.opendata.arcgis.com/datasets/69fc0ba63cac48818db71fc564400efb,2016 Primary Election Results,"2016 Primary Election Results

Contest and precinct results are presented here in an
     Excel document. Marion County reduced its number of precincts from 917
     to 590 in December 2007. Therefore, the precinct results for those
     elections occurring after December 2007 are not comparable with those
     elections?occurring before December 2007. Marion County increased the number of precincts from
     590 to 600 in December 2011. Therefore, the precinct results for those
     elections occurring after December 2011 are not comparable with those
     election occurring between December 2007 through December 2011.",2018-11-15T21:44:39.000Z,2018-11-16T19:25:40.969Z,http://data1-indygis.opendata.arcgis.com/datasets/69fc0ba63cac48818db71fc564400efb,https://xmaps.indy.gov/ODP/Download/Elections/2016PrimaryElectionResults.xls,"-180.0,-90.0,180.0,90.0",01c-02,Indiana,Municipalities Geospatial Data,{u'name': u'City of Indianapolis and Marion County - IndyGIS'},"City of Indianapolis, Indiana, United States|Indiana, United States"
City of Indianapolis and Marion County - IndyGIS,"[u'Election Results', u'Election Results Archive', u'Marion County Election Results', u'2011 Election Results', u'Political', u'Indy Election Results']",http://data1-indygis.opendata.arcgis.com/datasets/79aca30b70004f0eb232ab8766e4b342,2011 Primary Election Results,"2011 General Election Results

Contest and precinct results are presented here in an
     Excel document. Marion County reduced its number of precincts from 917
     to 590 in December 2007. Therefore, the precinct results for those
     elections occurring after December 2007 are not comparable with those
     elections?occurring before December 2007. Marion County increased the number of precincts from
     590 to 600 in December 2011. Therefore, the precinct results for those
     elections occurring after December 2011 are not comparable with those
     election occurring between December 2007 through December 2011.",2018-11-15T20:46:48.000Z,2018-11-16T19:25:39.528Z,http://data1-indygis.opendata.arcgis.com/datasets/79aca30b70004f0eb232ab8766e4b342,https://xmaps.indy.gov/ODP/Download/Elections/2011PrimaryElectionResults.xls,"-180.0,-90.0,180.0,90.0",01c-02,Indiana,Municipalities Geospatial Data,{u'name': u'City of Indianapolis and Marion County - IndyGIS'},"City of Indianapolis, Indiana, United States|Indiana, United States"
City of Indianapolis and Marion County - IndyGIS,"[u'Election Results', u'Election Results Archive', u'Marion County Election Results', u'Indy Election Results', u'2012 Election Results', u'Political']",http://data1-indygis.opendata.arcgis.com/datasets/fe6170d7e1234f44921129c66c2565f7,2012 Primary Election Results,"2012 Primary Election Results

Contest and precinct results are presented here in an
     Excel document. Marion County reduced its number of precincts from 917
     to 590 in December 2007. Therefore, the precinct results for those
     elections occurring after December 2007 are not comparable with those
     elections?occurring before December 2007. Marion County increased the number of precincts from
     590 to 600 in December 2011. Therefore, the precinct results for those
     elections occurring after December 2011 are not comparable with those
     election occurring between December 2007 through December 2011.",2018-11-15T21:07:48.000Z,2018-11-16T19:25:41.720Z,http://data1-indygis.opendata.arcgis.com/datasets/fe6170d7e1234f44921129c66c2565f7,https://xmaps.indy.gov/ODP/Download/Elections/2012PrimaryElectionResults.xls,"-180.0,-90.0,180.0,90.0",01c-02,Indiana,Municipalities Geospatial Data,{u'name': u'City of Indianapolis and Marion County - IndyGIS'},"City of Indianapolis, Indiana, United States|Indiana, United States"
City of Indianapolis and Marion County - IndyGIS,"[u'Election Results Archive', u'Election Results', u'Marion County Election Results', u'Indy Election Results', u'2014 Election Results', u'Political']",http://data1-indygis.opendata.arcgis.com/datasets/d30059d443724825a1f3f481f7d140dc,2014 Primary Election Results,"2014 Primary Election Results

Contest and precinct results are presented here in an
     Excel document. Marion County reduced its number of precincts from 917
     to 590 in December 2007. Therefore, the precinct results for those
     elections occurring after December 2007 are not comparable with those
     elections?occurring before December 2007. Marion County increased the number of precincts from
     590 to 600 in December 2011. Therefore, the precinct results for those
     elections occurring after December 2011 are not comparable with those
     election occurring between December 2007 through December 2011.",2018-11-15T21:22:14.000Z,2018-11-16T19:25:39.833Z,http://data1-indygis.opendata.arcgis.com/datasets/d30059d443724825a1f3f481f7d140dc,https://xmaps.indy.gov/ODP/Download/Elections/2014PrimaryElectionResults.xls,"-180.0,-90.0,180.0,90.0",01c-02,Indiana,Municipalities Geospatial Data,{u'name': u'City of Indianapolis and Marion County - IndyGIS'},"City of Indianapolis, Indiana, United States|Indiana, United States"
City of Indianapolis and Marion County - IndyGIS,"[u'DMD', u'Neighborhood Investment Analysis', u'Market Value Analysis', u'Zoning', u'Planning', u'Building Blocks']",http://data1-indygis.opendata.arcgis.com/datasets/3979013db55f43f2927e2240468fd442_11,Neighborhood Investment Analysis,DMD Neighborhood Investment Analysis or Market Value Analysis (MVA). Data projection: NAD 1983 StatePlane Indiana East FIPS 1301 (US Feet),2018-11-30T18:41:32.000Z,2018-12-06T19:37:41.000Z,http://data1-indygis.opendata.arcgis.com/datasets/3979013db55f43f2927e2240468fd442_11,http://xmaps.indy.gov/arcgis/rest/services/OpenData/OpenData_PlanningZoning/MapServer/11,"-86.3292,39.6322,-85.9362,39.9278",01c-02,Indiana,Municipalities Geospatial Data,{u'name': u'City of Indianapolis and Marion County - IndyGIS'},"City of Indianapolis, Indiana, United States|Indiana, United States"
