identifier,landingPage,portalName
e11c61b5db454a7cb9491854cf0e4a23,http://gis-michigan.opendata.arcgis.com/datasets/e11c61b5db454a7cb9491854cf0e4a23,06a-01
6319ec2d8bb445e990881c5fd9c4d198_0,http://gis-michigan.opendata.arcgis.com/datasets/6319ec2d8bb445e990881c5fd9c4d198_0,06a-01
84735ceed1b44144a234744158c25df4_2,http://gis-michigan.opendata.arcgis.com/datasets/84735ceed1b44144a234744158c25df4_2,06a-01
e11c61b5db454a7cb9491854cf0e4a23,http://gis-michigan.opendata.arcgis.com/datasets/e11c61b5db454a7cb9491854cf0e4a23,06a-01
6319ec2d8bb445e990881c5fd9c4d198_0,http://gis-michigan.opendata.arcgis.com/datasets/6319ec2d8bb445e990881c5fd9c4d198_0,06a-01
84735ceed1b44144a234744158c25df4_2,http://gis-michigan.opendata.arcgis.com/datasets/84735ceed1b44144a234744158c25df4_2,06a-01
f52d0d79746c453abb7f2a9a9cc714b4_0,http://data-carver.opendata.arcgis.com/datasets/f52d0d79746c453abb7f2a9a9cc714b4_0,05b-27019
083b5a356c184f5d898f632e96fbc21b_4,http://data-carver.opendata.arcgis.com/datasets/083b5a356c184f5d898f632e96fbc21b_4,05b-27019
23bd866c86fe4db5a0018b6a150debd4_3,http://data-carver.opendata.arcgis.com/datasets/23bd866c86fe4db5a0018b6a150debd4_3,05b-27019
6bf6cb73bb5f4802a93ed70ac1a3340e_1,http://data-carver.opendata.arcgis.com/datasets/6bf6cb73bb5f4802a93ed70ac1a3340e_1,05b-27019
7b856e8964c84c10a72273959606d8a6_0,http://data-carver.opendata.arcgis.com/datasets/7b856e8964c84c10a72273959606d8a6_0,05b-27019
51c820b82a83429fa8f804f1dae5ccc3,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/51c820b82a83429fa8f804f1dae5ccc3,08b-42027
26851437caef4a43b40fc8099b3ecf38_38,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/26851437caef4a43b40fc8099b3ecf38_38,08b-42027
52b96a57d16c4b3e9dc6085cee28f4a9,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/52b96a57d16c4b3e9dc6085cee28f4a9,08b-42027
269fc852221c4f95936f870ca500577b_52,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/269fc852221c4f95936f870ca500577b_52,08b-42027
276fffcc41b947fa87497bb8ed1d1c40_3,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/276fffcc41b947fa87497bb8ed1d1c40_3,08b-42027
08d73d0b205a4d2eafdcacb130d8778a_9,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/08d73d0b205a4d2eafdcacb130d8778a_9,08b-42027
2a167cdd00ca442b8b6f2fa513ee81e4_2,http://auditor-fca.opendata.arcgis.com/datasets/2a167cdd00ca442b8b6f2fa513ee81e4_2,11b-39049
f7433d7c0e0f4ca7904f054ad337c72f_1,http://ogrip-geohio.opendata.arcgis.com/datasets/f7433d7c0e0f4ca7904f054ad337c72f_1,11a-01
b8df2ce24fa04a468f1341db6e4814f1,http://ogrip-geohio.opendata.arcgis.com/datasets/b8df2ce24fa04a468f1341db6e4814f1,11a-01
e71084e730b64fa7b36f7867f3671e78_0,http://ogrip-geohio.opendata.arcgis.com/datasets/e71084e730b64fa7b36f7867f3671e78_0,11a-01
fe17302f2e0e411887ceb1730bec4258,http://ogrip-geohio.opendata.arcgis.com/datasets/fe17302f2e0e411887ceb1730bec4258,11a-01
6d355e6e570c48e592366dfab09fd928,http://ogrip-geohio.opendata.arcgis.com/datasets/6d355e6e570c48e592366dfab09fd928,11a-01
7382c7e958014971bc93148a1335596e,http://ogrip-geohio.opendata.arcgis.com/datasets/7382c7e958014971bc93148a1335596e,11a-01
fc76e730921249d4b03d7bc3d580cbf1,http://ogrip-geohio.opendata.arcgis.com/datasets/fc76e730921249d4b03d7bc3d580cbf1,11a-01
d03bde930b544d3cbb54b85cdf9c8908,http://ogrip-geohio.opendata.arcgis.com/datasets/d03bde930b544d3cbb54b85cdf9c8908,11a-01
67f10cdd99524092a425ee12d0918e46,http://ogrip-geohio.opendata.arcgis.com/datasets/67f10cdd99524092a425ee12d0918e46,11a-01
89318ffd188240d0970d377f43b9c321_0,http://opendata.minneapolismn.gov/datasets/89318ffd188240d0970d377f43b9c321_0,05c-01
4e3cd361001f45cabc38230ebac61145,http://coronavirus-resources.esri.com/datasets/4e3cd361001f45cabc38230ebac61145,99-1000
8d0de33f260d444c852a615dc7837c86,http://coronavirus-resources.esri.com/datasets/8d0de33f260d444c852a615dc7837c86,99-1000
8c2d9d69db4a446987e2f5013bfa4e6e,http://coronavirus-resources.esri.com/datasets/8c2d9d69db4a446987e2f5013bfa4e6e,99-1000
c927d20b0e024193af82cd8795429c1c,http://coronavirus-resources.esri.com/datasets/c927d20b0e024193af82cd8795429c1c,99-1000
8f9bdd1e7d224e679a06a7a7f05944a3,http://coronavirus-resources.esri.com/datasets/8f9bdd1e7d224e679a06a7a7f05944a3,99-1000
240e1bfd901b44c68b0d63b7bc31ec7f,http://coronavirus-resources.esri.com/datasets/240e1bfd901b44c68b0d63b7bc31ec7f,99-1000
97792521be744711a291d10ecef33a61_0,http://coronavirus-resources.esri.com/datasets/97792521be744711a291d10ecef33a61_0,99-1000
f533ac8a8b6040e5896b05b47b17a647,http://coronavirus-resources.esri.com/datasets/f533ac8a8b6040e5896b05b47b17a647,99-1000
cb37d388d92c451d975e1aa717c88ad3,http://coronavirus-resources.esri.com/datasets/cb37d388d92c451d975e1aa717c88ad3,99-1000
6f20f7ca383f4c10a54ae3f6e81e1161_0,http://coronavirus-resources.esri.com/datasets/6f20f7ca383f4c10a54ae3f6e81e1161_0,99-1000
b4d32de48c034fc89a08ff7455c41f84,http://coronavirus-resources.esri.com/datasets/b4d32de48c034fc89a08ff7455c41f84,99-1000
ebe29d4c1fca4ac292d00dbd54ed37e9,http://coronavirus-resources.esri.com/datasets/ebe29d4c1fca4ac292d00dbd54ed37e9,99-1000
0abd131b236b491586dcc572b18e9521,http://coronavirus-resources.esri.com/datasets/0abd131b236b491586dcc572b18e9521,99-1000
d86f6c720199430d97158de172790717,http://coronavirus-resources.esri.com/datasets/d86f6c720199430d97158de172790717,99-1000
61440bc35cb6426daf1fb5bbaf116b55,http://coronavirus-resources.esri.com/datasets/61440bc35cb6426daf1fb5bbaf116b55,99-1000
ea6bd394c9ba426b9c324e9a886f0c86,http://coronavirus-resources.esri.com/datasets/ea6bd394c9ba426b9c324e9a886f0c86,99-1000
186a203999cc48f8ac5ee24ff2519f3e,http://coronavirus-resources.esri.com/datasets/186a203999cc48f8ac5ee24ff2519f3e,99-1000
37eef84c28eb4015ae3f06b3e86e8bc7,http://coronavirus-resources.esri.com/datasets/37eef84c28eb4015ae3f06b3e86e8bc7,99-1000
19029c0fda3d46dca289aa64732eacb2,http://coronavirus-resources.esri.com/datasets/19029c0fda3d46dca289aa64732eacb2,99-1000
28ba1555d2834e159bfcbf835ff3f5f7,http://coronavirus-resources.esri.com/datasets/28ba1555d2834e159bfcbf835ff3f5f7,99-1000
efab2d18a1e74822b8cfa07bc8ca9bd4,http://coronavirus-resources.esri.com/datasets/efab2d18a1e74822b8cfa07bc8ca9bd4,99-1000
32ce54bc99e746f5bc4c386208cee3e7,http://coronavirus-resources.esri.com/datasets/32ce54bc99e746f5bc4c386208cee3e7,99-1000
45ef547f5f074e8195e998b478beb6aa,http://coronavirus-resources.esri.com/datasets/45ef547f5f074e8195e998b478beb6aa,99-1000
0e8ccb659c804924b72ddc862ec0eadf,http://coronavirus-resources.esri.com/datasets/0e8ccb659c804924b72ddc862ec0eadf,99-1000
9bbb15d607b446078d6cd7e151a6db08,http://coronavirus-resources.esri.com/datasets/9bbb15d607b446078d6cd7e151a6db08,99-1000
f7433d7c0e0f4ca7904f054ad337c72f_1,http://opendata.starkcountyohio.gov/datasets/f7433d7c0e0f4ca7904f054ad337c72f_1,11b-39151
b8df2ce24fa04a468f1341db6e4814f1,http://opendata.starkcountyohio.gov/datasets/b8df2ce24fa04a468f1341db6e4814f1,11b-39151
