Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record,File Size
,Ortho Georef 1961 1962 1963,"1952, 1961, 1962, 1963, 1970, 1977, 1980, 1984, 1988, and 1990 photos are scanned images from the Planning and Zoning aerial photo contact sheets. These images have been scanned in .jpg format and will be orthorectified for overlay in ArcGIS. 1961 Black & White Ortho Photography - Flown 1/13/1961 by Aero Service Corporation, Scale 1:12,000, Focal Length 6"". 1962 Black & White Ortho Photography - Flown 1/17/1962 by Aero Service Corporation, Scale 1:12,000, Focal Length 6"". 1963 Black & White Ortho Photography - Flown 3/3/1963 by Aero Service Corporation, Scale 1:12,000, Focal Length 6"".",eng,"Anne Arundel County, MD","Anne Arundel County, Maryland",Imagery,,Imagery|OrthoGeoref196119621963|AnneArundelCounty|AACO|OpenData,2019-11-14T15:24:11.000Z,,,"Herald Harbor, Maryland|Deale, Maryland|Kettering, Maryland|Brooklyn Park, Maryland|Ferndale, Maryland|Talbot County, Maryland|Annapolis, Maryland|North Beach, Maryland|Woodmore, Maryland|Largo, Maryland|Shady Side, Maryland|Springdale, Maryland|Galesville, Maryland|Queen Anne's County, Maryland|Mayo, Maryland|Lake Arbor, Maryland|Jessup, Maryland|Gambrills, Maryland|Edgewater, Maryland|Calvert County, Maryland|Naval Academy, Maryland|Queensland, Maryland|Queen Anne, Maryland|Howard County, Maryland|Marlboro Village, Maryland|Upper Marlboro, Maryland|Highland Beach, Maryland|Fairwood, Maryland|Crofton, Maryland|Crownsville, Maryland|Brown Station, Maryland|Lake Shore, Maryland|Pasadena, Maryland|Caroline County, Maryland|Anne Arundel County, Maryland|Friendship, Maryland|Savage, Maryland|Linthicum, Maryland|Owings, Maryland|Riva, Maryland|Marlton, Maryland|Brock Hall, Maryland|Severn, Maryland|Prince George's County, Maryland|Cape St. Claire, Maryland|Severna Park, Maryland|Riviera Beach, Maryland|Maryland City, Maryland|Glenn Dale, Maryland|Mitchellville, Maryland|Annapolis Neck, Maryland|Arnold, Maryland|Odenton, Maryland|Bowie, Maryland|Arden On The Severn, Maryland|Elkridge, Maryland|Fort Meade, Maryland|Baltimore County, Maryland|Glen Burnie, Maryland|Parole, Maryland|Marlboro Meadows, Maryland|Maryland","-76.8587,38.6947,-76.3609,39.2417",Satellite imagery,Imagery,https://opendata.aacounty.org/datasets/72b96d2a58e34c3c89fe24fc6f7bfb5d,,,,https://gis.aacounty.org/image/rest/services/Ortho/Georef_1961_1962_1963/ImageServer,72b96d2a58e34c3c89fe24fc6f7bfb5d,https://hub.arcgis.com/datasets/72b96d2a58e34c3c89fe24fc6f7bfb5d,University of Maryland,04b-24003,04b-24003,Active,ArcGIS Hub,2021-12-05,,Public,False,False,0.0023 MB
,Ortho Georef 1952,"1952, 1961, 1962, 1963, 1970, 1977, 1980, 1984, 1988, and 1990 photos are scanned images from the Planning and Zoning aerial photo contact sheets. These images have been scanned in .jpg format and will be orthorectified for overlay in ArcGIS. 1952 Black & White Ortho Photography. Flown 6/20/52 by Penna. Aerial Surveys Inc. ",eng,"Anne Arundel County, MD","Anne Arundel County, Maryland",Imagery,,OrthoGeoref1952|Imagery|AnneArundelCounty|AACO|OpenData,2020-01-10T15:23:33.000Z,,,"Herald Harbor, Maryland|Deale, Maryland|Kettering, Maryland|Brooklyn Park, Maryland|Ferndale, Maryland|Talbot County, Maryland|Annapolis, Maryland|North Beach, Maryland|Lansdowne, Maryland|Woodmore, Maryland|North Laurel, Maryland|Largo, Maryland|Springdale, Maryland|Shady Side, Maryland|Baltimore Highlands, Maryland|Rosaryville, Maryland|Queen Anne's County, Maryland|Mayo, Maryland|Lake Arbor, Maryland|Jessup, Maryland|Gambrills, Maryland|Seabrook, Maryland|Edgewater, Maryland|Calvert County, Maryland|Galesville, Maryland|Naval Academy, Maryland|Queensland, Maryland|Queen Anne, Maryland|Howard County, Maryland|Marlboro Village, Maryland|Upper Marlboro, Maryland|Highland Beach, Maryland|Fairwood, Maryland|Arbutus, Maryland|Crofton, Maryland|Crownsville, Maryland|Brown Station, Maryland|Lake Shore, Maryland|Pasadena, Maryland|Ilchester, Maryland|Anne Arundel County, Maryland|Caroline County, Maryland|Friendship, Maryland|Glenarden, Maryland|Westphalia, Maryland|Savage, Maryland|Linthicum, Maryland|Riva, Maryland|Marlton, Maryland|Brock Hall, Maryland|Severn, Maryland|Prince George's County, Maryland|Cape St. Claire, Maryland|Severna Park, Maryland|Riviera Beach, Maryland|Maryland City, Maryland|Glenn Dale, Maryland|Mitchellville, Maryland|Annapolis Neck, Maryland|Arnold, Maryland|Odenton, Maryland|Bowie, Maryland|Arden On The Severn, Maryland|Lanham, Maryland|Elkridge, Maryland|Fort Meade, Maryland|Baltimore County, Maryland|Glen Burnie, Maryland|Parole, Maryland|Melwood, Maryland|Marlboro Meadows, Maryland|Edgemere, Maryland|Maryland","-76.8754,38.7022,-76.3796,39.2890",Satellite imagery,Imagery,https://opendata.aacounty.org/datasets/4d1f270ee7324077b8fbdbddf6578696,,,,https://gis.aacounty.org/image/rest/services/Ortho/Georef_1952/ImageServer,4d1f270ee7324077b8fbdbddf6578696,https://hub.arcgis.com/datasets/4d1f270ee7324077b8fbdbddf6578696,University of Maryland,04b-24003,04b-24003,Active,ArcGIS Hub,2021-12-05,,Public,False,False,0.0022 MB
,Bog Protected Streams,Bog-Protected Streams (contributing bog streams that have a 100 ft buffer of protection). This data layer is specifically not intended to be used as a land survey or representation of land for conveyance or tax purposes. It is expected that data created in this project will be replaced as updated information is collected.,eng,"Anne Arundel County, MD","Anne Arundel County, Maryland",Datasets,,Environment|OPZ|AACo|Bog-ProtectedStreams|OpenData,2019-04-15T19:55:23.000Z,,,"Anne Arundel County, Maryland|Maryland","-76.5910,39.0297,-76.4645,39.1216",Vector data,Shapefile,https://opendata.aacounty.org/datasets/b68cd04b57d64ec68e4b788082511b34_3,https://opendata.aacounty.org/datasets/b68cd04b57d64ec68e4b788082511b34_3.zip,https://gis.aacounty.org/arcgis/rest/services/OpenData/Environment_OpenData/MapServer/3,,,b68cd04b57d64ec68e4b788082511b34_3,https://hub.arcgis.com/datasets/b68cd04b57d64ec68e4b788082511b34_3,University of Maryland,04b-24003,04b-24003,Active,ArcGIS Hub,2021-12-05,,Public,False,False,0.0429 MB
,Index 200 Scale P and Z,"1984 200-scale ""P&Z Grid"" Index. (County control grid).",eng,"Anne Arundel County, MD","Anne Arundel County, Maryland",Datasets,,Index|OPZ|AACo|200ScalePandZIndex|OpenData,2020-01-10T17:56:22.000Z,,,"Herald Harbor, Maryland|Deale, Maryland|Kettering, Maryland|Brooklyn Park, Maryland|Ferndale, Maryland|Talbot County, Maryland|Annapolis, Maryland|Woodmore, Maryland|Shady Side, Maryland|Galesville, Maryland|Queen Anne's County, Maryland|Mayo, Maryland|Gambrills, Maryland|Jessup, Maryland|Edgewater, Maryland|Calvert County, Maryland|Naval Academy, Maryland|Queensland, Maryland|Queen Anne, Maryland|Howard County, Maryland|Marlboro Village, Maryland|Upper Marlboro, Maryland|Highland Beach, Maryland|Fairwood, Maryland|Crofton, Maryland|Crownsville, Maryland|Brown Station, Maryland|Lake Shore, Maryland|Pasadena, Maryland|Caroline County, Maryland|Anne Arundel County, Maryland|Friendship, Maryland|Linthicum, Maryland|Riva, Maryland|Marlton, Maryland|Brock Hall, Maryland|Severn, Maryland|Prince George's County, Maryland|Cape St. Claire, Maryland|Severna Park, Maryland|Riviera Beach, Maryland|Glenn Dale, Maryland|Annapolis Neck, Maryland|Arnold, Maryland|Odenton, Maryland|Bowie, Maryland|Arden On The Severn, Maryland|Elkridge, Maryland|Fort Meade, Maryland|Baltimore County, Maryland|Glen Burnie, Maryland|Parole, Maryland|Marlboro Meadows, Maryland|Maryland","-76.8437,38.7120,-76.3819,39.2377",Vector data,Shapefile,https://opendata.aacounty.org/datasets/bdbcef616c604b158900a5b0fdd17425_16,https://opendata.aacounty.org/datasets/bdbcef616c604b158900a5b0fdd17425_16.zip,https://gis.aacounty.org/arcgis/rest/services/OpenData/Index_OpenData/MapServer/16,,,bdbcef616c604b158900a5b0fdd17425_16,https://hub.arcgis.com/datasets/bdbcef616c604b158900a5b0fdd17425_16,University of Maryland,04b-24003,04b-24003,Active,ArcGIS Hub,2021-12-05,,Public,False,False,0.0389 MB
,Land Cover 2017,"Anne Arundel County, Maryland is interested in monitoring its changing land cover for planning, zoning and environmental protection purposes. The county is under increasing development pressure and needs to maintain an accurate land cover database so it may guide development in a sustainable way from both economic and environmental perspectives. The land cover layer was designed and built as a continuation of hand-digitized layers compiled in the 1990s. The current layer was completed using primarily automated methods and current high-resolution aerial imagery (6 inch resolution, leaf-off), as a comparison for cost and accuracy to the earlier automated and manually-produced datasets. This version was updated in 2011 using 4-band aerial imagery collected in the spring of 2011 by the State of Maryland. Areas that have undergone change in the period 2008-2011 were updated to reflect those changes, and any inconsistencies found in the 2008 dataset were corrected. An Urban Tree Canopy dataset produced in 2008 by the University of Vermont was used to provide estimates of tree canopy for each polygon, or map unit. The database is suitable for many planning and modeling purposes, but was designed and attributed for input into hydrological water runoff and nutrient loading models.",eng,"Anne Arundel County, MD","Anne Arundel County, Maryland",Datasets,,Environment|DPW|AACo|LandCover2017|OpenData,2019-10-30T13:20:08.000Z,,,"Herald Harbor, Maryland|Deale, Maryland|Kettering, Maryland|Brooklyn Park, Maryland|Ferndale, Maryland|Talbot County, Maryland|Annapolis, Maryland|Woodmore, Maryland|Shady Side, Maryland|Galesville, Maryland|Queen Anne's County, Maryland|Mayo, Maryland|Gambrills, Maryland|Jessup, Maryland|Edgewater, Maryland|Calvert County, Maryland|Naval Academy, Maryland|Queensland, Maryland|Queen Anne, Maryland|Howard County, Maryland|Marlboro Village, Maryland|Upper Marlboro, Maryland|Highland Beach, Maryland|Fairwood, Maryland|Crofton, Maryland|Crownsville, Maryland|Brown Station, Maryland|Lake Shore, Maryland|Pasadena, Maryland|Caroline County, Maryland|Anne Arundel County, Maryland|Friendship, Maryland|Linthicum, Maryland|Riva, Maryland|Marlton, Maryland|Brock Hall, Maryland|Severn, Maryland|Prince George's County, Maryland|Cape St. Claire, Maryland|Severna Park, Maryland|Riviera Beach, Maryland|Glenn Dale, Maryland|Annapolis Neck, Maryland|Arnold, Maryland|Odenton, Maryland|Bowie, Maryland|Arden On The Severn, Maryland|Elkridge, Maryland|Fort Meade, Maryland|Baltimore County, Maryland|Glen Burnie, Maryland|Parole, Maryland|Marlboro Meadows, Maryland|Maryland","-76.8412,38.7134,-76.3833,39.2362",Vector data,Shapefile,https://opendata.aacounty.org/datasets/f498e7b0490e40b28195258bf7847963_7,https://opendata.aacounty.org/datasets/f498e7b0490e40b28195258bf7847963_7.zip,https://gis.aacounty.org/arcgis/rest/services/OpenData/Environment_OpenData/MapServer/7,,,f498e7b0490e40b28195258bf7847963_7,https://hub.arcgis.com/datasets/f498e7b0490e40b28195258bf7847963_7,University of Maryland,04b-24003,04b-24003,Active,ArcGIS Hub,2021-12-05,,Public,False,False,59.0504 MB
,Land Cover 2014,"Anne Arundel County, Maryland is interested in monitoring its changing land cover for planning, zoning and environmental protection purposes. The county is under increasing development pressure and needs to maintain an accurate land cover database so it may guide development in a sustainable way from both economic and environmental perspectives. The land cover layer was designed and built as a continuation of hand-digitized layers compiled in the 1990s. The current layer was completed using primarily automated methods and current high-resolution aerial imagery (6 inch resolution, leaf-off), as a comparison for cost and accuracy to the earlier automated and manually-produced datasets. This version was updated in 2011 using 4-band aerial imagery collected in the spring of 2011 by the State of Maryland. Areas that have undergone change in the period 2008-2011 were updated to reflect those changes, and any inconsistencies found in the 2008 dataset were corrected. An Urban Tree Canopy dataset produced in 2008 by the University of Vermont was used to provide estimates of tree canopy for each polygon, or map unit.",eng,"Anne Arundel County, MD","Anne Arundel County, Maryland",Datasets,,Environment|DPW|AACo|LandCover2014|OpenData,2019-04-16T11:41:26.000Z,,,"Herald Harbor, Maryland|Deale, Maryland|Kettering, Maryland|Brooklyn Park, Maryland|Ferndale, Maryland|Talbot County, Maryland|Annapolis, Maryland|Woodmore, Maryland|Shady Side, Maryland|Galesville, Maryland|Queen Anne's County, Maryland|Mayo, Maryland|Gambrills, Maryland|Jessup, Maryland|Edgewater, Maryland|Calvert County, Maryland|Naval Academy, Maryland|Queensland, Maryland|Queen Anne, Maryland|Howard County, Maryland|Marlboro Village, Maryland|Upper Marlboro, Maryland|Highland Beach, Maryland|Fairwood, Maryland|Crofton, Maryland|Crownsville, Maryland|Brown Station, Maryland|Lake Shore, Maryland|Pasadena, Maryland|Caroline County, Maryland|Anne Arundel County, Maryland|Friendship, Maryland|Linthicum, Maryland|Riva, Maryland|Marlton, Maryland|Brock Hall, Maryland|Severn, Maryland|Prince George's County, Maryland|Cape St. Claire, Maryland|Severna Park, Maryland|Riviera Beach, Maryland|Glenn Dale, Maryland|Annapolis Neck, Maryland|Arnold, Maryland|Odenton, Maryland|Bowie, Maryland|Arden On The Severn, Maryland|Elkridge, Maryland|Fort Meade, Maryland|Baltimore County, Maryland|Glen Burnie, Maryland|Parole, Maryland|Marlboro Meadows, Maryland|Maryland","-76.8412,38.7134,-76.3833,39.2362",Vector data,Shapefile,https://opendata.aacounty.org/datasets/eec5e80b2bdb4155b618642396095adf_5,https://opendata.aacounty.org/datasets/eec5e80b2bdb4155b618642396095adf_5.zip,https://gis.aacounty.org/arcgis/rest/services/OpenData/Environment_OpenData/MapServer/5,,,eec5e80b2bdb4155b618642396095adf_5,https://hub.arcgis.com/datasets/eec5e80b2bdb4155b618642396095adf_5,University of Maryland,04b-24003,04b-24003,Active,ArcGIS Hub,2021-12-05,,Public,False,False,61.8646 MB
,Parcels,"Parcel layer for Anne Arundel County, MD. Layer is updated monthly.",eng,"Anne Arundel County, MD","Anne Arundel County, Maryland",Datasets,,Planning|OPZParcels|Parcels|AnneArundelCounty|AACO|OpenData,2019-10-31T02:48:38.000Z,,,"Herald Harbor, Maryland|Deale, Maryland|Kettering, Maryland|Brooklyn Park, Maryland|Ferndale, Maryland|Talbot County, Maryland|Annapolis, Maryland|Woodmore, Maryland|Shady Side, Maryland|Galesville, Maryland|Queen Anne's County, Maryland|Mayo, Maryland|Gambrills, Maryland|Jessup, Maryland|Edgewater, Maryland|Calvert County, Maryland|Naval Academy, Maryland|Queensland, Maryland|Queen Anne, Maryland|Howard County, Maryland|Marlboro Village, Maryland|Upper Marlboro, Maryland|Highland Beach, Maryland|Fairwood, Maryland|Crofton, Maryland|Crownsville, Maryland|Brown Station, Maryland|Lake Shore, Maryland|Pasadena, Maryland|Caroline County, Maryland|Anne Arundel County, Maryland|Friendship, Maryland|Linthicum, Maryland|Riva, Maryland|Marlton, Maryland|Brock Hall, Maryland|Severn, Maryland|Prince George's County, Maryland|Cape St. Claire, Maryland|Severna Park, Maryland|Riviera Beach, Maryland|Glenn Dale, Maryland|Annapolis Neck, Maryland|Arnold, Maryland|Odenton, Maryland|Bowie, Maryland|Arden On The Severn, Maryland|Elkridge, Maryland|Fort Meade, Maryland|Baltimore County, Maryland|Glen Burnie, Maryland|Parole, Maryland|Marlboro Meadows, Maryland|Maryland","-76.8410,38.7135,-76.3826,39.2359",Vector data,Shapefile,https://opendata.aacounty.org/datasets/3c01d2c5b1e24eb7972bfa8c706a3676_34,https://opendata.aacounty.org/datasets/3c01d2c5b1e24eb7972bfa8c706a3676_34.zip,https://gis.aacounty.org/arcgis/rest/services/OpenData/Planning_OpenData/MapServer/34,,,3c01d2c5b1e24eb7972bfa8c706a3676_34,https://hub.arcgis.com/datasets/3c01d2c5b1e24eb7972bfa8c706a3676_34,University of Maryland,04b-24003,04b-24003,Active,ArcGIS Hub,2021-12-05,,Public,False,False,85.7913 MB
,Land Use 2017,"This is the Land Use 2017 layer for Anne Arundel County, Maryland.",eng,"Anne Arundel County, MD","Anne Arundel County, Maryland",Datasets,,Planning|LandUse2017|AnneArundelCounty|AACO|OpenData,2019-04-16T16:00:54.000Z,,,"Herald Harbor, Maryland|Deale, Maryland|Kettering, Maryland|Brooklyn Park, Maryland|Ferndale, Maryland|Talbot County, Maryland|Annapolis, Maryland|Woodmore, Maryland|Shady Side, Maryland|Galesville, Maryland|Queen Anne's County, Maryland|Mayo, Maryland|Gambrills, Maryland|Jessup, Maryland|Edgewater, Maryland|Calvert County, Maryland|Naval Academy, Maryland|Queensland, Maryland|Queen Anne, Maryland|Howard County, Maryland|Marlboro Village, Maryland|Upper Marlboro, Maryland|Highland Beach, Maryland|Fairwood, Maryland|Crofton, Maryland|Crownsville, Maryland|Brown Station, Maryland|Lake Shore, Maryland|Pasadena, Maryland|Caroline County, Maryland|Anne Arundel County, Maryland|Friendship, Maryland|Linthicum, Maryland|Riva, Maryland|Marlton, Maryland|Brock Hall, Maryland|Severn, Maryland|Prince George's County, Maryland|Cape St. Claire, Maryland|Severna Park, Maryland|Riviera Beach, Maryland|Glenn Dale, Maryland|Annapolis Neck, Maryland|Arnold, Maryland|Odenton, Maryland|Bowie, Maryland|Arden On The Severn, Maryland|Elkridge, Maryland|Fort Meade, Maryland|Baltimore County, Maryland|Glen Burnie, Maryland|Parole, Maryland|Marlboro Meadows, Maryland|Maryland","-76.8410,38.7135,-76.3826,39.2361",Vector data,Shapefile,https://opendata.aacounty.org/datasets/9e9d8b2f504248fb8c896033dcb03f52_12,https://opendata.aacounty.org/datasets/9e9d8b2f504248fb8c896033dcb03f52_12.zip,https://gis.aacounty.org/arcgis/rest/services/OpenData/Planning_OpenData/MapServer/12,,,9e9d8b2f504248fb8c896033dcb03f52_12,https://hub.arcgis.com/datasets/9e9d8b2f504248fb8c896033dcb03f52_12,University of Maryland,04b-24003,04b-24003,Active,ArcGIS Hub,2021-12-05,,Public,False,False,80.3847 MB
,GDP Planned Land Use 2040,"A preliminary land use map was developed with the Citizens Advisory Committee and then reviewed by the public in a series of public forums and online review. These comments were taken into consideration by the County staff and the Citizens Advisory Committee to form a recommended draft land use map. The recommended draft land use map was tested for impacts to provide a threshold for how much development the County can accommodate in the areas where it is to be directed and to provide a basis for infrastructure needs. The recommended land use map was presented to the Planning Advisory Board where residents had an opportunity to comment through a public hearing. The Planning Advisory Board's recommendations for changes to the Land Use Plan were taken into consideration and a final Land Use Plan was forwarded to the County Council for adoption on May 3rd, 2021. This planned land use map is effective as of June 27th 2021.",eng,"Anne Arundel County, MD","Anne Arundel County, Maryland",Datasets,,OpenData|GDP|Planning|OPZ|AACo|LandUsePlan2040,2021-06-30T10:07:09.000Z,,,"Herald Harbor, Maryland|Deale, Maryland|Kettering, Maryland|Brooklyn Park, Maryland|Ferndale, Maryland|Talbot County, Maryland|Annapolis, Maryland|Woodmore, Maryland|Shady Side, Maryland|Galesville, Maryland|Queen Anne's County, Maryland|Mayo, Maryland|Gambrills, Maryland|Jessup, Maryland|Edgewater, Maryland|Calvert County, Maryland|Naval Academy, Maryland|Queensland, Maryland|Queen Anne, Maryland|Howard County, Maryland|Marlboro Village, Maryland|Upper Marlboro, Maryland|Highland Beach, Maryland|Fairwood, Maryland|Crofton, Maryland|Crownsville, Maryland|Brown Station, Maryland|Lake Shore, Maryland|Pasadena, Maryland|Caroline County, Maryland|Anne Arundel County, Maryland|Friendship, Maryland|Linthicum, Maryland|Riva, Maryland|Marlton, Maryland|Brock Hall, Maryland|Severn, Maryland|Prince George's County, Maryland|Cape St. Claire, Maryland|Severna Park, Maryland|Riviera Beach, Maryland|Glenn Dale, Maryland|Annapolis Neck, Maryland|Arnold, Maryland|Odenton, Maryland|Bowie, Maryland|Arden On The Severn, Maryland|Elkridge, Maryland|Fort Meade, Maryland|Baltimore County, Maryland|Glen Burnie, Maryland|Parole, Maryland|Marlboro Meadows, Maryland|Maryland","-76.8410,38.7135,-76.3826,39.2361",Vector data,Shapefile,https://opendata.aacounty.org/datasets/02b5b81f4e8345518f468f8973390c2a_37,https://opendata.aacounty.org/datasets/02b5b81f4e8345518f468f8973390c2a_37.zip,https://gis.aacounty.org/arcgis/rest/services/OpenData/Planning_OpenData/MapServer/37,,,02b5b81f4e8345518f468f8973390c2a_37,https://hub.arcgis.com/datasets/02b5b81f4e8345518f468f8973390c2a_37,University of Maryland,04b-24003,04b-24003,Active,ArcGIS Hub,2021-12-05,,Public,False,False,4.6085 MB
,Survey NGS Monuments,Please update the description,eng,"Anne Arundel County, MD","Anne Arundel County, Maryland",Datasets,,SurveyNGSMonuments|Utility|AnneArundelCounty|AACO|OpenData,2020-04-15T12:14:13.000Z,,,"Herald Harbor, Maryland|Deale, Maryland|Ferndale, Maryland|Talbot County, Maryland|Annapolis, Maryland|North Beach, Maryland|Woodmore, Maryland|Shady Side, Maryland|Galesville, Maryland|Queen Anne's County, Maryland|Mayo, Maryland|Gambrills, Maryland|Jessup, Maryland|Edgewater, Maryland|Calvert County, Maryland|Naval Academy, Maryland|Queensland, Maryland|Queen Anne, Maryland|Howard County, Maryland|Marlboro Village, Maryland|Upper Marlboro, Maryland|Highland Beach, Maryland|Fairwood, Maryland|Crofton, Maryland|Crownsville, Maryland|Lake Shore, Maryland|Pasadena, Maryland|Caroline County, Maryland|Anne Arundel County, Maryland|Friendship, Maryland|Owings, Maryland|Riva, Maryland|Marlton, Maryland|Brock Hall, Maryland|Severn, Maryland|Prince George's County, Maryland|Cape St. Claire, Maryland|Severna Park, Maryland|Riviera Beach, Maryland|Annapolis Neck, Maryland|Arnold, Maryland|Odenton, Maryland|Bowie, Maryland|Arden On The Severn, Maryland|Elkridge, Maryland|Fort Meade, Maryland|Baltimore County, Maryland|Glen Burnie, Maryland|Parole, Maryland|Marlboro Meadows, Maryland|Maryland","-76.8274,38.6927,-76.3775,39.2279",Vector data,Shapefile,https://opendata.aacounty.org/datasets/c09ae83b0890494082a57101b8186b96_12,https://opendata.aacounty.org/datasets/c09ae83b0890494082a57101b8186b96_12.zip,https://gis.aacounty.org/arcgis/rest/services/OpenData/Utility_ERD_OpenData/MapServer/12,,,c09ae83b0890494082a57101b8186b96_12,https://hub.arcgis.com/datasets/c09ae83b0890494082a57101b8186b96_12,University of Maryland,04b-24003,04b-24003,Active,ArcGIS Hub,2021-12-05,,Public,False,False,0.0494 MB
