identifier,landingPage,portalName
4b706bff25fb476d97ec3c740cc6bf89_0,https://public-iowadot.opendata.arcgis.com/datasets/4b706bff25fb476d97ec3c740cc6bf89_0,03a-02
ee78a6dd40cf45f2b3b54b24a7e45c8f_0,https://public-iowadot.opendata.arcgis.com/datasets/ee78a6dd40cf45f2b3b54b24a7e45c8f_0,03a-02
03350a2170644bf2bd836b0cd816137e_0,https://geodata.iowa.gov/datasets/03350a2170644bf2bd836b0cd816137e_0,03a-03
03350a2170644bf2bd836b0cd816137e_0,https://open-iowa.opendata.arcgis.com/datasets/03350a2170644bf2bd836b0cd816137e_0,03a-04
6bae87aeff5346e7b061d0366648c393_7,https://bcstat-bc-gis.hub.arcgis.com/datasets/6bae87aeff5346e7b061d0366648c393_7,04b-24005
0c722a195460434fb71b92be078c9c10_2,https://bcstat-bc-gis.hub.arcgis.com/datasets/0c722a195460434fb71b92be078c9c10_2,04b-24005
9d7af81ec68447f2aa3b49e7578d2eae_1,https://bcstat-bc-gis.hub.arcgis.com/datasets/9d7af81ec68447f2aa3b49e7578d2eae_1,04b-24005
5ddadf472d32447d99a49d3d5a5aa2d5_0,https://data.baltimorecity.gov/datasets/5ddadf472d32447d99a49d3d5a5aa2d5_0,04c-02
96329655fcba4643bd1e28971cdd6ae7_0,https://hub-popecounty.hub.arcgis.com/datasets/96329655fcba4643bd1e28971cdd6ae7_0,05b-27121
909260dab1564f1ea4ab7145452637a6_0,https://hub-popecounty.hub.arcgis.com/datasets/909260dab1564f1ea4ab7145452637a6_0,05b-27121
dbf82d405f2e4493b3918ace450c48e6_2,https://hub-popecounty.hub.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_2,05b-27121
dbf82d405f2e4493b3918ace450c48e6_0,https://hub-popecounty.hub.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_0,05b-27121
dbf82d405f2e4493b3918ace450c48e6_4,https://hub-popecounty.hub.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_4,05b-27121
dbf82d405f2e4493b3918ace450c48e6_1,https://hub-popecounty.hub.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_1,05b-27121
0091bf3dab20430f907d68fa2e2650bf_0,https://hub-popecounty.hub.arcgis.com/datasets/0091bf3dab20430f907d68fa2e2650bf_0,05b-27121
dbf82d405f2e4493b3918ace450c48e6_3,https://hub-popecounty.hub.arcgis.com/datasets/dbf82d405f2e4493b3918ace450c48e6_3,05b-27121
8923dfaffa1b47f99d45ecd3c5bbd507_0,https://hub-popecounty.hub.arcgis.com/datasets/8923dfaffa1b47f99d45ecd3c5bbd507_0,05b-27121
779715a6134e4c84bdf7635606bd46da_0,https://hub-popecounty.hub.arcgis.com/datasets/779715a6134e4c84bdf7635606bd46da_0,05b-27121
978a196db61d4cceaf979cb3df45f838_0,https://hub-popecounty.hub.arcgis.com/datasets/978a196db61d4cceaf979cb3df45f838_0,05b-27121
555a3d2b03fd437e9f69196ad939f065_0,https://hub-popecounty.hub.arcgis.com/datasets/555a3d2b03fd437e9f69196ad939f065_0,05b-27121
bdd41cc664bc4dd98c2fcc90263742be_0,https://hub-popecounty.hub.arcgis.com/datasets/bdd41cc664bc4dd98c2fcc90263742be_0,05b-27121
8923dfaffa1b47f99d45ecd3c5bbd507_1,https://hub-popecounty.hub.arcgis.com/datasets/8923dfaffa1b47f99d45ecd3c5bbd507_1,05b-27121
cd21acfe357b4fba871f0c482e728e9a_0,https://hub-popecounty.hub.arcgis.com/datasets/cd21acfe357b4fba871f0c482e728e9a_0,05b-27121
f0d3a829da6a43f9acd70c53f0f8d721_0,https://hub-wilkinco.hub.arcgis.com/datasets/f0d3a829da6a43f9acd70c53f0f8d721_0,05b-27167
f9c0a557c00a4dd9be145fa9063c6eff_3,https://hub-wilkinco.hub.arcgis.com/datasets/f9c0a557c00a4dd9be145fa9063c6eff_3,05b-27167
f9c0a557c00a4dd9be145fa9063c6eff_2,https://hub-wilkinco.hub.arcgis.com/datasets/f9c0a557c00a4dd9be145fa9063c6eff_2,05b-27167
f9c0a557c00a4dd9be145fa9063c6eff_0,https://hub-wilkinco.hub.arcgis.com/datasets/f9c0a557c00a4dd9be145fa9063c6eff_0,05b-27167
