ID,document[b1g_dateRetired_s],document[b1g_status_s],document[publication_state]
item.html?id=f057aa9e9b2541a3b264d03173726f78&sublayer=5,2022-08-19,Inactive,['unpublished']
item.html?id=affbc38388e04ad78c048d1efe0df181&sublayer=2,2022-08-19,Inactive,['unpublished']
item.html?id=7b6072236bc34c39bd94a6d4424b8dfb&sublayer=18,2022-08-19,Inactive,['unpublished']
item.html?id=1af113f70e8c404d89a80611aa39e2b6,2022-08-19,Inactive,['unpublished']
item.html?id=7c1b57f4dae14130a6e4c59f501945e2&sublayer=33,2022-08-19,Inactive,['unpublished']
item.html?id=67242413afd34dccae7ded7172c2d4bb&sublayer=0,2022-08-19,Inactive,['unpublished']
item.html?id=e96c2d9e3a83456487057615a8fae615&sublayer=1,2022-08-19,Inactive,['unpublished']
item.html?id=3ca667cf6b8244bcbd3687706d173f8a&sublayer=21,2022-08-19,Inactive,['unpublished']
item.html?id=2f4e403262934b8faaa36c5aeeebf0e6&sublayer=28,2022-08-19,Inactive,['unpublished']
item.html?id=7695dce520fe43c3a6aea045a606b014&sublayer=0,2022-08-19,Inactive,['unpublished']
item.html?id=4bada947cd6d49b8af28b448784d0a35,2022-08-19,Inactive,['unpublished']
item.html?id=be65bed63ac24a6d92404e6db1d069c1,2022-08-19,Inactive,['unpublished']
item.html?id=f5e545d1808e41bc9a350118bf6f86a9&sublayer=0,2022-08-19,Inactive,['unpublished']
item.html?id=8305349a5a3c410cbf9f8f878c84a5fa,2022-08-19,Inactive,['unpublished']
item.html?id=a48de06ea51e490fa32ce1f35f51ae33,2022-08-19,Inactive,['unpublished']
item.html?id=2b9ed732003444598490b21b8c95628c,2022-08-19,Inactive,['unpublished']
item.html?id=1a8bd5a83de24d65b18d041519dc7b6a&sublayer=0,2022-08-19,Inactive,['unpublished']
item.html?id=4b387724967c46afb396a890f7246b6b,2022-08-19,Inactive,['unpublished']
item.html?id=b9425094e57e4f279f10b47b655a3368&sublayer=2,2022-08-19,Inactive,['unpublished']
item.html?id=d7877def70a44cb08bccad12de28ea65,2022-08-19,Inactive,['unpublished']
item.html?id=b56420c8e6f345579e49f7711d356f24,2022-08-19,Inactive,['unpublished']
item.html?id=c71120406c484b78b531f901377abdee,2022-08-19,Inactive,['unpublished']
item.html?id=25f188d40126454093c103eba1d16b0e&sublayer=0,2022-08-19,Inactive,['unpublished']
