identifier,code,title,alternativeTitle,description,genre,subject,format,type,geometryType,dateIssued,temporalCoverage,Date,spatialCoverage,spatial,provenance,isPartOf,publisher,creator,landingPage,downloadURL,webService,metadataURL,serverType,keywords
1dc5642a59a14c179bf176b2fe48a2d0,01c-02,Adult Entertainment Business Zoning Ord adult cabaret adult motel definitions03-AO-02,,"Zoning Ordinances were amended numerous times. Amendments were added to the 1922 City Zoning Ordinance, the 1948 County Zoning Ordinance, and the combined City-County Zoning Ordinances (Uni-gov). ",Flagged,,PDF,,,2019-01-07T21:37:44.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/1dc5642a59a14c179bf176b2fe48a2d0,,https://xmaps.indy.gov/ODP/Download/DMD/Zoning/AdultEntertainmentBusinessZoningOrdadultcabaretadultmoteldefinitions03-AO-02.pdf,,,DMD Historical Zoning Ordinance Amendments
fb145e3fc7a943ab893e3224150ace74,01c-02,2015 Sign Regulations,,"The Zoning Ordinances that governed Indianapolis-Marion County before April 1, 2016",Flagged,,PDF,,,2019-01-07T17:58:38.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/fb145e3fc7a943ab893e3224150ace74,,https://xmaps.indy.gov/ODP/Download/DMD/Zoning/2015SignRegulations.pdf,,,DMD Historical Zoning Ordinance Amendments
200aa2bcbf7449eaab6af432429efd41,01c-02,Special Use Districts Zoning Ord SU-13 sanitary landfill regulations 67-AO-5,,"Zoning Ordinances were amended numerous times. Amendments were added to the 1922 City Zoning Ordinance, the 1948 County Zoning Ordinance, and the combined City-County Zoning Ordinances (Uni-gov). Special Use Districts Zoning Ord SU-13 sanitary landfill regulations 67-AO-5",Flagged,,PDF,,,2019-01-09T16:57:22.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/200aa2bcbf7449eaab6af432429efd41,,https://xmaps.indy.gov/ODP/Download/DMD/Zoning/Special Use Districts Zoning Ord SU-13 sanitary landfill regulations 67-AO-5.pdf,,,DMD Historical Zoning Ordinance Amendments
a2987848074e4381b759c86bad0e2986,01c-02,Wellfield Protection Zoning Ord expiration date extension 95-AO-13B,,"Zoning Ordinances were amended numerous times. Amendments were added to the 1922 City Zoning Ordinance, the 1948 County Zoning Ordinance, and the combined City-County Zoning Ordinances (Uni-gov). ",Flagged,,PDF,,,2019-01-09T17:30:10.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/a2987848074e4381b759c86bad0e2986,,https://xmaps.indy.gov/ODP/Download/DMD/Zoning/Wellfield Protection Zoning Ord expiration date extension 95-AO-13B.pdf,,,DMD Historical Zoning Ordinance Amendments
f537eefeec3a420aa302caceb4cc8e00,01c-02,Residential ground FAR increase (Town of Warren Park) 60-AO-1,,"Zoning Ordinances were amended numerous times. Amendments were added to the 1922 City Zoning Ordinance, the 1948 County Zoning Ordinance, and the combined City-County Zoning Ordinances (Uni-gov). ",Flagged,,PDF,,,2019-01-09T16:11:37.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/f537eefeec3a420aa302caceb4cc8e00,,https://xmaps.indy.gov/ODP/Download/DMD/Zoning/Residential ground FAR increase (Town of Warren Park) 60-AO-1.pdf,,,DMD Historical Zoning Ordinance Amendments
1978fb9b563b42de81fc5c13c6e314df,01c-02,Dwelling Districts Zoning Ord map boundaries 66-AO-5,,"Zoning Ordinances were amended numerous times. Amendments were added to the 1922 City Zoning Ordinance, the 1948 County Zoning Ordinance, and the combined City-County Zoning Ordinances (Uni-gov). ",Flagged,,PDF,,,2019-01-08T16:45:47.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/1978fb9b563b42de81fc5c13c6e314df,,https://xmaps.indy.gov/ODP/Download/DMD/Zoning/Dwelling Districts Zoning Ord map boundaries 66-AO-5.pdf,,,DMD Historical Zoning Ordinance Amendments
0f96fa24214744c3898678ddb1a29722,01c-02,Enforcement and Remedies Zoning Ord 88-AO-5,,"Zoning Ordinances were amended numerous times. Amendments were added to the 1922 City Zoning Ordinance, the 1948 County Zoning Ordinance, and the combined City-County Zoning Ordinances (Uni-gov). ",Flagged,,PDF,,,2019-01-08T19:28:19.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/0f96fa24214744c3898678ddb1a29722,,https://xmaps.indy.gov/ODP/Download/DMD/Zoning/Enforcement and Remedies Zoning Ord 88-AO-5.pdf,,,DMD Historical Zoning Ordinance Amendments
ec8bd538728a43f790213975bf2c4918,01c-02,Improvement Location Permit Ord exemptions from permit requirements 97-AO-4,,"Zoning Ordinances were amended numerous times. Amendments were added to the 1922 City Zoning Ordinance, the 1948 County Zoning Ordinance, and the combined City-County Zoning Ordinances (Uni-gov). ",Flagged,,PDF,,,2019-01-08T20:44:37.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/ec8bd538728a43f790213975bf2c4918,,https://xmaps.indy.gov/ODP/Download/DMD/Zoning/Improvement Location Permit Ord exemptions from permit requirements 97-AO-4.pdf,,,DMD Historical Zoning Ordinance Amendments
e129ddb6387b4e21b190e9f4cbf82916,01c-02,Wellfield Protection Zoning Ord TQP process 97-AO-10,,"Zoning Ordinances were amended numerous times. Amendments were added to the 1922 City Zoning Ordinance, the 1948 County Zoning Ordinance, and the combined City-County Zoning Ordinances (Uni-gov). ",Flagged,,PDF,,,2019-01-09T17:36:51.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/e129ddb6387b4e21b190e9f4cbf82916,,https://xmaps.indy.gov/ODP/Download/DMD/Zoning/Wellfield Protection Zoning Ord TQP process 97-AO-10.pdf,,,DMD Historical Zoning Ordinance Amendments
41d1fc5bac264e579121e78783eac82d,01c-02,Comprehensive zoning map boundaries 72-AO-3,,"Zoning Ordinances were amended numerous times. Amendments were added to the 1922 City Zoning Ordinance, the 1948 County Zoning Ordinance, and the combined City-County Zoning Ordinances (Uni-gov). ",Flagged,,PDF,,,2019-01-08T15:38:44.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/41d1fc5bac264e579121e78783eac82d,,https://xmaps.indy.gov/ODP/Download/DMD/Zoning/Comprehensive zoning map boundaries 72-AO-3.pdf,,,DMD Historical Zoning Ordinance Amendments
