identifier,code,title,alternativeTitle,description,genre,subject,format,type,geometryType,dateIssued,temporalCoverage,Date,spatialCoverage,spatial,provenance,isPartOf,publisher,creator,landingPage,downloadURL,webService,metadataURL,serverType,keywords
fa9ec663cf25407a9b7645ff14334a7f_13,01c-02,Street Centerlines,,"Line file representing street centerlines in Indianapolis and Marion County, Indiana including address ranges.Data projection: NAD 1983 StatePlane Indiana East FIPS 1301 (US Feet)",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-18T14:47:12.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-86.3553,39.6257,-85.9347,39.9512",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/fa9ec663cf25407a9b7645ff14334a7f_13,http://data1-indygis.opendata.arcgis.com/datasets/fa9ec663cf25407a9b7645ff14334a7f_13.zip,https://xmaps.indy.gov/arcgis/rest/services/OpenData/OpenData_Transportation/MapServer/13,,MapServer,Streets|Street Centerlines|Transportation|Marion County Streets
8fd846c9179e4539a02dc76651b7b7bd_0,03a-02,Scoping Bridge Location,,"Several layers were examined as part of the highway improvement needs analysis conducted for the 2017 State Transportation plan, to include: Bridges, Capacity, Freight, Mobility and Safety, Operations, Condition, and Park and Ride. For more information, see iowadot.gov/iowainmotion.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-19T19:09:26.000Z,,,"Iowa, United States","-96.51719720488329,40.39110962213667,-90.16117882209117,43.43043706162875",Iowa,State Agencies Geospatial Data,State of Iowa,Iowa Department of Transportation,http://public-iowadot.opendata.arcgis.com/datasets/8fd846c9179e4539a02dc76651b7b7bd_0,http://public-iowadot.opendata.arcgis.com/datasets/8fd846c9179e4539a02dc76651b7b7bd_0.zip,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Scoping_Bridge_View/FeatureServer/0,,FeatureServer,Iowa Department of Transportation|Iowa DOT|Scoping|Assets|Inventory|Asset Classification
fe5133aaae714713b923d38decc61cdf_3,04b-24031,Future Bikeways,,There is no description available.,Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-19T22:09:58.000Z,,,"Montgomery County, Maryland, United States|Maryland, United States","-77.1506,38.9808,-77.0268,39.1767",Maryland,Counties Geospatial Data,"Montgomery County, Maryland","Montgomery County, MD",http://data2018-mcgov-gis.opendata.arcgis.com/datasets/fe5133aaae714713b923d38decc61cdf_3,http://data2018-mcgov-gis.opendata.arcgis.com/datasets/fe5133aaae714713b923d38decc61cdf_3.zip,https://gis4.montgomerycountymd.gov/arcgis/rest/services/bikeways/bikeways_dynamic/MapServer/3,,MapServer,Future Bikeways|MCGGisOpenDataCommunity|MCGGisOpenDataRecreation|MCGGisOpenDataTransportation
64c13a3e53614145ade1d39fae2044a3_0,04b-24031,Bikeshare Stations,,There is no description available.,Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-19T22:18:08.000Z,,,"Montgomery County, Maryland, United States|Maryland, United States","-77.2041,38.961,-76.9883,39.1261",Maryland,Counties Geospatial Data,"Montgomery County, Maryland","Montgomery County, MD",http://data2018-mcgov-gis.opendata.arcgis.com/datasets/64c13a3e53614145ade1d39fae2044a3_0,http://data2018-mcgov-gis.opendata.arcgis.com/datasets/64c13a3e53614145ade1d39fae2044a3_0.zip,https://gis4.montgomerycountymd.gov/arcgis/rest/services/bikeways/bikeways_dynamic/MapServer/0,,MapServer,Bikeshare Stations|MCGGisOpenDataCommunity|MCGGisOpenDataRecreation|MCGGisOpenDataTransportation
bdba4944484340b48538f6830b172e47_4,04b-24031,Bikeways,,There is no description available.,Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-19T22:00:05.000Z,,,"Montgomery County, Maryland, United States|Maryland, United States","-77.5194,38.9363,-76.903,39.3392",Maryland,Counties Geospatial Data,"Montgomery County, Maryland","Montgomery County, MD",http://data2018-mcgov-gis.opendata.arcgis.com/datasets/bdba4944484340b48538f6830b172e47_4,http://data2018-mcgov-gis.opendata.arcgis.com/datasets/bdba4944484340b48538f6830b172e47_4.zip,https://gis4.montgomerycountymd.gov/arcgis/rest/services/bikeways/bikeways_dynamic/MapServer/4,,MapServer,Bikeways|MCGGisOpenDataRecreation|MCGGisOpenDataCommunity|MCGGisOpenDataTransportation
a3aefd57db394fd68d739556253dc44d_18,04c-01,Economic Development Zones,,"Economic Development Zones. Economic Development Zones assist in stimulating the expansion of commercial and industrial businesses, long-term employment, and homeownership in disadvantaged areas of the District. Boundaries have been defined from several tax and incentive Acts promulgated by the DC City Council. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",Geospatial data,,Shapefile,Dataset|Service,Vector,2015-02-27T20:36:16.000Z,,,Washington D.C,"-77.0199811594,38.8103989614,-76.9619551146,38.8703884501",Maryland,Municipalities Geospatial Data,District of Columbia,"City of Washington, DC",http://opendata.dc.gov/datasets/a3aefd57db394fd68d739556253dc44d_18,http://opendata.dc.gov/datasets/a3aefd57db394fd68d739556253dc44d_18.zip,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Business_and_Economic_Development_WebMercator/MapServer/18,,MapServer,boundary|Business|DC|DC GIS|DCGIS|Development|District of Columbia|Economic|economy|EDZ|Open Data|Washington DC|Zone
64f98506becc4414a88ed61eae15b4e2_22,04c-01,Home Again Initiative,,"In January 2002, Mayor Anthony A. Williams introduced his Home Again Initiative to transform vacant and abandoned residential properties into single-family homeownership opportunities for residents. By increasing homeownership and eliminating blight, Home Again helps to stabilize neighborhoods and contribute to local economic sustainability. Currently, Home Again focuses on neighborhoods with high concentrations of vacant and abandoned residential property: Columbia Heights, Ivy City/Trinidad, Near Northeast, Shaw/Ledroit Park, and Rosedale. The residents in these communities also identified rehabilitating vacant and abandoned properties as a high priority in their Strategic Neighborhood Action Plans (SNAPs).",Geospatial data,,Shapefile,Dataset|Service,Vector,2015-02-27T20:36:18.000Z,,,Washington D.C,"-77.0363952401,38.8947378459,-76.970094996,38.937789389",Maryland,Municipalities Geospatial Data,District of Columbia,"City of Washington, DC",http://opendata.dc.gov/datasets/64f98506becc4414a88ed61eae15b4e2_22,http://opendata.dc.gov/datasets/64f98506becc4414a88ed61eae15b4e2_22.zip,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Business_and_Economic_Development_WebMercator/MapServer/22,,MapServer,Abandoned|boundary|DC|DC GIS|DCGIS|District of Columbia|economy|Home Again|Housing|planningCadastre|Properties|Vacant|Washington DC
6da0781990494f678e9f5722e1c09a67_23,04c-01,Neighborhood Investment Fund Areas,,"The dataset contains locations and attributes of Neighborhood Investment Fund Areas (NIF).The Neighborhood Investment Fund is an annual, non-lapsing fund to finance economic development and neighborhood revitalization in 12 targeted areas of the District. The fund is capitalized by an annual contribution of 15 percent of the personal property tax, not to exceed $10 million. The Neighborhood Investment Fund supports neighborhood revitalization through the Target Area Grant Program (TAPG) and Predevelopment and Project Grants (PDG).",Geospatial data,,Shapefile,Dataset|Service,Vector,2015-02-27T20:36:19.000Z,,,Washington D.C,"-77.0414436886,38.8212488821,-76.9094227223,38.9783083516",Maryland,Municipalities Geospatial Data,District of Columbia,"City of Washington, DC",http://opendata.dc.gov/datasets/6da0781990494f678e9f5722e1c09a67_23,http://opendata.dc.gov/datasets/6da0781990494f678e9f5722e1c09a67_23.zip,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Business_and_Economic_Development_WebMercator/MapServer/23,,MapServer,Business|DC GIS|District of Columbia|Economic|fund|investment|money|neighborhood|tax|Washington DC
63e61e1aa00244388d88212c3e45eca7_32,04c-01,Industrial Revenue Bond Projects,,The District of Columbia Revenue Bond Program provides market interest rate loans to help lower cost of funds available for capital projects. These bonds are used to finance a wide variety of projects including industrial and commercial development.More information is available here:?http://dmped.dc.gov/?and search for industrial revenue bond.,Geospatial data,,Shapefile,Dataset|Service,Vector,2016-06-27T17:12:39.000Z,,,Washington D.C,"-77.0981,38.8402,-76.9246,38.9614",Maryland,Municipalities Geospatial Data,District of Columbia,"City of Washington, DC",http://opendata.dc.gov/datasets/63e61e1aa00244388d88212c3e45eca7_32,http://opendata.dc.gov/datasets/63e61e1aa00244388d88212c3e45eca7_32.zip,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Business_and_Economic_Development_WebMercator/MapServer/32,,MapServer,irb|dmped|economic|business|dc|dcgis|washington|planning|finance|revenue|industrial revenue bond|jun2016
8f08535a1c144fdca6d8b8074cf92b35_34,04c-01,Great Streets Grantees,,"Grant and grantee information at https://greatstreets.dc.gov/ and https://greatstreets.dc.gov/service/grantees-corner. In 2006, Great Streets began as a three-prong, commercial revitalization initiative to transform emerging corridors throughout the District of Columbia into thriving and inviting neighborhood centers. Led by the Office of the Deputy Mayor for Planning and Economic Development (DMPED) in conjunction with the Office of Planning (OP) and the District Department of Transportation (DDOT), Great Streets has grown into a multi-year, multi-agency program that utilizes public actions and resources to leverage private investment in retail, office space, housing, and cultural facilities across the District. The Government of the District of Columbia through the Office of the Deputy Mayor for Planning and Economic Development (DMPED) administers the Great Streets Retail Small Business Reimbursement Grants, which are competitive grants of up to $50,000 for qualified small business owners who wish to improve their place of business. The purpose of the grant program is to support existing small businesses, attract new businesses, increase the District's tax base, create new job opportunities for District residents, and transform emerging commercial corridors into thriving and inviting neighborhood centers. If you would like to be added to the Great Streets email list to receive updates about small business opportunities in the District of Columbia, please email us at greatstreets@dc.gov. Visit http://greatstreets.dc.gov/ for more information. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.",Geospatial data,,Shapefile,Dataset|Service,Vector,2017-05-10T16:18:56.000Z,,,Washington D.C,"-77.066,38.8319,-76.9255,38.9785",Maryland,Municipalities Geospatial Data,District of Columbia,"City of Washington, DC",http://opendata.dc.gov/datasets/8f08535a1c144fdca6d8b8074cf92b35_34,http://opendata.dc.gov/datasets/8f08535a1c144fdca6d8b8074cf92b35_34.zip,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Business_and_Economic_Development_WebMercator/MapServer/34,,MapServer,Business|DC|DC|DC GIS|DCGIS|District of Columbia|Economic|economic development|great streets|incentive|may2017|Washington|Washington DC
