identifier,code,title,alternativeTitle,description,genre,subject,format,type,geometryType,dateIssued,temporalCoverage,Date,spatialCoverage,spatial,provenance,publisher,creator,landingPage,downloadURL,webService,metadataURL,serverType,keywords
0f71132d8c6a49a7a1f6c5172088dc08,12b-17043,WNV Human Cases 2019,,"Reported cases of human infection of the West Nile virus are shown, as of 25 Sept 2019.  
Note:  locations of the resident are generalized to respect privacy.",Flagged,,ArcGIS Hub Dataset|Esri Rest API,,,2019-09-13T11:49:35.000Z,,,"DuPage County, Illinois|Illinois","-88.2633,41.6856,-87.9125,41.9939",Chicago,"DuPage County, Illinois",DuPage County Illinois,http://gisdata-dupage.opendata.arcgis.com/datasets/0f71132d8c6a49a7a1f6c5172088dc08,,https://services.arcgis.com/neJvtQ4PXvnQ86MJ/arcgis/rest/services/WNV_Human_Cases_2019/FeatureServer,,FeatureServer,WNV| west nile virus| mosquito| human| DuPage Co
0eeb7b0c0d744b8a962e0757323517c2,12b-17043,WNV Human Cases,,{{default.description}},error,,error,error,,2019-09-13T12:01:03.000Z,,,"DuPage County, Illinois|Illinois","-88.3474,41.6412,-87.8283,42.0371",Chicago,"DuPage County, Illinois",DuPage County Illinois,http://gisdata-dupage.opendata.arcgis.com/datasets/0eeb7b0c0d744b8a962e0757323517c2,error,,,,WNV|west nile virus|mosquito|health|DuPage|DuPage Co 2019
0f71132d8c6a49a7a1f6c5172088dc08_1,12b-17043,DuPage Co,,"Reported cases of human infection of the West Nile virus are shown, as of 25 Sept 2019.  
Note:  locations of the resident are generalized to respect privacy.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-09-13T11:49:35.000Z,,,"DuPage County, Illinois|Illinois","-88.2633,41.6856,-87.9125,41.9939",Chicago,"DuPage County, Illinois",DuPage County Illinois,http://gisdata-dupage.opendata.arcgis.com/datasets/0f71132d8c6a49a7a1f6c5172088dc08_1,http://gisdata-dupage.opendata.arcgis.com/datasets/0f71132d8c6a49a7a1f6c5172088dc08_1.zip,https://services.arcgis.com/neJvtQ4PXvnQ86MJ/arcgis/rest/services/WNV_Human_Cases_2019/FeatureServer/1,,FeatureServer,WNV| west nile virus| mosquito| human| DuPage Co
0f71132d8c6a49a7a1f6c5172088dc08_0,12b-17043,Reported Human Case,,"Reported cases of human infection of the West Nile virus are shown, as of 25 Sept 2019.  
Note:  locations of the resident are generalized to respect privacy.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-09-13T11:49:35.000Z,,,"DuPage County, Illinois|Illinois","-88.152,41.7766,-87.9509,41.9574",Chicago,"DuPage County, Illinois",DuPage County Illinois,http://gisdata-dupage.opendata.arcgis.com/datasets/0f71132d8c6a49a7a1f6c5172088dc08_0,http://gisdata-dupage.opendata.arcgis.com/datasets/0f71132d8c6a49a7a1f6c5172088dc08_0.zip,https://services.arcgis.com/neJvtQ4PXvnQ86MJ/arcgis/rest/services/WNV_Human_Cases_2019/FeatureServer/0,,FeatureServer,WNV| west nile virus| mosquito| human| DuPage Co
0d6ac4bb456b4eeda10eb693d4069ad0_0,12b-17097,Address Points,,"Download In State Plane Projection Here.?These address points were developed for a myriad of uses including general public geocoding in Lake County web sites and NG-911 emergency dispatch. All addresses are reviewed on a monthly basis against the United States Post Office delivery database to ensure that they are still active. New addresses are added at this time or earlier if they are made known to Lake County GIS by local data partners. Attributes DiscrpAgID through Elev reflect the NENA NG-911 / State of Illinois GIS?Data model. Additional local data fields have also been included. The fields LSt_PreDir, LSt_Name, LSt_Type and LSt_PosDir are formatted according to United States Postal Service standards.Update Frequency:This dataset is updated on a?weekly?basis.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-09-09T16:46:45.000Z,,,"Lake County, Illinois|Illinois","-88.1993,42.1524,-87.7603,42.4957",Chicago,"Lake County, Illinois","Lake County, Illinois",http://data-lakecountyil.opendata.arcgis.com/datasets/0d6ac4bb456b4eeda10eb693d4069ad0_0,http://data-lakecountyil.opendata.arcgis.com/datasets/0d6ac4bb456b4eeda10eb693d4069ad0_0.zip,https://services3.arcgis.com/HESxeTbDliKKvec2/arcgis/rest/services/LakeCounty_AddressPoints/FeatureServer/0,,FeatureServer,Lake County  Illinois|Address Points
fd52d94c597742d0a1758f9f7df0e567,12b-17097,Address Points Data Dictionary,,{{default.description}},error,,error,error,,2019-09-09T18:14:30.000Z,,,"Lake County, Illinois|Illinois","-88.215,42.158,-87.781,42.493",Chicago,"Lake County, Illinois","Lake County, Illinois",http://data-lakecountyil.opendata.arcgis.com/datasets/fd52d94c597742d0a1758f9f7df0e567,error,,,,Lake County  Illinois|Address Points|readme|Data Dictionary
0654ef6c8a25401baa44941af93d48c0,04a-01,MDOT SHA 2015 Mean Higher High Water 1% Annual Chance (100YR Storm) - Depth Grid,,"ArcGIS Online (AGOL) Feature Layer which includes the MDOT SHA 2015 Mean Higher High Water 1% Annual Chance (100YR Storm) - Depth Grid?geospatial data product.MDOT SHA 2015 Mean Higher High Water 1% Annual Chance (100YR Storm) - Depth Grid?consists of a depth grid image service depicting conditions of mean higher high water based on the 1% annual chance (100-Year Storm) event for coastal areas throughout the State of Maryland in year 2015.? This data product supports Maryland Department of Transportation State Highway Administration (MDOT SHA) leadership and planners as they endeavor to mitigate or prevent the impacts of sea level change resulting from land surface subsidence and rising sea levels.MDOT SHA 2015 Mean Higher High Water 1% Annual Chance (100YR Storm) - Depth Grid?data was produced as a result of efforts by the Maryland Department of Transportation State Highway Administration (MDOT SHA), Eastern Shore Regional GIS Cooperative (ESRGC), Salisbury University (SU), United States Corps of Engineers (USACE), National?Oceanic  Atmospheric Administration (NOAA), and the United States Geological Survey (USGS).? The?US Army Corps of Engineers provide the sea level change estimate. Sea level change?is localized using water elevations collected from a qualifying National Oceanic and Atmospheric Administration (NOAA) tidal reference station - NOAA observations are transformed from tidal datum to North American Vertical Datum of 1988. A final correction for glacial isostatic adjustment and land creates an?sea level change?value for the official project year, 2015.MDOT SHA 2015 Mean Higher High Water 1% Annual Chance (100YR Storm) - Depth Grid?data was task-based, and will only be updated on an As-Needed basis where necessary.Last Updated: 10/07/2019For additional information, contact the MDOT SHA Geospatial Technologies:Email:?GIS@mdot.maryland.govFor information related to the data, visit the Eastern Shore Regional GIS Cooperative (ESRGC) websiteWebsite:?https:www.esrgc.org/mapServices/For additional data, visit the MDOT GIS Open Data Portal:Website:?https://data.imap.maryland.gov/pages/mdot/For additional information related to the Maryland Department of Transportation (MDOT):Website:?https://www.mdot.maryland.gov/For additional information related to the Maryland Department of Transportation State Highway Administration (MDOT SHA):Website:?https://www.roads.maryland.gov/Home.aspxMDOT SHA Geospatial Data Legal Disclaimer:The Maryland Department of Transportation State Highway Administration (MDOT SHA) makes no warranty, expressed or implied, as to the use or appropriateness of geospatial data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in geospatial data is from publicly available sources, but no representation is made as to the accuracy or completeness of geospatial data. MDOT SHA shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROMs or DVD-ROMs and energy. MDOT SHA shall not be liable for any lost profits, consequential damages, or claims against MDOT SHA by third parties.",Aerial imagery,,Imagery,Image|Service,,2019-10-08T18:34:08.000Z,,,Maryland,"-77.267,37.8843,-75.0383,39.6351",Maryland,State of Maryland,ArcGIS Online for Maryland,http://data.imap.maryland.gov/datasets/0654ef6c8a25401baa44941af93d48c0,,https://geoservices.salisbury.edu/arcgis/rest/services/MD_MeanHigherHighWater_2015/DepthGrid_01_PercentAnnualChance/ImageServer,,ImageServer,Depth Grid|Flooding|Flood|High Water|Model|Flood Depth Grid|Statewide|Maryland|MD|Maryland Department of Transportation|MDOT|Maryland Department of Transportation State Highway Administration|MDOT SHA|MDOT SHA Office of Planning & Preliminary Engineering|OPPE|Climate|Climate Change|NOAA|USGS|Salisbury University|ESRGC|USACE|2015|Mean Higher High Water|MHHW|1%|1% Annual Chance|100 Year Storm|100-Year Storm|100YR Storm
a2c5695d482546bf89b72e0cd73b74ca,04a-01,MDOT SHA 2100 Mean Higher High Water 10% Annual Chance (10YR Storm) - Depth Grid,,"ArcGIS Online (AGOL) Feature Layer which includes the MDOT SHA 2100 Mean Higher High Water 10% Annual Chance (10YR Storm) - Depth Grid?geospatial data product.MDOT SHA 2100 Mean Higher High Water 10% Annual Chance (10YR Storm) - Depth Grid?consists of a depth grid image service depicting conditions of mean higher high water based on the 10% annual chance (10-Year Storm) event for coastal areas throughout the State of Maryland in year 2100.? This data product supports Maryland Department of Transportation State Highway Administration (MDOT SHA) leadership and planners as they endeavor to mitigate or prevent the impacts of sea level change resulting from land surface subsidence and rising sea levels.MDOT SHA 2100 Mean Higher High Water 10% Annual Chance (10YR Storm) - Depth Grid?data was produced as a result of efforts by the Maryland Department of Transportation State Highway Administration (MDOT SHA), Eastern Shore Regional GIS Cooperative (ESRGC), Salisbury University (SU), United States Corps of Engineers (USACE), National?Oceanic  Atmospheric Administration (NOAA), and the United States Geological Survey (USGS).? The?US Army Corps of Engineers provide the sea level change estimate. Sea level change?is localized using water elevations collected from a qualifying National Oceanic and Atmospheric Administration (NOAA) tidal reference station - NOAA observations are transformed from tidal datum to North American Vertical Datum of 1988. A final correction for glacial isostatic adjustment and land creates an?sea level change?value for the official project year, 2100.MDOT SHA 2100 Mean Higher High Water 10% Annual Chance (10YR Storm) - Depth Grid?data was task-based, and will only be updated on an As-Needed basis where necessary.Last Updated: 10/09/2019For additional information, contact the MDOT SHA Geospatial Technologies:Email:?GIS@mdot.maryland.govFor information related to the data, visit the Eastern Shore Regional GIS Cooperative (ESRGC) websiteWebsite:?https:www.esrgc.org/mapServices/For additional data, visit the MDOT GIS Open Data Portal:Website:?https://data.imap.maryland.gov/pages/mdot/For additional information related to the Maryland Department of Transportation (MDOT):Website:?https://www.mdot.maryland.gov/For additional information related to the Maryland Department of Transportation State Highway Administration (MDOT SHA):Website:?https://www.roads.maryland.gov/Home.aspxMDOT SHA Geospatial Data Legal Disclaimer:The Maryland Department of Transportation State Highway Administration (MDOT SHA) makes no warranty, expressed or implied, as to the use or appropriateness of geospatial data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in geospatial data is from publicly available sources, but no representation is made as to the accuracy or completeness of geospatial data. MDOT SHA shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROMs or DVD-ROMs and energy. MDOT SHA shall not be liable for any lost profits, consequential damages, or claims against MDOT SHA by third parties.",Aerial imagery,,Imagery,Image|Service,,2019-10-09T15:32:26.000Z,,,Maryland,"-77.267,37.8843,-75.0383,39.6469",Maryland,State of Maryland,ArcGIS Online for Maryland,http://data.imap.maryland.gov/datasets/a2c5695d482546bf89b72e0cd73b74ca,,https://geoservices.salisbury.edu/arcgis/rest/services/MD_MeanHigherHighWater_2100/DepthGrid_10_PercentAnnualChance/ImageServer,,ImageServer,Depth Grid|Flooding|Flood|High Water|Model|Flood Depth Grid|Statewide|Maryland|MD|Maryland Department of Transportation|MDOT|Maryland Department of Transportation State Highway Administration|MDOT SHA|MDOT SHA Office of Planning & Preliminary Engineering|OPPE|Climate|Climate Change|NOAA|USGS|Salisbury University|ESRGC|USACE|2100|Mean Higher High Water|MHHW|10% Annual Chance|10%|10 Year Storm|10-Year Storm|10YR Storm
c4beaafa395e4329bcb0556392f5158c,04a-01,MDOT SHA Roadway Administrative Classifications,,"ArcGIS Online (AGOL) Web Application showcasing the MDOT SHA Roadway Administrative Classification geospatial data product.Roadway Administrative Classification (State Classifications) data consists of linear geometric features which specifically show State highways included in the State Primary and State Secondary systems throughout the State of Maryland. Roadway Administrative Classification is primarily used for general planning and funding purposes by showcasing the State Primary vs. State Secondary systems. The Maryland Department of Transportation State Highway Administration (MDOT SHA) currently reports this data only on the inventory direction (generally North or East) side of the roadway. Roadway Administrative Classification is not a complete representation of all roadway geometry.Roadway Administrative Classification data is developed and maintained by the Maryland Department of Transportation State Highway Administration (MDOT SHA), under the Office of Planning and Preliminary Engineering (OPPE) Data Services Division (DSD). Roadway Administrative Classification data is used by various business units throughout MDOT, as well as many other Federal, State and local government agencies. Roadway Administrative Classification data is key to understanding which State highways are included in the State Primary and State Secondary systems throughout Maryland.Roadway Administrative Classification data is updated and published on an annual basis for the prior year. This data is for the year 2017. Last Updated: September 2019 (09/2018)For additional information, contact the MDOT SHA Geospatial Technologies:Email:?GIS@mdot.maryland.govFor additional MDOT information, visit the Maryland Department of Transportation (MDOT):Website: https://www.mdot.maryland.gov/For additional MDOT SHA information, visit the Maryland Department of Transportation State Highway Administration (MDOT SHA):Website: https://www.roads.maryland.gov/Home.aspxMDOT SHA Geospatial Data Legal Disclaimer:?The Maryland Department of Transportation State Highway Administration (MDOT SHA) makes no warranty, expressed or implied, as to the use or appropriateness of geospatial data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in geospatial data is from publicly available sources, but no representation is made as to the accuracy or completeness of geospatial data. MDOT SHA shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROMs or DVD-ROMs and energy. MDOT SHA shall not be liable for any lost profits, consequential damages, or claims against MDOT SHA by third parties.",Flagged,,ArcGIS Hub Dataset|Esri Rest API,,,2018-06-13T14:54:01.000Z,,,Maryland,"-79.409,37.635,-75.179,39.955",Maryland,State of Maryland,ArcGIS Online for Maryland,http://data.imap.maryland.gov/datasets/c4beaafa395e4329bcb0556392f5158c,,https://maryland.maps.arcgis.com/apps/webappviewer/index.html?id=c4beaafa395e4329bcb0556392f5158c,,,Administrative Classification|Administrative Class|Admin Classification|Admin Class|State Classification System|Roadway Classification|Roadway Classification System|Highway Performance Monitoring System|HPMS|Transportation|Statewide|Maryland|MD|Federal Highway Administration|FHWA|Maryland Department of Transportation|MDOT|Maryland Department of Transportation State Highway Administration|MDOT SHA|State Highway Administration|SHA|Office of Planning and Preliminary Engineering|OPPE|Data Services Division|DSD|MD iMAP|Vector|Dynamic|WFS|WMS|KML|TRAN|2017|MDOT SHA Geospatial Technologies|GIS@mdot.maryland.gov
ad9ac9956eda44399042419865c8828d,04a-01,MDOT SHA 2050 Mean Higher High Water 2% Annual Chance (50YR Storm) - Depth Grid,,"ArcGIS Online (AGOL) Feature Layer which includes the MDOT SHA 2050 Mean Higher High Water 2% Annual Chance (50YR Storm) - Depth Grid?geospatial data product.MDOT SHA 2050 Mean Higher High Water 2% Annual Chance (50YR Storm) - Depth Grid?consists of a depth grid image service depicting conditions of mean higher high water based on the 2% annual chance (50-Year Storm) event for coastal areas throughout the State of Maryland in year 2050.? This data product supports Maryland Department of Transportation State Highway Administration (MDOT SHA) leadership and planners as they endeavor to mitigate or prevent the impacts of sea level change resulting from land surface subsidence and rising sea levels.MDOT SHA 2050 Mean Higher High Water 2% Annual Chance (50YR Storm) - Depth Grid?data was produced as a result of efforts by the Maryland Department of Transportation State Highway Administration (MDOT SHA), Eastern Shore Regional GIS Cooperative (ESRGC), Salisbury University (SU), United States Corps of Engineers (USACE), National?Oceanic  Atmospheric Administration (NOAA), and the United States Geological Survey (USGS).? The?US Army Corps of Engineers provide the sea level change estimate. Sea level change?is localized using water elevations collected from a qualifying National Oceanic and Atmospheric Administration (NOAA) tidal reference station - NOAA observations are transformed from tidal datum to North American Vertical Datum of 1988. A final correction for glacial isostatic adjustment and land creates an?sea level change?value for the official project year, 2050.MDOT SHA 2050 Mean Higher High Water 2% Annual Chance (50YR Storm) - Depth Grid?data was task-based, and will only be updated on an As-Needed basis where necessary.Last Updated: 10/07/2019For additional information, contact the MDOT SHA Geospatial Technologies:Email:?GIS@mdot.maryland.govFor information related to the data, visit the Eastern Shore Regional GIS Cooperative (ESRGC) websiteWebsite:?https:www.esrgc.org/mapServices/For additional data, visit the MDOT GIS Open Data Portal:Website:?https://data.imap.maryland.gov/pages/mdot/For additional information related to the Maryland Department of Transportation (MDOT):Website:?https://www.mdot.maryland.gov/For additional information related to the Maryland Department of Transportation State Highway Administration (MDOT SHA):Website:?https://www.roads.maryland.gov/Home.aspxMDOT SHA Geospatial Data Legal Disclaimer:The Maryland Department of Transportation State Highway Administration (MDOT SHA) makes no warranty, expressed or implied, as to the use or appropriateness of geospatial data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in geospatial data is from publicly available sources, but no representation is made as to the accuracy or completeness of geospatial data. MDOT SHA shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROMs or DVD-ROMs and energy. MDOT SHA shall not be liable for any lost profits, consequential damages, or claims against MDOT SHA by third parties.",Aerial imagery,,Imagery,Image|Service,,2019-10-08T21:17:29.000Z,,,Maryland,"-77.2671,37.8843,-75.0383,39.6375",Maryland,State of Maryland,ArcGIS Online for Maryland,http://data.imap.maryland.gov/datasets/ad9ac9956eda44399042419865c8828d,,https://geoservices.salisbury.edu/arcgis/rest/services/MD_MeanHigherHighWater_2050/DepthGrid_02_PercentAnnualChance/ImageServer,,ImageServer,Depth Grid|Flooding|Flood|High Water|Model|Flood Depth Grid|Statewide|Maryland|MD|Maryland Department of Transportation|MDOT|Maryland Department of Transportation State Highway Administration|MDOT SHA|MDOT SHA Office of Planning & Preliminary Engineering|OPPE|Climate|Climate Change|NOAA|USGS|Salisbury University|ESRGC|USACE|2050|Mean Higher High Water|MHHW|2%|2% Annual Chance|50 Year Storm|50-Year Storm|50YR Storm
