Identifier,Code,Title,alternativeTitle,description,genre,subject,format,type,geometryType,dateIssued,temporalCoverage,Date,spatialCoverage,spatial,provenance,publisher,creator,landingPage,downloadURL,webService,metadataURL,serverType,keywords
84626254386246518a43a7a6f1ea2049_14,06a-01,Michigan Creel Data Harvest,,This data is an estimate of the total harvest (number of fish removed) and catch (number of fish harvested and number of fish caught),Flagged,,ArcGIS Hub Dataset|Esri Rest API|GeoJSON|CSV,,,2016-03-01T14:55:29.000Z,,,Michigan,"-168.0737,69.834,171.2713,76.0602",Michigan State,State of Michigan,Michigan Department of Natural Resources,http://gis-michigan.opendata.arcgis.com/datasets/84626254386246518a43a7a6f1ea2049_14,,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/dnrFisheries/FeatureServer/14,,FeatureServer,dnr|fish|creel|Fishing
1e71a854afea41c4ad1aa95b20393d6c_13,06a-01,Michigan Creel Data Effort,,This data is an estimate of the total effort (hours fished) by anglers.,Flagged,,ArcGIS Hub Dataset|Esri Rest API|GeoJSON|CSV,,,2016-03-01T14:54:44.000Z,,,Michigan,"-168.0737,69.834,171.2713,76.0602",Michigan State,State of Michigan,Michigan Department of Natural Resources,http://gis-michigan.opendata.arcgis.com/datasets/1e71a854afea41c4ad1aa95b20393d6c_13,,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/dnrFisheries/FeatureServer/13,,FeatureServer,dnr|fish|creel|Fishing
076298de35ba420a8330df08492f018b_10,06a-01,Natural Rivers Polygons,,Natural Rivers Polygons,Geospatial data,,Shapefile,Dataset|Service,Vector,2018-10-30T17:59:02.000Z,,,Michigan,"-168.087,69.8355,171.3971,76.0627",Michigan State,State of Michigan,Michigan Department of Natural Resources,http://gis-michigan.opendata.arcgis.com/datasets/076298de35ba420a8330df08492f018b_10,"http://gis-michigan.opendata.arcgis.com/datasets/076298de35ba420a8330df08492f018b_10.zip?outSR={""latestWkid"":3078,""wkid"":102123}",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/dnrFisheries/FeatureServer/10,,FeatureServer,Natural|Rivers|DNR|Michigan
6622981f29dd4daa9d34830d37e460eb,06a-01,LRS Version 20,,"MDOT LRS Version 20 Geodatabase containing the Route, Control Section (CS) and Physical Reference (PR) routes and mile points.",error,,error,error,,2020-04-30T12:59:06.000Z,,,Michigan,"-91.9249,41.6407,-80.1146,47.4138",Michigan State,State of Michigan,Michigan Department of Transportation,http://gis-michigan.opendata.arcgis.com/datasets/6622981f29dd4daa9d34830d37e460eb,error,,,,LRS|Version|20|CS|PR|Control|Section|MGF|Transportation|roads|highways
dfe1ff34fe65456d9ed90aa6630e724d_0,06a-01,Michigan DNR Fisheries Management Units,,Michigan DNR Fisheries Management Units,Geospatial data,,Shapefile,Dataset|Service,Vector,2015-05-13T00:36:56.000Z,,,Michigan,"-168.0737,69.834,171.2713,76.0602",Michigan State,State of Michigan,Michigan Department of Natural Resources,http://gis-michigan.opendata.arcgis.com/datasets/dfe1ff34fe65456d9ed90aa6630e724d_0,"http://gis-michigan.opendata.arcgis.com/datasets/dfe1ff34fe65456d9ed90aa6630e724d_0.zip?outSR={""latestWkid"":3078,""wkid"":102123}",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/dnrFisheries/FeatureServer/0,,FeatureServer,dnr|management units|Fishing
94c4ef07e7db411fb9441bb6dfc85ec0_0,03a-02,ICE Data,,"A statewide map that highlight the relative condition of roadway segments including information based not only on the composite Infrastructure Condition Evaluation (ICE) rating, but also each of the seven criteria: PCI, SIA Sufficiency Rating, IRI, Combination Truck AADT, Single Unit Truck AADT, Passenger AADT, and Congestion (V/C). For more information visit: https://www.iowadot.gov/systems_planning/pr_guide/InterstateCorridorPlan.pdf.",Geospatial data,,Shapefile,Dataset|Service,Vector,2020-04-30T19:42:10.000Z,,,Iowa,"-96.6326,40.3853,-90.1609,43.501",Iowa,State of Iowa,Iowa Department of Transportation,http://public-iowadot.opendata.arcgis.com/datasets/94c4ef07e7db411fb9441bb6dfc85ec0_0,"http://public-iowadot.opendata.arcgis.com/datasets/94c4ef07e7db411fb9441bb6dfc85ec0_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/ICE_Data_View/FeatureServer/0,,FeatureServer,ICE|Pavement|IRI|PCI|Infrastructure|Condition|Evaluation|AADT|Iowa DOT|Iowa Department of Transportation|Assets|Inventory
d03bde930b544d3cbb54b85cdf9c8908,11b-39151,Parcel Transfer Update 04-05-2020,,"This dataset contains parcel transfers in Stark County, Ohio between 03/26/2020 and 04/02/2020. Information about former owner and city, village, or township are also included.",error,,error,error,,2020-04-05T09:54:48.000Z,,,"Stark County, Ohio|Ohio","-81.7986,40.6023,-80.9122,41.0372",Ohio State,"Stark County, Ohio, Ohio",Stark County Ohio,http://opendata.starkcountyohio.gov/datasets/d03bde930b544d3cbb54b85cdf9c8908,error,,,,Stark County|Ohio|Parcel|Transfer|Open Data|ParcelUpdate|Parcel Transfer Split And Combine Stark County
614d4ba09c5b40e9a1da6d1da2f975ed_0,11b-39151,Certified Delinquent Parcels,,"This mapping service shows Stark County parcels that are certified as delinquent by the Stark County Treasurer's Office. Every year the Treasurer?s office collects 1st and 2nd half taxes typically due in February and July. Due dates vary by year. Although tax payer?s properties or parcels can be marked as delinquent for late payments, the parcel will not be marked or flagged as a certified delinquent parcel until the end of a reconciliation period which ends mid- August (August 10th). A parcel will remain as a certified delinquent parcel until the Balance is paid in full (In other words, the Balance is $0.00).",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-05-22T15:08:33.000Z,,,"Stark County, Ohio|Ohio","179.9983,-89,3.3191,89",Ohio State,"Stark County, Ohio, Ohio",Stark County Ohio,http://opendata.starkcountyohio.gov/datasets/614d4ba09c5b40e9a1da6d1da2f975ed_0,"http://opendata.starkcountyohio.gov/datasets/614d4ba09c5b40e9a1da6d1da2f975ed_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://scgisa.starkcountyohio.gov/arcgis/rest/services/Auditor/CertifiedDelinquentParcels/MapServer/0,,MapServer,SCGIS|Ohio|Certified Delinquent|Delinquent
b8df2ce24fa04a468f1341db6e4814f1,11b-39151,Historic Property Sales,,"A point depiction of property sales that occurred in Stark County, Ohio.?The Stark County Auditor's Office (SCAO) maintains records of property sales using a Computer-Assisted Mass Appraisal (CAMA) Database. Each morning, the Stark County parcel layer is converted to a point layer, which is then combined with sales records from the CAMA database in a SQL view. A new view is created every morning through a combination of python scripts and SQL stored procedures. The data always reflects the most-recent information available from the previous day for both sources. For property sales from this decade only, or for sales depicted as parcel polygons, see?Property Sales (2010-present).",Flagged,,ArcGIS Hub Dataset|Esri Rest API,,,2019-05-24T12:06:37.000Z,,,"Stark County, Ohio|Ohio","-180,-68.923,180,89",Ohio State,"Stark County, Ohio, Ohio",Stark County Ohio,http://opendata.starkcountyohio.gov/datasets/b8df2ce24fa04a468f1341db6e4814f1,,https://starkgisportal.starkcountyohio.gov/server/rest/services/Auditor/PropertySales/MapServer,,MapServer,Stark County|Ohio|SCGIS|Property|Parcels|Land|Land Records
7382c7e958014971bc93148a1335596e,11b-39151,Parcel Transfer Update 04-19-2020,,"This dataset contains parcel transfers in Stark County, Ohio between 04/09/2020 and 04/16/2020. Information about former owner and city, village, or township are also included.",error,,error,error,,2020-04-19T09:40:40.000Z,,,"Stark County, Ohio|Ohio","-81.7986,40.6023,-80.9122,41.0372",Ohio State,"Stark County, Ohio, Ohio",Stark County Ohio,http://opendata.starkcountyohio.gov/datasets/7382c7e958014971bc93148a1335596e,error,,,,Stark County|Ohio|Parcel|Transfer|Open Data|ParcelUpdate|Parcel Transfer Split And Combine Stark County
