Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,Map Server,Feature Server,Image Server,Identifier,Slug,Provenance,Code,Is Part Of,Status,Accural Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
,Education Facility,Geographic extent of a school districts and educational facilities.,English,Wilkin County,"Wilkin County, Minnesota",Geospatial data,,School Locator|Schools|School Districts|Educational Facilities|Education,2020-06-09T16:44:49.000Z,,,,"Wilkin County, Minnesota|Minnesota","-96.5893,46.0956,-96.2833,46.4761",Dataset|Service,Vector,Shapefile,http://share-wilkinco.opendata.arcgis.com/datasets/1ac7428797284708a687efd068aa087b_0,"http://share-wilkinco.opendata.arcgis.com/datasets/1ac7428797284708a687efd068aa087b_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://gisweb.co.wilkin.mn.us/arcgis/rest/services/Administrative/SchoolDistricts/FeatureServer/0,,1ac7428797284708a687efd068aa087b_0,,Minnesota,05b-27167,05b-27167,active,ArcGIS Hub,,Public,,FALSE,
,School District,Geographic extent of a school districts and educational facilities.,English,Wilkin County,"Wilkin County, Minnesota",Geospatial data,,School Locator|Schools|School Districts|Educational Facilities|Education,2020-06-09T16:44:49.000Z,,,,"Wilkin County, Minnesota|Minnesota","-96.7984,46.0213,-96.2628,46.631",Dataset|Service,Vector,Shapefile,http://share-wilkinco.opendata.arcgis.com/datasets/1ac7428797284708a687efd068aa087b_1,"http://share-wilkinco.opendata.arcgis.com/datasets/1ac7428797284708a687efd068aa087b_1.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://gisweb.co.wilkin.mn.us/arcgis/rest/services/Administrative/SchoolDistricts/FeatureServer/1,,1ac7428797284708a687efd068aa087b_1,,Minnesota,05b-27167,05b-27167,active,ArcGIS Hub,,Public,,FALSE,
,School Districts,Geographic extent of a school districts and educational facilities.,English,Wilkin County,"Wilkin County, Minnesota",,,School Locator|Schools|School Districts|Educational Facilities|Education,2020-06-09T16:44:49.000Z,,,,"Wilkin County, Minnesota|Minnesota","-97.2306,45.918,-95.8306,46.7329",,,,http://share-wilkinco.opendata.arcgis.com/datasets/1ac7428797284708a687efd068aa087b,,,https://gisweb.co.wilkin.mn.us/arcgis/rest/services/Administrative/SchoolDistricts/FeatureServer,,1ac7428797284708a687efd068aa087b,,Minnesota,05b-27167,05b-27167,active,ArcGIS Hub,,Public,,FALSE,
,Voting Locations,Generally the smallest level of geography established for purposes of conducting elections along with polling places.,English,Wilkin County,"Wilkin County, Minnesota",Geospatial data,,Voting Districts|Voting|Districts|Election|Administrative Area|Precincts|Polling Places,2020-06-15T20:27:01.000Z,,,,"Wilkin County, Minnesota|Minnesota","-96.5927,46.2603,-96.3416,46.5577",Dataset|Service,Vector,Shapefile,http://share-wilkinco.opendata.arcgis.com/datasets/516a56d3cefc45c09f8a001fd0d4b786_0,"http://share-wilkinco.opendata.arcgis.com/datasets/516a56d3cefc45c09f8a001fd0d4b786_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://gisweb.co.wilkin.mn.us/arcgis/rest/services/ElectionsAdministration/VotingDistricts/FeatureServer/0,,516a56d3cefc45c09f8a001fd0d4b786_0,,Minnesota,05b-27167,05b-27167,active,ArcGIS Hub,,Public,,FALSE,
,Voting Districts,Generally the smallest level of geography established for purposes of conducting elections along with polling places.,English,Wilkin County,"Wilkin County, Minnesota",Geospatial data,,Voting Districts|Voting|Districts|Election|Administrative Area|Precincts|Polling Places,2020-06-15T20:27:01.000Z,,,,"Wilkin County, Minnesota|Minnesota","-96.7985,46.0213,-96.2627,46.65",Dataset|Service,Vector,Shapefile,http://share-wilkinco.opendata.arcgis.com/datasets/516a56d3cefc45c09f8a001fd0d4b786_1,"http://share-wilkinco.opendata.arcgis.com/datasets/516a56d3cefc45c09f8a001fd0d4b786_1.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://gisweb.co.wilkin.mn.us/arcgis/rest/services/ElectionsAdministration/VotingDistricts/FeatureServer/1,,516a56d3cefc45c09f8a001fd0d4b786_1,,Minnesota,05b-27167,05b-27167,active,ArcGIS Hub,,Public,,FALSE,
,Electoral Districts,The geographic extent of a territorial subdivision for electing members to a legislative body.,English,Wilkin County,"Wilkin County, Minnesota",Geospatial data,,Electoral Districts|Voting|Districts|Election|Administrative Area|Representative|Representatives|Elections,2020-06-09T22:45:54.000Z,,,,"Wilkin County, Minnesota|Minnesota","-97.2452,43.3171,-89.3279,49.3919",Dataset|Service,Vector,Shapefile,http://share-wilkinco.opendata.arcgis.com/datasets/f0d3a829da6a43f9acd70c53f0f8d721_0,"http://share-wilkinco.opendata.arcgis.com/datasets/f0d3a829da6a43f9acd70c53f0f8d721_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://gisweb.co.wilkin.mn.us/arcgis/rest/services/ElectionsAdministration/ElectoralDistricts/FeatureServer/0,,f0d3a829da6a43f9acd70c53f0f8d721_0,,Minnesota,05b-27167,05b-27167,active,ArcGIS Hub,,Public,,FALSE,
,Representatives,The geographic extent of a territorial subdivision for electing members to a legislative body.,English,Wilkin County,"Wilkin County, Minnesota",,,Electoral Districts|Voting|Districts|Election|Administrative Area|Representative|Representatives|Elections,2020-06-09T22:45:54.000Z,,,,"Wilkin County, Minnesota|Minnesota","-97.2437,45.9169,-95.8176,46.753",,,,http://share-wilkinco.opendata.arcgis.com/datasets/f0d3a829da6a43f9acd70c53f0f8d721_1,,,https://gisweb.co.wilkin.mn.us/arcgis/rest/services/ElectionsAdministration/ElectoralDistricts/FeatureServer/1,,f0d3a829da6a43f9acd70c53f0f8d721_1,,Minnesota,05b-27167,05b-27167,active,ArcGIS Hub,,Public,,FALSE,
,Voting Districts,Generally the smallest level of geography established for purposes of conducting elections along with polling places.,English,Wilkin County,"Wilkin County, Minnesota",,,Voting Districts|Voting|Districts|Election|Administrative Area|Precincts|Polling Places,2020-06-15T20:27:01.000Z,,,,"Wilkin County, Minnesota|Minnesota","-97.2437,45.9169,-95.8176,46.753",,,,http://share-wilkinco.opendata.arcgis.com/datasets/516a56d3cefc45c09f8a001fd0d4b786,,,https://gisweb.co.wilkin.mn.us/arcgis/rest/services/ElectionsAdministration/VotingDistricts/FeatureServer,,516a56d3cefc45c09f8a001fd0d4b786,,Minnesota,05b-27167,05b-27167,active,ArcGIS Hub,,Public,,FALSE,
,Electoral Districts,The geographic extent of a territorial subdivision for electing members to a legislative body.,English,Wilkin County,"Wilkin County, Minnesota",,,Electoral Districts|Voting|Districts|Election|Administrative Area|Representative|Representatives|Elections,2020-06-09T22:45:54.000Z,,,,"Wilkin County, Minnesota|Minnesota","-97.2437,45.9169,-95.8176,46.753",,,,http://share-wilkinco.opendata.arcgis.com/datasets/f0d3a829da6a43f9acd70c53f0f8d721,,,https://gisweb.co.wilkin.mn.us/arcgis/rest/services/ElectionsAdministration/ElectoralDistricts/FeatureServer,,f0d3a829da6a43f9acd70c53f0f8d721,,Minnesota,05b-27167,05b-27167,active,ArcGIS Hub,,Public,,FALSE,
,Land Joins,,English,"York County, Pennsylvania","York County, Pennsylvania",Geospatial data,,Open Data|Boundary,2020-06-18T17:25:01.000Z,,,,"York County, Pennsylvania|Pennsylvania","-77.1235,39.7219,-76.2463,40.2189",Dataset|Service,Vector,Shapefile,http://data-yorkcountypa.opendata.arcgis.com/datasets/f5e545d1808e41bc9a350118bf6f86a9_0,"http://data-yorkcountypa.opendata.arcgis.com/datasets/f5e545d1808e41bc9a350118bf6f86a9_0.zip?outSR={""latestWkid"":2272,""wkid"":102729}",,https://arcweb.ycpc.org/arcgis/rest/services/OPEN_DATA/Land_Joins/FeatureServer/0,,f5e545d1808e41bc9a350118bf6f86a9_0,,Penn State,08b-42133,08b-42133,active,ArcGIS Hub,,Public,,FALSE,
