Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,Identifier,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
,MUPC Shipwreck Locations 2020,"This is part of the Michigan Shipwrecks Location web map.To view the story map,click here.For more information about Michigan shipwrecks, visit the Michigan History Center's website byclicking here.",English,Michigan Department of Natural Resources,State of Michigan,Geospatial data,,shipwrecks|Michigan|DNR|EGLE|MHC|GreatLakes,2020-01-22T13:34:39.000Z,,,,Michigan,"-89.5482,42.1955,-82.3049,48.2001",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/9544348973ac4d9e9a77007bca8a706e_0,https://gis-michigan.opendata.arcgis.com/datasets/9544348973ac4d9e9a77007bca8a706e_0.zip,,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/MUPC_Shipwreck_Locations_2020/FeatureServer/0,,9544348973ac4d9e9a77007bca8a706e_0,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Water Wells - Upper Peninsula,"NOTE:This data download does not contain the associated lithology files. To download this data by county with lithology file.CLICK HERE.The data in these six files is derived from Wellogic, the EGLE statewide ground water database. The six files combined contain information on over 575,000 spatially verified water well records. The six files are intended to provide water well information for wells in counties clustered by geographic region: Upper Peninsula, Northern Lower Peninsula, East Central Lower Peninsula, West Central Lower Peninsula, Southwest Lower Peninsula and the South Central - Southeastern Lower Peninsula. The files are constructed to be easily merged, containing the same number and type of attribute fields.Although the derived data in these files represents the best readily available data, the six files do not represent a complete database of all wells or well records in existence. Until January 1, 2000 not all water well records for new wells in Michigan were entered into Wellogic. For wells drilled before 2000 the rate of inclusion is highly variable from one county to another. Further, there is a quality control check on location that may exclude a limited number of wells from Wellogic from the six files made available on this site.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|GroundWater|PublicHealth|EGLE,2020-07-31T12:54:49.000Z,,,,Michigan,"-168.1259,69.574,171.2098,76.1171",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/5863868a720b40eab4c0f730e6e4998f_4,https://gis-michigan.opendata.arcgis.com/datasets/5863868a720b40eab4c0f730e6e4998f_4.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/4,,,5863868a720b40eab4c0f730e6e4998f_4,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Oil & Gas Test Well Directional Lines,"S Directional Line - A line connecting the surface location (wellhead) to the bottom hole location of a directionally drilled oil & gas test well. The actual path from the surface location to the bottom hole location is not displayed. D Directional Line - A line connecting the surface location (wellhead) to the bottom hole location of a directionally drilled oil & gas test well. A The actual path from the surface location to the bottom hole location is not displayed. A directional line is only created for directionally drilled oil & gas test wells. They are not created for straight wells (vertically) wells since the surface and bottom hole locations are the same for these wells. These are extracted from the Michigan EGLE Oil, Gas & Minerals RBDMS database on a nightly basis.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|EGLE|DirectionalWells|Wells|OilandGas,2020-07-30T20:30:45.000Z,,,,Michigan,"-168.21,69.7646,172.0402,76.1503",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/c52cf9c120ba479db87afd1533d5fb67_4,https://gis-michigan.opendata.arcgis.com/datasets/c52cf9c120ba479db87afd1533d5fb67_4.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/geology/MapServer/4,,,c52cf9c120ba479db87afd1533d5fb67_4,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Base Flow of Michigan Streams,"This data set provides estimates of the groundwater contribution to stream flow, frequently referred to as base flow, in cubic feet per second. The baseflow of a stream or river is the amount of groundwater discharged from an aquifer to the watercourse. This discharge occurs year-round, and fluctuates seasonally depending on the level of the water in the aquifer. Baseflow is supplemented by direct runoff during and immediately after precipitation or melt events, resulting in peaks on a hydrograph showing stream flow through time. The process of dividing these peaks into base flow and runoff is called hydrograph separation. Hydrograph separations were completed for all USGS stream-flow gauging stations in Michigan that had more than 10 years of daily records. Sites that were clearly affected by upstream impoundments (lakes, dams) were excluded. No attempt was made to detect or correct for trends in the data. This may lead to some errors in the comparison of streams with data from different time periods if there is an underlying temporal trend in the data, but inclusion of all records in the analysis was necessary to increase the data pool and provide better spatial coverage. Watersheds were delineated for each of the 208 stream-flow gauging stations, and various characteristics of each watershed, such as topographic relief, surficial geology, land cover, growing degree days, annual and winter-season precipitation, and others were tabulated. Regression modeling, described in the Technical Report, was used to estimate the baseflow for each steam segment of the 1:100,000-scale National Hydrography Dataset.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|Groundwater,2020-07-31T12:03:48.000Z,,,,Michigan,"-167.0934,69.4683,173.9906,76.1809",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/404e8b090ce64ac1a41ea481d0745af2_3,https://gis-michigan.opendata.arcgis.com/datasets/404e8b090ce64ac1a41ea481d0745af2_3.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/3,,,404e8b090ce64ac1a41ea481d0745af2_3,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,National Wetlands Inventory,"This data set represents the extent, approximate location and type of wetlands and deepwater habitats in the conterminous United States. These data delineate the areal extent of wetlands and surface waters as defined by Cowardin et al. (1979). Certain wetland habitats are excluded from the National mapping program because of the limitations of aerial imagery as the primary data source used to detect wetlands. These habitats include seagrasses or submerged aquatic vegetation that are found in the intertidal and subtidal zones of estuaries and near shore coastal waters. Some deepwater reef communities (coral or tuberficid worm reefs) have also been excluded from the inventory. These habitats, because of their depth, go undetected by aerial imagery. By policy, the Service also excludes certain types of ""farmed wetlands"" as may be defined by the Food Security Act or that do not coincide with the Cowardin et al. definition. Contact the Service's Regional Wetland Coordinator for additional information on what types of farmed wetlands are included on wetland maps.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|NWI|EGLE|Wetlands,2020-07-31T12:20:59.000Z,,,,Michigan,"-166.7912,68.3819,169.7712,78.1839",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/a5ee8425ce95450f82affa20d1b56024_18,https://gis-michigan.opendata.arcgis.com/datasets/a5ee8425ce95450f82affa20d1b56024_18.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/18,,,a5ee8425ce95450f82affa20d1b56024_18,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Michigan State Park Boundaries,Michigan State Park Boundaries are managed by the Parks & Rec. Division within the DNR.,English,Michigan Department of Natural Resources,State of Michigan,Geospatial data,,dnr|park|Recreation|Ownership|boundaries|Michigan|state,2015-05-13T11:55:42.000Z,,,,Michigan,"-168.1343,70.1492,174.2743,76.0567",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/7bfdeaa5811c44a6b2fa9a0e7166af65_5,https://gis-michigan.opendata.arcgis.com/datasets/7bfdeaa5811c44a6b2fa9a0e7166af65_5.zip,,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/dnrParksAndRecreation/FeatureServer/5,,7bfdeaa5811c44a6b2fa9a0e7166af65_5,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Water Wells - West Central Lower Peninsula,"NOTE:This data download does not contain the associated lithology files. To download this data by county with lithology file.CLICK HERE.The data in these six files is derived from Wellogic, the EGLE statewide ground water database. The six files combined contain information on over 575,000 spatially verified water well records. The six files are intended to provide water well information for wells in counties clustered by geographic region: Upper Peninsula, Northern Lower Peninsula, East Central Lower Peninsula, West Central Lower Peninsula, Southwest Lower Peninsula and the South Central - Southeastern Lower Peninsula. The files are constructed to be easily merged, containing the same number and type of attribute fields.Although the derived data in these files represents the best readily available data, the six files do not represent a complete database of all wells or well records in existence. Until January 1, 2000 not all water well records for new wells in Michigan were entered into Wellogic. For wells drilled before 2000 the rate of inclusion is highly variable from one county to another. Further, there is a quality control check on location that may exclude a limited number of wells from Wellogic from the six files made available on this site.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|Groundwater|Wells|Monitoring,2020-07-31T13:04:50.000Z,,,,Michigan,"-168.1259,69.574,171.2098,76.1171",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/73ae40ec4db149a3b94bb6702a761de2_6,https://gis-michigan.opendata.arcgis.com/datasets/73ae40ec4db149a3b94bb6702a761de2_6.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/6,,,73ae40ec4db149a3b94bb6702a761de2_6,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Water Wells - Southwest Michigan,"NOTE:This data download does not contain the associated lithology files. To download this data by county with lithology file.CLICK HERE.The data in these six files is derived from Wellogic, the EGLE statewide ground water database. The six files combined contain information on over 575,000 spatially verified water well records. The six files are intended to provide water well information for wells in counties clustered by geographic region: Upper Peninsula, Northern Lower Peninsula, East Central Lower Peninsula, West Central Lower Peninsula, Southwest Lower Peninsula and the South Central - Southeastern Lower Peninsula. The files are constructed to be easily merged, containing the same number and type of attribute fields.Although the derived data in these files represents the best readily available data, the six files do not represent a complete database of all wells or well records in existence. Until January 1, 2000 not all water well records for new wells in Michigan were entered into Wellogic. For wells drilled before 2000 the rate of inclusion is highly variable from one county to another. Further, there is a quality control check on location that may exclude a limited number of wells from Wellogic from the six files made available on this site.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|Groundwater|Wells|Monitoring,2020-07-31T13:13:03.000Z,,,,Michigan,"-168.1259,69.574,171.2098,76.1171",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/252e4674a3a846e9b140accf0cfed47a_7,https://gis-michigan.opendata.arcgis.com/datasets/252e4674a3a846e9b140accf0cfed47a_7.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/7,,,252e4674a3a846e9b140accf0cfed47a_7,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Water Wells - South Central & Southeastern Michigan,"NOTE:This data download does not contain the associated lithology files. To download this data by county with lithology file.CLICK HERE.The data in these six files is derived from Wellogic, the EGLE statewide ground water database. The six files combined contain information on over 575,000 spatially verified water well records. The six files are intended to provide water well information for wells in counties clustered by geographic region: Upper Peninsula, Northern Lower Peninsula, East Central Lower Peninsula, West Central Lower Peninsula, Southwest Lower Peninsula and the South Central - Southeastern Lower Peninsula. The files are constructed to be easily merged, containing the same number and type of attribute fields.Although the derived data in these files represents the best readily available data, the six files do not represent a complete database of all wells or well records in existence. Until January 1, 2000 not all water well records for new wells in Michigan were entered into Wellogic. For wells drilled before 2000 the rate of inclusion is highly variable from one county to another. Further, there is a quality control check on location that may exclude a limited number of wells from Wellogic from the six files made available on this site.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|PublicHealth|EGLE|Groundwater|Wells|Monitoring,2020-07-31T13:22:42.000Z,,,,Michigan,"-168.1259,69.574,171.2098,76.1171",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/9511dc7592fa49ea97e474e3f5992f46_9,https://gis-michigan.opendata.arcgis.com/datasets/9511dc7592fa49ea97e474e3f5992f46_9.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/9,,,9511dc7592fa49ea97e474e3f5992f46_9,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Water Wells - Northern Lower Peninsula,"NOTE:This data download does not contain the associated lithology files. To download this data by county with lithology file.CLICK HERE.The data in these six files is derived from Wellogic, the EGLE statewide ground water database. The six files combined contain information on over 575,000 spatially verified water well records. The six files are intended to provide water well information for wells in counties clustered by geographic region: Upper Peninsula, Northern Lower Peninsula, East Central Lower Peninsula, West Central Lower Peninsula, Southwest Lower Peninsula and the South Central - Southeastern Lower Peninsula. The files are constructed to be easily merged, containing the same number and type of attribute fields.Although the derived data in these files represents the best readily available data, the six files do not represent a complete database of all wells or well records in existence. Until January 1, 2000 not all water well records for new wells in Michigan were entered into Wellogic. For wells drilled before 2000 the rate of inclusion is highly variable from one county to another. Further, there is a quality control check on location that may exclude a limited number of wells from Wellogic from the six files made available on this site.",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Geospatial data,,Michigan|Hydrology|EGLE|PublicHealth|Groundwater|Wells|Monitoring,2020-07-31T13:02:13.000Z,,,,Michigan,"-168.1259,69.574,171.2098,76.1171",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/5b4903fab9f64a6eb62ff716ef674b93_5,https://gis-michigan.opendata.arcgis.com/datasets/5b4903fab9f64a6eb62ff716ef674b93_5.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/5,,,5b4903fab9f64a6eb62ff716ef674b93_5,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
