Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record,File Size
,Neighborhoods,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_80,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_80.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/80,,,322ee79b35f748869974ec661bd04bbc_80,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_80,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.3487 MB
,Neighborhoods,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_100,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_100.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/100,,,322ee79b35f748869974ec661bd04bbc_100,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_100,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.3488 MB
,Excluded Cities,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_43,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_43.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/43,,,322ee79b35f748869974ec661bd04bbc_43,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_43,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.01 MB
,Excluded Cities,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_82,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_82.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/82,,,322ee79b35f748869974ec661bd04bbc_82,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_82,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.01 MB
,Excluded Cities,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_122,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_122.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/122,,,322ee79b35f748869974ec661bd04bbc_122,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_122,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.01 MB
,Excluded Cities,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_162,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_162.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/162,,,322ee79b35f748869974ec661bd04bbc_162,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_162,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.01 MB
,Excluded Cities,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_62,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_62.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/62,,,322ee79b35f748869974ec661bd04bbc_62,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_62,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.01 MB
,Neighborhoods,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_120,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_120.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/120,,,322ee79b35f748869974ec661bd04bbc_120,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_120,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.3487 MB
,Neighborhoods,"City of Indianapolis & Marion County, IN Base Map for the Indy ArcGIS Portal. Compatible w/ ESRI's 'Streets' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IndyBasemaps,2019-07-23T15:13:08.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_117,https://data.indy.gov/datasets/64bde546dab34e84bfa5757ae17f08d3_117.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Streets/MapServer/117,,,64bde546dab34e84bfa5757ae17f08d3_117,https://hub.arcgis.com/datasets/64bde546dab34e84bfa5757ae17f08d3_117,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.3487 MB
,Excluded Cities,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_24,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_24.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_Topographic/MapServer/24,,,322ee79b35f748869974ec661bd04bbc_24,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_24,OpenIndy Data Portal,01c-02,a-b-c-local-government-open-data,01c-02,Active,ArcGIS Hub,2021-12-31,,Public,False,False,0.01 MB
