portalName,total,new_items,deleted_items
01b-18163,56,0,0
01c-02,896,42,315
02b-17113,20,0,0
03a-02,1032,1,2
03a-04,219,8,0
03b-19113,132,71,25
04a-01,1448,19,9
04b-24005,171,14,0
04b-24013,31,0,0
04b-24021,110,1,0
04b-24025,91,0,0
04c-01,1504,34,3
04c-02,624,17,0
04f-01,100,7,0
05b-27011,4,0,0
05b-27017,0,0,0
05b-27019,79,0,0
05b-27027,19,0,0
05b-27053,44,0,2
05b-27057,0,0,0
05b-27119,81,0,0
05b-27121,44,0,0
05b-27123,31,1,0
05b-27137,8,0,0
05b-27139,61,0,0
05b-27167,51,0,0
05c-01,179,2,1
06a-01,376,22,9
06b-26125,323,0,0
06f-01,39,3,7
07b-26161,12,0,0
07c-01,153,16,10
07d-02,63,0,0
08b-42003,59,1,0
08b-42027,83,1,1
08b-42029,49,1,0
08b-42039,164,1,4
08b-42043,28,0,0
08b-42091,81,3,0
08b-42133,55,0,0
08c-02,329,21,0
09c-01,93,1,0
10b-55003,10,0,0
10b-55021,81,0,0
10b-55025,58,0,0
10b-55025-01,50,0,0
10b-55035-01,39,0,0
10b-55079,68,0,1
10b-55087,91,0,0
10b-55093,5,0,0
10b-55101,107,0,0
10b-55109,6,0,0
10b-55111,79,0,0
10b-55125-01,33,0,0
10b-55133,178,7,3
10b-55135,61,0,0
10b-55137,12,0,0
10b-55141,16,0,0
10c-03,158,0,0
10c-04,23,1,3
11a-01,1012,18,15
11b-39009,16,0,0
11b-39035,31,0,0
11b-39049,47,3,2
11b-39093,222,12,0
11b-39151,92,8,1
11b-39153,15,0,0
12b-17031,220,22,0
12b-17043,86,2,0
12b-17097,1343,0,0
12b-17143,124,1,0
12d-03,34,0,0
13a-01,122,6,17
99-1000,629,2,0
99-1100,347,51,0
