identifier,landingPage,portalName
g4zq-c5wd,https://opendata.howardcountymd.gov/api/views/g4zq-c5wd,04b-24027
m783-dbwv,https://opendata.howardcountymd.gov/api/views/m783-dbwv,04b-24027
xrnm-k4i4,https://opendata.howardcountymd.gov/api/views/xrnm-k4i4,04b-24027
d6ei-ugcu,https://opendata.howardcountymd.gov/api/views/d6ei-ugcu,04b-24027
tcud-bnv7,https://opendata.howardcountymd.gov/api/views/tcud-bnv7,04b-24027
h495-z3wg,https://opendata.howardcountymd.gov/api/views/h495-z3wg,04b-24027
9ibe-idqh,https://opendata.howardcountymd.gov/api/views/9ibe-idqh,04b-24027
cpv4-635x,https://opendata.howardcountymd.gov/api/views/cpv4-635x,04b-24027
6cwj-cgj9,https://opendata.howardcountymd.gov/api/views/6cwj-cgj9,04b-24027
exap-rbw9,https://opendata.howardcountymd.gov/api/views/exap-rbw9,04b-24027
wm8q-if4g,https://opendata.howardcountymd.gov/api/views/wm8q-if4g,04b-24027
74sv-djgk,https://data.princegeorgescountymd.gov/api/views/74sv-djgk,04b-24033
tkew-jm95,https://information.stpaul.gov/api/views/tkew-jm95,05c-02
icay-6nu3,https://data.detroitmi.gov/api/views/icay-6nu3,07c-01
3q8r-442g,https://data.detroitmi.gov/api/views/3q8r-442g,07c-01
p788-ev2h,https://data.detroitmi.gov/api/views/p788-ev2h,07c-01
3qbb-7tqs,https://data.detroitmi.gov/api/views/3qbb-7tqs,07c-01
ku5j-w3uv,https://data.detroitmi.gov/api/views/ku5j-w3uv,07c-01
pugj-2dh4,https://data.detroitmi.gov/api/views/pugj-2dh4,07c-01
62rv-kyp9,https://data.detroitmi.gov/api/views/62rv-kyp9,07c-01
euq3-e6js,https://data.detroitmi.gov/api/views/euq3-e6js,07c-01
8hr2-enc6,https://data.detroitmi.gov/api/views/8hr2-enc6,07c-01
w8fy-xrw2,https://data.detroitmi.gov/api/views/w8fy-xrw2,07c-01
ymi9-g32a,https://data.detroitmi.gov/api/views/ymi9-g32a,07c-01
nzay-ynqd,https://data.detroitmi.gov/api/views/nzay-ynqd,07c-01
8mnz-dib9,https://data.detroitmi.gov/api/views/8mnz-dib9,07c-01
mbx2-k8cj,https://data.detroitmi.gov/api/views/mbx2-k8cj,07c-01
9agj-8x7q,https://data.detroitmi.gov/api/views/9agj-8x7q,07c-01
umm2-r2q7,https://data.detroitmi.gov/api/views/umm2-r2q7,07c-01
a5w2-tcit,https://data.detroitmi.gov/api/views/a5w2-tcit,07c-01
6c29-6iww,https://data.detroitmi.gov/api/views/6c29-6iww,07c-01
43qn-pekn,https://data.detroitmi.gov/api/views/43qn-pekn,07c-01
n87c-izxy,https://data.detroitmi.gov/api/views/n87c-izxy,07c-01
qxwb-4rfy,https://data.detroitmi.gov/api/views/qxwb-4rfy,07c-01
dxgi-9s8s,https://data.detroitmi.gov/api/views/dxgi-9s8s,07c-01
s6zr-xnsv,https://data.detroitmi.gov/api/views/s6zr-xnsv,07c-01
9fph-m2jv,https://data.detroitmi.gov/api/views/9fph-m2jv,07c-01
stip-5mg2,https://data.detroitmi.gov/api/views/stip-5mg2,07c-01
y5si-xqk7,https://data.detroitmi.gov/api/views/y5si-xqk7,07c-01
nzd8-nn5w,https://data.detroitmi.gov/api/views/nzd8-nn5w,07c-01
x6ig-wfg4,https://data.detroitmi.gov/api/views/x6ig-wfg4,07c-01
7rr3-avkc,https://data.detroitmi.gov/api/views/7rr3-avkc,07c-01
ipa4-scig,https://data.detroitmi.gov/api/views/ipa4-scig,07c-01
xbvp-4is5,https://data.detroitmi.gov/api/views/xbvp-4is5,07c-01
6gdg-y3kf,https://data.detroitmi.gov/api/views/6gdg-y3kf,07c-01
jfu2-2cpi,https://data.detroitmi.gov/api/views/jfu2-2cpi,07c-01
ruqh-3htk,https://data.detroitmi.gov/api/views/ruqh-3htk,07c-01
y2eq-n4p8,https://data.detroitmi.gov/api/views/y2eq-n4p8,07c-01
9zkf-xhz4,https://data.detroitmi.gov/api/views/9zkf-xhz4,07c-01
4bda-mhjb,https://data.detroitmi.gov/api/views/4bda-mhjb,07c-01
fsbf-9tct,https://data.detroitmi.gov/api/views/fsbf-9tct,07c-01
rv44-e9di,https://data.detroitmi.gov/api/views/rv44-e9di,07c-01
qw3n-zsbc,https://data.detroitmi.gov/api/views/qw3n-zsbc,07c-01
pnwk-yivg,https://data.detroitmi.gov/api/views/pnwk-yivg,07c-01
89q2-aduf,https://data.detroitmi.gov/api/views/89q2-aduf,07c-01
x6ys-22yr,https://data.detroitmi.gov/api/views/x6ys-22yr,07c-01
6kry-5abc,https://data.detroitmi.gov/api/views/6kry-5abc,07c-01
2w3q-tkpb,https://data.detroitmi.gov/api/views/2w3q-tkpb,07c-01
kpnp-cx36,https://data.detroitmi.gov/api/views/kpnp-cx36,07c-01
4vse-9zps,https://data.detroitmi.gov/api/views/4vse-9zps,07c-01
vrh6-6pvj,https://data.detroitmi.gov/api/views/vrh6-6pvj,07c-01
d5it-8a2d,https://data.detroitmi.gov/api/views/d5it-8a2d,07c-01
kjmy-b9g3,https://data.detroitmi.gov/api/views/kjmy-b9g3,07c-01
dyp9-69zf,https://data.detroitmi.gov/api/views/dyp9-69zf,07c-01
7pin-r23u,https://data.detroitmi.gov/api/views/7pin-r23u,07c-01
a67n-umps,https://data.detroitmi.gov/api/views/a67n-umps,07c-01
gr7r-43jt,https://data.detroitmi.gov/api/views/gr7r-43jt,07c-01
5aqz-4s3x,https://data.detroitmi.gov/api/views/5aqz-4s3x,07c-01
xua9-f5af,https://data.detroitmi.gov/api/views/xua9-f5af,07c-01
tsqq-qtet,https://data.detroitmi.gov/api/views/tsqq-qtet,07c-01
ihzk-zk25,https://data.detroitmi.gov/api/views/ihzk-zk25,07c-01
jw8v-3bxg,https://data.detroitmi.gov/api/views/jw8v-3bxg,07c-01
sae4-fmvc,https://data.detroitmi.gov/api/views/sae4-fmvc,07c-01
59yj-yda3,https://data.detroitmi.gov/api/views/59yj-yda3,07c-01
8vfc-77i7,https://data.detroitmi.gov/api/views/8vfc-77i7,07c-01
