Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record
,ACH Vendor Payments for 04-22-2022,ACH Vendor Payments for 04-22-2022,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,4/28/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/26au-w5gc,,26au-w5gc,Maryland,04b-24027,04b-24027_1,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH Vendor Payments for 08-13-2021,ACH Vendor Payments for 08-13-2021,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,8/12/21,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/2bg8-39b2,,2bg8-39b2,Maryland,04b-24027,04b-24027_2,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Wilde Lake Middle - Howard County Times article 2013,"Howard County Times article titled Wilde Lake community: Renovate middle school. October 3, 2013",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/13/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/2hxj-2f8h,,2hxj-2f8h,Maryland,04b-24027,04b-24027_3,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Mount Hebron Info,Information on Mount Hebron,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/2mzq-49ay,,2mzq-49ay,Maryland,04b-24027,04b-24027_4,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH VENDOR PAYMENTS FOR 09-23-2022,ACH VENDOR PAYMENTS FOR 09-23-2022,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/22/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/2vmr-eqy6,,2vmr-eqy6,Maryland,04b-24027,04b-24027_5,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Warfield Accepts Nomination - 10/02/1903,Scanned article from The Aegis & Intelligencer newspaper,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,10/4/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/2yth-vvki,,2yth-vvki,Maryland,04b-24027,04b-24027_6,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Marriotts Ridge High School - Aerial Photo Map,Aerial photo map of Marriotts Ridge High School,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/3fcc-rsq7,,3fcc-rsq7,Maryland,04b-24027,04b-24027_7,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH VENDOR PAYMENTS FOR 01-14-2022,ACH VENDOR PAYMENTS FOR 01-14-2022,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,1/13/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/3hnr-6h4y,,3hnr-6h4y,Maryland,04b-24027,04b-24027_8,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,1860 NY census,"Scanned copy of NY census from June 15, 1860.",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,10/4/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/3ivi-psn4,,3ivi-psn4,Maryland,04b-24027,04b-24027_9,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH Vendor Payments for 12-30-2021,ACH Vendor Payments for 12-30-2021,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,12/29/21,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/3rit-9rmt,,3rit-9rmt,Maryland,04b-24027,04b-24027_10,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Board of Education - Minutes - Waterloo Elementary 1963 part 3,"Board of Education meeting minutes related to construction bids for Waterloo Elementary. April 2, 1963",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/13/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/3ua9-dt6i,,3ua9-dt6i,Maryland,04b-24027,04b-24027_11,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH VENDOR PAYMENTS FOR 12-23-2021,ACH VENDOR PAYMENTS FOR 12-23-2021,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,12/22/21,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/42hq-29kh,,42hq-29kh,Maryland,04b-24027,04b-24027_12,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Stevens Forest Land Patent 3,Stevens Forest Land Patent 3,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/13/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/43dq-hj9f,,43dq-hj9f,Maryland,04b-24027,04b-24027_13,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Stevens Forest Land Patent 1,Stevens Forest Land Patent 1,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/13/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/4adu-q9mu,,4adu-q9mu,Maryland,04b-24027,04b-24027_14,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Pointer Dog Breed Example,Screenshot example of a pointer Dog Breed.,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/12/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/4cah-2md5,,4cah-2md5,Maryland,04b-24027,04b-24027_15,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH VENDOR PAYMENTS FOR 09-30-2022,ACH VENDOR PAYMENTS FOR 09-30-2022,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/29/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/4gqt-mh7u,,4gqt-mh7u,Maryland,04b-24027,04b-24027_16,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Ligon - US Census (Slave Schedule) - 1860,"Scan of the United State Census Slave Schedule, 1860",English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,10/4/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/4mze-rukm,,4mze-rukm,Maryland,04b-24027,04b-24027_17,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH Vendor Payments for 09-24-2021,ACH Vendor Payments for 09-24-2021,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/23/21,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/4tss-huyr,,4tss-huyr,Maryland,04b-24027,04b-24027_18,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,Waterloo Elementary - Martnetet's Map 1860,The general location of Waterloo (Waterloo Elementary) highlighted on a scanned Martenet's Map of Howard County. The location is at the intersection of US1 and Waterloo Road. 1860,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,9/13/22,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/4vdq-yfcm,,4vdq-yfcm,Maryland,04b-24027,04b-24027_19,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
,ACH Vendor Payments for 06-04-2021,ACH Vendor Payments for 06-04-2021,English,opendata.howardcountymd.gov,"Howard County, Maryland",Geospatial data,6/3/21,,,,"Howard County, Maryland, United States|Maryland, United States",Dataset|Service,Vector,Shapefile,https://opendata.howardcountymd.gov/d/4zh6-tp6v,,4zh6-tp6v,Maryland,04b-24027,04b-24027_20,Active,ArcGIS Hub,,Public,FALSE,FALSE,,,,,,
