link,Title,Description,Language,Creator,Publisher,Provider,Resource Class,Resource Type,Subject,Date Issued,Bounding Box,Spatial Coverage,Scale,Format,Documentation,Identifier,Member Of,Code,Access Rights,Status,Date Accessioned
['https://d.lib.msu.edu/maps/1/datastream/MODS/view/'],Map of Liberia,Relief shown by hachures.,eng,"Coyle, Randolph",Lith. by E. Weber & Co.,University of Michigan,Maps,Cadastral maps,Real Property|Landowners,1845,W 11°28ʹ00ʺ--W 7°22ʹ00ʺ/N 8°33ʹ00ʺ--N 4°18ʹ00ʺ,Liberia,"Scale 1:760,000",TIFF,http://catalog.lib.msu.edu/record=b12049195,https://n2t.net/ark:/85335/m5958g,06d-01,06d-01,Public,Active,2021-06-02
['https://d.lib.msu.edu/maps/2/datastream/MODS/view/'],Africa,Decorative title cartouche depicting animals.,eng,"Price, C. (Charles)",C. Price & I. Senex,University of Michigan,Maps,Cadastral maps,Real Property|Landowners,1711,W 31°17ʹ00ʺ--E 67°30ʹ00ʺ/N 38°49ʹ00ʺ--S 36°27ʹ00ʺ,Africa,"Scale 1:10,000,000",TIFF,http://catalog.lib.msu.edu/record=b12049186,https://n2t.net/ark:/85335/m55g3f,06d-01,06d-01,Public,Active,2021-06-02
['https://d.lib.msu.edu/maps/3/datastream/MODS/view/'],Carte des lacs du Canada,Relief shown pictorially and by hachures.,eng,"Bellin, Jacques Nicolas",undefined,University of Michigan,Maps,Cadastral maps,Real Property|Landowners,1744,W 92째--W 76째/N 49째--N 41째,Great Lakes (North America),"Scale approximately 1:4,000,000",TIFF,http://catalog.lib.msu.edu/record=b12049185,https://n2t.net/ark:/85335/m5200j,06d-01,06d-01,Public,Active,2021-06-02
['https://d.lib.msu.edu/maps/4/datastream/MODS/view/'],Map of the states of Ohio Indiana & Illinois and part of Michigan territory,Prime meridian: Washington D.C.,eng,"Young, J. H. (James Hamilton)",Published by A. Finley,University of Michigan,Maps,Cadastral maps,Real Property|Landowners,1925,W 92°18ʹ00ʺ--W 79°28ʹ00ʺ/N 44°10ʹ00ʺ--N 36°55ʹ00ʺ,"Northwest, Old","Scale approximately 1:2,000,000",TIFF,http://catalog.lib.msu.edu/record=b12049200,https://n2t.net/ark:/85335/m5xg4n,06d-01,06d-01,Public,Active,2021-06-02
['https://d.lib.msu.edu/maps/5/datastream/MODS/view/'],"Etats-Unis de l'Amérique Septentrionale avec les isles Royale, de Terre Neuve, de St. Jean, l'Acadie & c 1785",Printed from same plate as Delamarche imprint but with change of publisher and addition below title of: Supplément à l'atlas de M. Robert de Vaugondy.,eng,"Delamarche, Charles François",Chez Boudet imprimeur du roi,University of Michigan,Maps,Cadastral maps,Real Property|Landowners,1785,W 104°24ʹ00ʺ--W 51°30ʹ00ʺ/N 55°22ʹ00ʺ--N 24°31ʹ00ʺ,United States,"Scale 1:7,500,000",TIFF,http://catalog.lib.msu.edu/record=b12049183,https://n2t.net/ark:/85335/m5sw1d,06d-01,06d-01,Public,Active,2021-06-02
['https://d.lib.msu.edu/maps/6/datastream/MODS/view/'],"Le Canada, ou Nouvelle France, &c",Relief shown pictorially.,eng,"Sanson, Nicolas",Chez Pierre Mariette,University of Michigan,Maps,Cadastral maps,Real Property|Landowners,1656,W 93°30ʹ00ʺ--W 40°57ʹ00ʺ/N 62°25ʹ00ʺ--N 30°45ʹ00ʺ,North America,Scale not given,TIFF,http://catalog.lib.msu.edu/record=b12049181,https://n2t.net/ark:/85335/m5ns14,06d-01,06d-01,Public,Active,2021-06-02
['https://d.lib.msu.edu/maps/7/datastream/MODS/view/'],Partie de l'Amérique Septent? qui comprend la Nouvelle France ou le Canada,Relief shown pictorially and by hachures.,eng,"Robert de Vaugondy, Gilles",Robert de Vaugondy,University of Michigan,Maps,Cadastral maps,Real Property|Landowners,1755,W 96°--W 52°/N 52°--N 41°,Canada,"Scale approximately 1:4,000,000",TIFF,http://catalog.lib.msu.edu/record=b12049182,https://n2t.net/ark:/85335/m5hw0j,06d-01,06d-01,Public,Active,2021-06-02
['https://d.lib.msu.edu/maps/8/datastream/MODS/view/'],Carte nouvelle de l'Amerique angloise,Relief shown pictorially.,eng,"Sanson, Nicolas",Chez Jean Cóvens et Corneille Mortier,University of Michigan,Maps,Cadastral maps,Real Property|Landowners,1721,W 93°--W 40°/N 65°--N 30°,North America,"Scale approximately 1:6,000,000",TIFF,http://catalog.lib.msu.edu/record=b12049184,https://n2t.net/ark:/85335/m5cz81,06d-01,06d-01,Public,Active,2021-06-02
['https://d.lib.msu.edu/maps/9/datastream/MODS/view/'],"Map of the state of Michigan and the surrounding country, exhibiting the sections and the latest surveys","Town of ""Rio Grand"" is shown north of Lansing, in Lansing Township, Ingham County. Town of ""Hamilton"" is shown in vicinity of present-day Okemos. A stream named Alcotte Creek is shown in the vicinity of Lansing. Present-day Williamstown Township in Ingham County is named ""Phelps Town"" or ""Phelpstown"" Township. Shows ""proposed route of Clinton and Kalamazoo Canal."" ""Grand river road"" is labeled in Ingham County.",eng,"Farmer, John",John Farmer,University of Michigan,Maps,Cadastral maps,Real Property|Landowners,1855,W 87°57ʹ00ʺ--W 82°23ʹ00ʺ/N 46°59ʹ00ʺ--N 41°24ʹ00ʺ,Michigan,"Scale approximately 1:786,111",TIFF,http://catalog.lib.msu.edu/record=b12049208,https://n2t.net/ark:/85335/m58585,06d-01,06d-01,Public,Active,2021-06-02
['https://d.lib.msu.edu/maps/10/datastream/MODS/view/'],Township map of Michigan from the latest authorities,Relief shown by hachures.,eng,"Ensign, Bridgman & Fanning","Ensign, Bridgman & Fanning",University of Michigan,Maps,Cadastral maps,Real Property|Landowners,1857,W 90°25ʹ00ʺ--W 81°51ʹ00ʺ/N 47°33ʹ00ʺ--N 41°27ʹ00ʺ,Michigan,"Scale approximately 1:975,360",TIFF,http://catalog.lib.msu.edu/record=b12049209,https://n2t.net/ark:/85335/m54s2v,06d-01,06d-01,Public,Active,2021-06-02
