Title,Description,HTML,Download,Service
Illinois Climate Network: Soil Data,The Illinois State Water Survey’s Illinois Climate Network (ICN) monitors soil conditions at 19 stations in Illinois.  Hourly and daily data are available for soil temperatures (under sod and bare) and moisture levels.,none,"<div class=""fieldset-wrapper""><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""http://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Structure_BaseBarlow_Elev_20ft_2009_Ln.zip"" type=""application/zip; length=4683903"">IL_Structure_BaseBarlow_Elev_20ft_2009_Ln.zip</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"" target=""_blank"">https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer</a></div></div></div></div>"
Illinois Climate Network: Weather Data,The Illinois State Water Survey’s Illinois Climate Network (ICN) monitors weather conditions at 19 stations in Illinois.  Hourly and daily data are available from 1989 to the present.,none,"<div class=""fieldset-wrapper""><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""http://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Structure_BaseBarlow_Elev_20ft_2009_Ln.zip"" type=""application/zip; length=4683903"">IL_Structure_BaseBarlow_Elev_20ft_2009_Ln.zip</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"" target=""_blank"">https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer</a></div></div></div></div>"
"Airborne transient electromagnetic survey data, southwest Lake Michigan coast, April 2017","Airborne transient electromagnetic (TEM) method was used along the southwest shore of Lake Michigan to map thickness and distribution of the unconsolidated sand covering the beach and the near shore area (up to 1 km into the lake).  From Kenosha, WI to the Illinois-Indiana border, a total of 1049 line-km of TEM data were acquired.  Sand distribution and thickness was estimated from conversion of the resistivity values from TEM data into lithology.  Through resistivity to lithology conversion, we were also able to estimate thickness and distribution of clay (glacial sediments) and dolomite (bedrock) under the lake bed.  A brief description of the comparison of geophysical results to lithology is provided in:  Mwakanyamale, K.E., Brown, S.E., & Theuerkauf, E.J. (2020).  Delineating spatial distribution and thickness of unconsolidated sand along the southwest Lake Michigan shoreline using TEM and ERT geophysical methods, Journal of Great Lakes Research, 46(6), 1544-1330, https://doi.org/10.1016/j.jglr.2020.08.002.  This project was funded by the Illinois Department of Natural Resources, Coastal Management Program as a part of the National Oceanic and Atmospheric Administration, Office of Coastal Management, Projects of Special Merit Award Competition, Award No. NA16NOS4190151.",none,"<div class=""fieldset-wrapper""><div class=""field field-name-field-data-distribution field-type-text-with-summary field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><p> </p>
<p> </p>
<p> </p>
</div></div></div><div class=""field field-name-field-download-description field-type-text-with-summary field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><p>All the data are georeferenced to WGS_1984 UTM Zone 16 and require 430Mb of uncompressed space. Folder structure and contents:</p>
<ol><li>Root -- SkyTEM project report and journal article in *.pdf format</li>
<li>Isopach_Data -- isopachous (thickness) maps in raster format (*.tif and GS7BG – Golden Software Surfer 7 Binary Grid *.grd). Cell value unit is meters and the grid spacing is approximately 50 meters.</li>
<li>Project_Extent -- project extent boundary (polygon shapefile format) and helicopter flight routes (line shapefile)</li>
<li>Videos -- video (*.mp4 format) files showing virtual flyover through the 3D thickness data from south (Chicago area) to north Kenosha (area) as depicted in GeoScene 3D software.</li>
</ol></div></div></div><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Coastal/zips/HTEM_LMCoast.zip"" title=""HTEM_LMCoast.zip"" type=""application/zip; length=394637722"">HTEM_LMCoast.zip (376.36 MB)</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"" target=""_blank"">https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer</a></div></div></div></div>"
"Coastal Habitat Maps along Illinois Beach State Park, derived from aerial and drone imagery, 1939-2020","These habitat maps were created to identify and monitor coastal change along Illinois' Lake Michigan shoreline at Illinois Beach State Park. Habitat maps are provided for four study sites which the ISGS has monitored monthly since 2018 using drones.
 
The initial habitat boundaries are from the Illinois Natural Areas Inventory (INAI), provided in August 2018 by the Illinois Department of Natural Resources, Illinois Nature Preserves Commission, Illinois Endangered Species Protection Board, and the Natural Heritage Database. The INAI habitat surveys were conducted in 1976 for Sites 1-3; surveys for Site 4 were conducted between 2008-2011. The eastern bounds of the habitat maps, defined as the contact between vegetated habitat and Lake Michigan beach sediment, were digitized from historical aerial images (1939-2017) and modern drone images (2018-2020). The modern images were collected using an unoccupied aerial system (UAS) flown at Illinois Beach State Park under contract for the Illinois Department of Natural Resources Coastal Management Program. The historical aerial images were sourced from the Lake County, Illinois, Planning, Building, and Development Department.
 
The data is georeferenced to NAD83(1986) UTM Zone 16 North meters and vertical coordinates in NAVD88 meters. All activities were conducted according to Federal Aviation Administration regulations and under the Illinois Natures Preserve Commissions permit and Illinois Department of Natural Resources permission.",none,"<div class=""fieldset-wrapper""><div class=""field field-name-field-data-distribution field-type-text-with-summary field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><p class=""MsoNormal"" style=""font-size: 14px;"">Habitat maps were created at 4 sites at Illinois Beach State Park at both decadal (1939-2017) and monthly (2018-2020) time-scales. The habitat maps are presented in a geodatabase with an associated .xml file containing FGDC-compliant metadata. </p>
<p class=""MsoNormal"" style=""font-size: 14px;""><a href=""https://chf.isgs.illinois.edu/coastal/Habitat_data/HabitatMapsSurveyDates.csv"">Download a .csv file of survey dates here.</a></p>
<p class=""MsoNormal"" style=""font-size: 14px;""><a href=""https://chf.isgs.illinois.edu/coastal/Habitat_data/Habitat_data.zip"">Download the habitat maps here.</a></p>
</div></div></div></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"" target=""_blank"">https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer</a></div></div></div></div>"
"Orthomosaic, digital elevation model, and point cloud derived from unoccupied aerial system (UAS) imagery, Illinois Beach State Park","These unoccupied aerial system (UAS, aka drone) data were collected to identify and monitor coastal change along the Lake Michigan shoreline. The orthomosaic, digital elevation model, and point cloud were derived from aerial images collected using a UAS flown at Illinois Beach State Park under contract for the Illinois Department of Natural Resources Coastal Management Program. The orthomosaic and digital elevation model are products of a bare earth classified point cloud. The data are georeferenced to NAD83(1986) UTM Zone 16 North meters and vertical coordinates in NAVD88 meters. The digital aerial images were acquired with a DJI Phantom 4 Pro 12-megapixel camera small unoccupied aerial system. Photogrammetry software with RTK-GPS acquired ground control and check points provided X, Y, and Z accuracy defined in the metadata documents and in the accompanying reports. All activities were conducted according to Federal Aviation Administration regulations and under the Illinois Natures Preserve Commission permit and Illinois Department of Natural Resources permission.",none,"<div class=""fieldset-wrapper""><div class=""field field-name-field-data-distribution field-type-text-with-summary field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><p class=""MsoNormal"">UAS data, consisting of orthomosaics, digitial elevation models, and point clouds, were collected at 8 sites at Illinois Beach State Park at monthly, seasonal, and annual time-scales from April 2018 to present. Each dataset has an associated .xml file containing FGDC-compliant metadata. These data have been collated in different bins for ease of download.</p>
<p class=""MsoNormal"">Survey dates are listed in <a href=""https://chf.isgs.illinois.edu/coastal/uas_data/SurveyDates.csv"">SurveyDates.csv</a></p>
<p class=""MsoNormal"">All the UAS data at all sites and all times is here:</p>
<table border=""0"" style=""height: 50px; width: 900px;""><tbody><tr><td>
<p>All UAS Data</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/All_UAS_data.zip"" target=""_blank"">All_UAS_data.zip</a></p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/uas_footprints/All_UAS_data_footprints.zip"" target=""_blank"">All_UAS_data_footprints.zip</a></p>
</td>
</tr></tbody></table><p class=""MsoNormal""> </p>
<p class=""MsoNormal"">Data are also presented by site, containing all surveys conducted at each site:</p>
<table border=""0"" style=""width: 900px;""><tbody><tr><td>
<p>Site 1</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/Site_1.zip"" target=""_blank"">Site_1.zip</a></p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/uas_footprints/Site_1_footprints.zip"" target=""_blank"">Site_1_footprints.zip</a></p>
</td>
</tr><tr><td>
<p>Site 2</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/Site_2.zip"" target=""_blank"">Site_2.zip</a></p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/uas_footprints/Site_2_footprints.zip"" target=""_blank"">Site_2_footprints.zip</a></p>
</td>
</tr><tr><td>
<p>Site 3</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/Site_3.zip"" target=""_blank"">Site_3.zip</a></p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/uas_footprints/Site_3_footprint.zip"" target=""_blank"">Site_3_footprint.zip</a></p>
</td>
</tr><tr><td>
<p>Site 4</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/Site_4.zip"" target=""_blank"">Site_4.zip</a></p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/uas_footprints/Site_4_footprint.zip"" target=""_blank"">Site_4_footprint.zip</a></p>
</td>
</tr><tr><td>
<p>Site 5</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/Site_5.zip"" target=""_blank"">Site_5.zip</a></p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/uas_footprints/Site_5_footprint.zip"" target=""_blank"">Site_5_footprint.zip</a></p>
</td>
</tr><tr><td>
<p>Site 6</p>
</td>
<td>
<p><a href=""https://chf.isgs.illinois.edu/coastal/uas_data/Site_6.zip"" target=""_blank"">Site_6.zip</a></p>
</td>
<td>
