url,Title,JPEG,PDF,Rights,DOI
"'https://rucore.libraries.rutgers.edu/rutgers-lib/56803', '', '', '', '', '', '', ''",Big Timber Creek,,https://rucore.libraries.rutgers.edu/rutgers-lib/56803/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3NK3JB3
"'https://rucore.libraries.rutgers.edu/rutgers-lib/56825', '', '', '', '', '', '', ''","Big Timber Creek, New Jersey, Delaware River to Marters Wharf",,https://rucore.libraries.rutgers.edu/rutgers-lib/56825/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T31N84GX
"'https://rucore.libraries.rutgers.edu/rutgers-lib/56652', '', '', '', '', '', '', ''","Maurice River, Cumberland County, NJ, (Sections No. 1, 2, 3, 4, 5)",,https://rucore.libraries.rutgers.edu/rutgers-lib/56652/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3T72MR1
"'https://rucore.libraries.rutgers.edu/rutgers-lib/56890', '', '', '', '', '', '', ''",Pre-dredging survey of a section of the inland waterway Manasquan-Bayhead Canal,,https://rucore.libraries.rutgers.edu/rutgers-lib/56890/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3348PQ4
"'https://rucore.libraries.rutgers.edu/rutgers-lib/29182', '', '', '', '', '', '', ''","1882 Real Estate and Insurance Map of the City of Trenton including Chambersburg, Millham and parts of Ewing, Lawrence and Hamilton Townships",https://rucore.libraries.rutgers.edu/rutgers-lib/29182/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/29182/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T37D2V0H
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28610', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 13 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28610/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28610/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3V9881R
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28612', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 15 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28612/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28612/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T33T9H55
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28613', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 16 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28613/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28613/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T37H1JJM
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28614', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 17 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28614/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28614/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3C8297W
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28615', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 18 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28615/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28615/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3H131Z6
