Title,Alternative Title,Description,Language,Cartographer,Publisher,Contributor,Resource Class,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Member Of,Is Part Of,Code,Rights,Access Rights,Format,File Size,ID,Identifier,Information,Permanent Link,Download
,"Important farmland, Kalamazoo County, Michigan","Includes notes and location map. Scale approximately 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1983,,,"Fort Worth, Texas","-85.7658,42.0697,-85.2925,42.4214",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,349.12 MB,385f960b-dbd6-4134-8f50-1e9b39f5d6ea,https://d.lib.msu.edu/maps/986,https://d.lib.msu.edu/maps/986,https://n2t.net/ark:/85335/m55t3hv85,https://d.lib.msu.edu/maps/986/datastream/OBJ/Download/
,"Important farmlands, Osceola County, Michigan","Includes text and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1982,,,"Fort Worth, Texas?","-85.5642,43.8122,-85.0867,44.1653",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,971.69 MB,f282aa53-2c46-4dc2-b9b3-605e3f0b06fb,https://d.lib.msu.edu/maps/1008,https://d.lib.msu.edu/maps/1008,https://n2t.net/ark:/85335/m5fb4zg8n,https://d.lib.msu.edu/maps/1008/datastream/OBJ/Download/
,"Important farmlands, Huron County, Michigan","Includes notes and location map. Scale 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1982,,,"Fort Worth, Texas?","-83.4961,43.6675,-82.6044,44.07",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,906.68 MB,46ce71b4-79dc-4813-a2fa-62452e0564e4,https://d.lib.msu.edu/maps/1002,https://d.lib.msu.edu/maps/1002,https://n2t.net/ark:/85335/m5k35p91x,https://d.lib.msu.edu/maps/1002/datastream/OBJ/Download/
,"Important farmlands, Sanilac County, Michigan","Includes text and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1982,,,"Fort Worth, Texas?","-83.1203,43.1539,-82.5031,43.6903",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,1.08 GB,0ec82883-13ea-4824-b591-611167bd80b6,https://d.lib.msu.edu/maps/1011,https://d.lib.msu.edu/maps/1011,https://n2t.net/ark:/85335/m59k47p4w,https://d.lib.msu.edu/maps/1011/datastream/OBJ/Download/
,"Important farmlands, Lenawee County, Michigan","Includes notes and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1981,,,"Fort Worth, Texas?","-84.3633,41.7064,-83.7631,42.0822",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,903.2 MB,15de400d-5416-44bb-9b51-eb8170f6d0a5,https://d.lib.msu.edu/maps/1004,https://d.lib.msu.edu/maps/1004,https://n2t.net/ark:/85335/m5pv6d35r,https://d.lib.msu.edu/maps/1004/datastream/OBJ/Download/
,"Important farmlands, Genesee County, Michigan","Includes notes and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1977,,,"Fort Worth, Texas?","-83.9319,42.7806,-83.4531,43.2231",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,947.11 MB,763c5184-49e2-4a3c-8e7a-9577c9be1558,https://d.lib.msu.edu/maps/1000,https://d.lib.msu.edu/maps/1000,https://n2t.net/ark:/85335/m5222t257,https://d.lib.msu.edu/maps/1000/datastream/OBJ/Download/
,"Important farmlands, Bay County, Michigan","Includes notes and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1981,,,"Fort Worth, Texas?","-84.1681,43.4786,-83.6983,43.9969",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,917.02 MB,87f2f84b-572a-4fcd-99a3-1af24d0bbe01,https://d.lib.msu.edu/maps/988,https://d.lib.msu.edu/maps/988,https://n2t.net/ark:/85335/m5xd0st2p,https://d.lib.msu.edu/maps/988/datastream/OBJ/Download/
,"Important farmlands, Gratiot County, Michigan","Includes notes and location map. Scale 1:100,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Geological Survey (U.S.),Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1983,,,"Fort Worth, Texas","-84.8469,43.1169,-84.3681,43.4658",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,228.46 MB,50b4b0e1-0d03-407c-80e3-851cee2787cb,https://d.lib.msu.edu/maps/980,https://d.lib.msu.edu/maps/980,https://n2t.net/ark:/85335/m5sn03096,https://d.lib.msu.edu/maps/980/datastream/OBJ/Download/
,"Important farmlands, Lapeer County, Michigan","Includes location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1979,,,"Fort Worth, Texas?","-83.4606,42.8803,-82.9836,43.3269",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,1.04 GB,0503805d-1554-4dac-9678-cdfa08470424,https://d.lib.msu.edu/maps/1015,https://d.lib.msu.edu/maps/1015,https://n2t.net/ark:/85335/m5nv9c65h,https://d.lib.msu.edu/maps/1015/datastream/OBJ/Download/
,"Important farmlands, Ionia County, Michigan","Includes notes and location map. Scale 1:50,000",eng,United States|Soil Conservation Service,United States|Soil Conservation Service,Michigan State University|Center for Remote Sensing,Maps,cartographic,Agricultural resources|Land capability for agriculture|Soil productivity,1981,,,"Fort Worth, Texas?","-85.3125,42.7692,-84.8375,43.1206",2787a9e8-0bef-452e-9e5f-e83042c193b4| 64bd8c4c-8e60-4956-b43d-bdc3f93db488,06d-02,06d-02,"Creative Commons Public Domain Mark 1.0: This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights. You can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission.",Public,image/tiff,936.65 MB,6d2fefab-ae0d-4e4c-982b-79b25e1da384,https://d.lib.msu.edu/maps/997,https://d.lib.msu.edu/maps/997,https://n2t.net/ark:/85335/m5j38nd25,https://d.lib.msu.edu/maps/997/datastream/OBJ/Download/
