Identifier,Title,Description,Originator,Date_Issued,Topic,West,East,North,South,Format,links,keywords
undefined,A2CatchBasins,"Locations of public, private, County Drain Commission, and University owned catch basins/inlets as part of the City's greater storm water network.",City of Ann Arbor Public Services,,undefined,-83.801447,-83.661624,42.32388,42.217723,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Catchbasin; Inlet; Storm Water</gco:CharacterString>\n</keyword>]"
undefined,A2Hydrants,"Locations of all public, private, and University owned fire hydrants within the City of Ann Arbor or otherwise connected to the City's drinking water network.",City of Ann Arbor Public Services,,undefined,-83.817304,-83.66098,42.323524,42.217269,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Water Network</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Hydrant</gco:CharacterString>\n</keyword>]"
undefined,A2Trees,,undefined,,undefined,-180,180,42.324677,-68.034814,Shapefile,[],[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]
undefined,City of Ann Arbor (Building Footprints),Woolpert completed a semi-automated method for building generation utilizing new countywide 2009 LiDAR data and existing 2005-2008 orthoimagery. Buildings over 100 square feet were generated and run through a QC process. The final building polygons were developed for the entire ±709-square mile county area. The dataset has had all but those footprints near or within the City of Ann Arbor and contains an average building height.,Woolpert and Scott Harrod,"2015-06-29


publication",elevation,-83.799814,-83.660609,42.323486,42.216806,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Buildings</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Footprints</gco:CharacterString>\n</keyword>]"
undefined,City of Ann Arbor (City Boundary),Polygons defining the boundary of The City of Ann Arbor.,City of Ann Arbor Community Services,"2015-06-26


publication",boundaries,-83.800159,-83.676297,42.324149,42.222472,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Boundary</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Political</gco:CharacterString>\n</keyword>]"
undefined,City of Ann Arbor (City Owned Parcels),Polygon parcels of land owned by the City of Ann Arbor near or in the City Boundary.,City of Ann Arbor Community Services,"2015-06-26


publication",boundaries,-83.800965,-83.652991,42.323982,42.21377,Shapefile,[],"[<keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Political</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Administrative</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>]"
undefined,City of Ann Arbor (Downtown Development Authority),Polygon boundary of the City of Ann Arbor Downtown Development Authority.,City of Ann Arbor Community Services,"2015-06-29


publication",boundaries,-83.754133,-83.730953,42.285079,42.272584,Shapefile,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Planning</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>DDA</gco:CharacterString>\n</keyword>]"
undefined,,"That portion of the river valley, adjacent to the channel, which is built of sediments deposited during the present geological / climatic regime. Based on statistically derived hydrologic recurrence intervals, a portion of the land adjacent to the watercourse experiences bank full overflow during flood stage episodes. created by the City of Ann Arbor Systems Planning using FEMA data. Is now being updated by Systems Planning using newest FEMA data.",City of Ann Arbor Systems Planning,,undefined,undefined,undefined,undefined,undefined,SDE Feature Class,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>FEMA</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Floods</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Regulatory</gco:CharacterString>\n</keyword>]"
undefined,,"A ""Regulatory Floodway"" means the channel of a river or other watercourse and the adjacent land areas that must be reserved in order to discharge the base flood without cumulatively increasing the water surface elevation more than a designated height. Communities must regulate development in these floodways to ensure that there are no increases in upstream flood elevations. For streams and other watercourses where FEMA has provided Base Flood Elevations (BFEs), but no floodway has been designated, the community must review floodplain development on a case-by-case basis to ensure that increases in water surface elevations do not occur, or identify the need to adopt a floodway if adequate information is available. Created by Systems Planning based off of FEMA floodplain info. In the process of being updated based on newest FEMA data.",City of Ann Arbor Systems Planning,,undefined,undefined,undefined,undefined,undefined,SDE Feature Class,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>FEMA</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Floods</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Regulatory</gco:CharacterString>\n</keyword>]"
undefined,City of Ann Arbor (Future Land Use),Polygon boundaries of the future Land Use designations as defined by the 4 City Area plans (one per Planning Area).,City of Ann Arbor Community Services,"2015-06-29


publication",boundaries,-83.799871,-83.675707,42.324148,42.227852,SDE Feature Class,[],"[<keyword>\n<gco:CharacterString>Downloadable Data</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Ann Arbor</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Land Use</gco:CharacterString>\n</keyword>, <keyword>\n<gco:CharacterString>Planning</gco:CharacterString>\n</keyword>]"
