Title,Description,Originator,Date_Issued,Geom_type,West,East,North,South,Format,Keywords
"CENSUS_BLOCKGROUPS_TIGER2011_IN: Census Block Group Areas for Indiana in 2011 (United States Census Bureau, 1:100,000, Polygon Shapefile)","CENSUS_BLOCKGROUPS_TIGER2011_IN.SHP is a polygon shapefile that contains 2011 census block group boundaries for the state of Indiana.
Census block groups are not legal boundaries, but are considered stable geographic units used for the presentation of decennial census
data.

The following is excerpted from an Adobe Acrobat PDF document named ""TGRSHP2011_TECHDOC.PDF (U.S. Census Bureau):

""Block groups are clusters of blocks within the same census tract that have the same first digit of their 4-digit census block
number. For example, blocks 3001, 3002, 3003, â¦., 3999 in census tract 1210.02 belong to Block Group 3. As with block groups
delineated for Census 2000, block groups delineated for 5-38 the 2010 Census generally contain between 600 and 3,000 people.
Most block groups were delineated by local participants in the Census Bureau's Participant Statistical Areas Program. The Census
Bureau delineated block groups only where a local or tribal government declined to participate or where the Census Bureau could
not identify a potential local participant.

""A block group usually covers a contiguous area. Each census tract contains at least one block group and block groups are uniquely
numbered within census tract. Within the standard census geographic hierarchy, block groups never cross county or census tract
boundaries, but may cross the boundaries of county subdivisions, places, urban areas, voting districts, congressional districts,
and American Indian, Alaska Native, and Native Hawaiian areas.

""Block groups have a valid range of 0 through 9. Block groups beginning with a 0 generally are in coastal and Great Lakes water
and territorial seas. Rather than extending a census tract boundary into the Great Lakes or out to the three-mile territorial
sea limit, the Census Bureau delineated some census trac boundaries along the shoreline or just offshore. The Census Bureau
assigned a default census tract number of 0 and block group of 0 to the offshore areas not included in regularly numbered census
tract areas. Because of updates since 2000, there are 0 block groups that now contain land.""","United States Department of Commerce, United States Census Bureau (creator)",20120827,GT-polygon composed of chains,-88.161392,-84.688378,41.781127,37.755397,"ESRI ArcCatalog version 10.1 shapefile format, approximately 19.4 Mb","[u'society', u'boundaries', u'Feature Identifier', u'geographic information system (GIS)', u'United States Department of Commerce', u'United States Census Bureau (USCB)', u'Census Blockgroups', u'Census', u'Statistical Boundary', u'Polygon', u'TIGER/Line', u'Block groups', u'Demographic', u'statistical boundary']"
"Census_Blockgroups_TIGER00_IN: Indiana Census Blockgroups 2000
(U.S. Census Bureau, 1:100,000, Polygon Shapefile)","Census_Blockgroups_TIGER00_IN contains locations for all Indiana blockgroups identified
by the US Bureau of the Census. Data is from U.S. Department of Commerce, U.S. Census
Bureau, Census 2000 Tiger Line Files and SF1 tables.","(creation): U.S. Department of Commerce, U.S. Census Bureau",20021000,GT-polygon composed of chains,-88.0157,-86.8562,38.5276,37.3724,ESRI ArcView version 3.2 shapefile format,"[u'society', u'\nTheme Theme_Keyword_Thesaurus\nPlace Place_Keyword_Thesaurus\n']"
"CENSUS_BLOCKS_TIGER2011_IN: Census Block Areas for Indiana in 2011 (United States Census Bureau, 1:100,000, Polygon Shapefile)","CENSUS_TRACTS_TIGER2011_IN.SHP is a polygon shapefile that contains 2011 census block boundaries for the state of Indiana.
Census blocks are not legal boundaries, but are considered stable geographic units used for the presentation of decennial census data.

The following is excerpted from an Adobe Acrobat PDF document named ""TGRSHP2011_TECHDOC.PDF (U.S. Census Bureau):

""Census Blocks are statistical areas bounded on all sides by visible features, such as streets, roads, streams, and railroad
tracks, and by non-visible boundaries such as city, town, township, and county limits, and short line-of-sight extensions of
streets and roads. Generally, census blocks are small in area; for example, a block in a city. Census blocks in suburban and
rural areas may be large, irregular, and bounded by a variety of features, such as roads, streams, and/or transmission line
rights-of-way. In remote areas census blocks may encompass hundreds of square miles. Census blocks cover all territory in the
United States, Puerto Rico, and the Island areas. A block may consist of one or more faces.

""Blocks never cross county or census tract boundaries (See Figures 3 and 4). They do not cross the boundaries of any entity
for which the Census Bureau tabulates data, including American Indian, Alaska Native, and Native Hawaiian areas, congressional
districts, county subdivisions, places, state legislative districts, urbanized areas, urban clusters, school districts, voting
districts, or ZIP Code Tabulation Areas (ZCTAs) or some special administrative areas such as military installations, and national
parks and monuments.

""Census 2010 blocks are numbered uniquely within the 2010 boundaries of each state/county/census tract with a 4-digit census
block number. The first digit of the tabulation block number identifies the block group.""","United States Department of Commerce, United States Census Bureau (creator)",20120827,GT-polygon composed of chains,-88.161392,-84.688378,41.781127,37.755397,"ESRI ArcCatalog version 10.1 shapefile format, approximately 210 Mb","[u'society', u'boundaries', u'Feature Identifier', u'geographic information system (GIS)', u'United States Department of Commerce', u'United States Census Bureau (USCB)', u'census block', u'block', u'polygon', u'vector', u'census', u'TIGER/Line', u'demographic', u'statistical boundary']"
"CENSUS_BLOCKS_TIGER00_IN: Indiana Census Blocks 2000 (U.S. Census Bureau, 1:500,000, Polygon Shapefile)","The following is excerpted from an on-line document produced by ESRI pertaining to the Census 2000 TIGER Line data:

""The Census 2000 TIGER/Line shapefiles were created from the Topologically Integrated Geographic Encoding and
Referencing (TIGER) database of the United States Census Bureau.

The shapefiles contain data about the following features:

Line Featuresroads, railroads, hydrography, and transportation and utility lines.

Boundary Featuresstatistical (e.g., census tracts and blocks); government (e.g., places and counties); and
administrative (e.g., congressional and school districts).

Landmark Featurespoint (e.g., schools and churches); area (e.g., parks and cemeteries); and key geographic locations
(e.g., apartment buildings and factories).

The shapefiles do not contain:

Zip Code Tabulation Areas (ZCTAs).

Current address range information as reflected in the Master Address File (MAF).

Corrections to naming of some geographic entities, including voting districts and school districts, and attributes
such as Place Description Codes (PLACEDC) and Legal/Statistical Area Description Codes (LSADC).

This updated Census information for the 2000 TIGER/Line files is available from the U.S. Census Bureau at the following web
site url: http://www.census.gov/geo/www/tiger/tiger2k/tgr2000.html
The U.S. Census Bureau also provides GENERALIZED cartographic boundary files for many of their geographies. These cartographic
boundary files can be downloaded by state, in shapefile format (.shp), as well as ArcInfo export files (.e00).""","United States Department of Commerce, United States Census Bureau (Data creator)",20040623,GT-polygon composed of chains,-88.0972,-84.6884,41.7734,37.7606,Windows 2000 operating system; ESRI ArcGIS 8.3 shapefile; approximately 149 Mb,"[u'Indiana Geological Survey (IGS)', u'geographic information system (GIS)', u'United States Department of Commerce', u'United States Census Bureau (USCB)', u'census block', u'block', u'polygon', u'vector', u'census', u'TIGER/Line', u'demographic', u'minorities', u'age', u'population', u'home ownership', u'families', u'statistical boundary', u'society']"
"Census_County_TIGER00_IN: Indiana Counties Census Data 2000
(Derived from U.S. Census Bureau, 1:24,000 Polygon Shapefile)","Census_County_TIGER00_IN contains locations for all Indiana counties and
contains census data for each county. Data is from U.S. Department of Commerce,
U.S. Census Bureau, Census 2000 SF1 tables.","Bernardin, Lochmueller and Associates",20021000,GT-polygon composed of chains,-88.0157,-86.8562,38.5276,37.3724,ESRI ArcView version 3.2 shapefile format,"[u'society', u'\nTheme Theme_Keyword_Thesaurus\nPlace Place_Keyword_Thesaurus\n']"
"CENSUS_TRACTS_TIGER2011_IN: Census Tract Areas for Indiana in 2011 (United States Census Bureau, 1:100,000, Polygon Shapefile)","CENSUS_TRACTS_TIGER2011_IN.SHP is a polygon shapefile that contains 2011 census tract boundaries for the state of Indiana.
Census tracts are not legal boundaries, but are considered stable geographic units used for the presentation of decennial census data.

The following is excerpted from an Adobe Acrobat PDF document named ""TGRSHP2011_TECHDOC.PDF (U.S. Census Bureau):

""Census tracts are small, relatively permanent statistical subdivisions of a county or equivalent entity, and are reviewed
and updated by local participants prior to each decennial census as part of the Census Bureau's Participant Statistical Areas Program.
The Census Bureau updates census tracts in situations where no local participant existed or where local or tribal governments declined
to participate. The primary purpose of census tracts is to provide a stable set of geographic units for the presentation of decennial
census data.

""Census tracts generally have a population size between 1,200 and 8,000 people with an optimum size of 4,000 people. The spatial size
of census tracts varies widely depending on the density of settlement. Census tracts are delineated with the intention of being
maintained over a long time so that statistical comparisons can be made from census to census. However, physical changes in street
patterns caused by highway construction, new development, and so forth, may require boundary revisions. In addition, census tracts
occasionally are split due to population growth, or combined as a result of substantial population decline.

""Census tract boundaries generally follow visible and identifiable features. They may follow legal boundaries such as minor civil
division (MCD) or incorporated place boundaries in some states and situations to allow for census tract-to-governmental unit
relationships where the governmental boundaries tend to remain unchanged between censuses. State and county boundaries always are
census tract boundaries in the standard census geographic hierarchy.""","United States Department of Commerce, United States Census Bureau (creator)",20120827,GT-polygon composed of chains,-88.161392,-84.688378,41.781127,37.755397,"ESRI ArcCatalog version 10.1 shapefile format, approximately 9.85 Mb","[u'society', u'boundaries', u'Feature Identifier', u'geographic information system (GIS)', u'United States Department of Commerce', u'United States Census Bureau (USCB)', u'Census Tracts', u'Census', u'Statistical Boundary', u'Polygon', u'TIGER/Line', u'Demographic']"
"Census_Tracts_TIGER00_IN: Indiana Census Tracts 2000
(U.S. Census Bureau, 1:100,000, Polygon Shapefile)","Census_Tracts_TIGER00_IN contains locations for all Indiana tracts identified
by the US Bureau of the Census. Data is from U.S. Department of Commerce, U.S. Census
Bureau, Census 2000 Tiger Line Files and SF1 tables.","(creation): U.S. Department of Commerce, U.S. Census Bureau",20021000,GT-polygon composed of chains,-88.0157,-86.8562,38.5276,37.3724,ArcView version 3.2 shapefile format,"[u'society', u'\nTheme Theme_Keyword_Thesaurus\nPlace Place_Keyword_Thesaurus\n']"
,"This file consists of ancestry data (first ancestry reported) for Indiana county subdivisions (legal townships,","United States Department of Commerce, United States Census Bureau (Data creator)",20051108,GT-polygon composed of chains,-88.0972,-84.6884,41.7734,37.7606,Windows NT operating system; ESRI ArcGIS 8.3 shapefile; approximately 2 Mb,"[u'Indiana University (IU)', u'Geology Library', u'\nTheme_Keyword  geographic information system (GIS)\nTheme_Keyword  United States Department of Commerce\nTheme_Keyword  United States Census Bureau (USCB)\nTheme_Keyword  Minor Civil Division (MCD)\n', u'\nTheme_Keyword  polygon\nTheme_Keyword  township\nTheme_Keyword  civil township\nTheme_Keyword  ancestry\nTheme_Keyword  ethnicity\nTheme_Keyword  race\nTheme_Keyword  vector\n', u'society', u'Place Place_Keyword_Thesaurus']"
,"This file consists of ancestry data (first ancestry reported) for Indiana county subdivisions (legal townships,","United States Department of Commerce, United States Census Bureau (Data creator)",20051108,GT-polygon composed of chains,-88.0972,-84.6884,41.7734,37.7606,Windows NT operating system; ESRI ArcGIS 8.3 shapefile; approximately 2 Mb,"[u'Indiana University (IU)', u'Geology Library', u'\nTheme_Keyword  geographic information system (GIS)\nTheme_Keyword  United States Department of Commerce\nTheme_Keyword  United States Census Bureau (USCB)\nTheme_Keyword  Minor Civil Division (MCD)\n', u'\nTheme_Keyword  polygon\nTheme_Keyword  township\nTheme_Keyword  civil township\nTheme_Keyword  ancestry\nTheme_Keyword  ethnicity\nTheme_Keyword  race\nTheme_Keyword  vector\n', u'society', u'Place Place_Keyword_Thesaurus']"
,"This file consists of ancestry data (first ancestry reported) for Indiana county subdivisions (legal townships,","United States Department of Commerce, United States Census Bureau (Data creator)",20051108,GT-polygon composed of chains,-88.0972,-84.6884,41.7734,37.7606,Windows NT operating system; ESRI ArcGIS 8.3 shapefile; approximately 2 Mb,"[u'Indiana University (IU)', u'Geology Library', u'\nTheme_Keyword  geographic information system (GIS)\nTheme_Keyword  United States Department of Commerce\nTheme_Keyword  United States Census Bureau (USCB)\nTheme_Keyword  Minor Civil Division (MCD)\n', u'\nTheme_Keyword  polygon\nTheme_Keyword  township\nTheme_Keyword  civil township\nTheme_Keyword  ancestry\nTheme_Keyword  ethnicity\nTheme_Keyword  race\nTheme_Keyword  vector\n', u'society', u'Place Place_Keyword_Thesaurus']"
,"This file consists of ancestry data (first ancestry reported) for Indiana county subdivisions (legal townships,","United States Department of Commerce, United States Census Bureau (Data creator)",20051108,GT-polygon composed of chains,-88.0972,-84.6884,41.7734,37.7606,Windows NT operating system; ESRI ArcGIS 8.3 shapefile; approximately 2 Mb,"[u'Indiana University (IU)', u'Geology Library', u'\nTheme_Keyword  geographic information system (GIS)\nTheme_Keyword  United States Department of Commerce\nTheme_Keyword  United States Census Bureau (USCB)\nTheme_Keyword  Minor Civil Division (MCD)\n', u'\nTheme_Keyword  polygon\nTheme_Keyword  township\nTheme_Keyword  civil township\nTheme_Keyword  ancestry\nTheme_Keyword  ethnicity\nTheme_Keyword  race\nTheme_Keyword  vector\n', u'society', u'Place Place_Keyword_Thesaurus']"
,"This file consists of ancestry data (first ancestry reported) for Indiana county subdivisions (legal townships,","United States Department of Commerce, United States Census Bureau (Data creator)",20051108,GT-polygon composed of chains,-88.0972,-84.6884,41.7734,37.7606,Windows NT operating system; ESRI ArcGIS 8.3 shapefile; approximately 2 Mb,"[u'Indiana University (IU)', u'Geology Library', u'\nTheme_Keyword  geographic information system (GIS)\nTheme_Keyword  United States Department of Commerce\nTheme_Keyword  United States Census Bureau (USCB)\nTheme_Keyword  Minor Civil Division (MCD)\n', u'\nTheme_Keyword  polygon\nTheme_Keyword  township\nTheme_Keyword  civil township\nTheme_Keyword  ancestry\nTheme_Keyword  ethnicity\nTheme_Keyword  race\nTheme_Keyword  vector\n', u'society', u'Place Place_Keyword_Thesaurus']"
"Census_Blockgroups_TIGER00_IN: Indiana Census Blockgroups 2000
(U.S. Census Bureau, 1:100,000, Polygon Shapefile)","Census_Blockgroups_TIGER00_IN contains locations for all Indiana blockgroups identified
by the US Bureau of the Census. Data is from U.S. Department of Commerce, U.S. Census
Bureau, Census 2000 Tiger Line Files and SF1 tables.","(creation): U.S. Department of Commerce, U.S. Census Bureau",20021000,GT-polygon composed of chains,-88.0157,-86.8562,38.5276,37.3724,ESRI ArcView version 3.2 shapefile format,"[u'society', u'\nTheme Theme_Keyword_Thesaurus\nPlace Place_Keyword_Thesaurus\n']"
"CENSUS_HISTORICAL_MCD_IN: Populations and Population Densities of Minor Civil Divisions in
Indiana from 1890 to 2000 (United States Census Bureau, 1:500,000, Polygon Shapefile)","Historical census data for minor civil divisions (also known as ""civil townships"") in Indiana
were provided by personnel of the Indiana Business Research Center to personnel of the Indiana
Geological Survey (IGS). The data were joined by personnel of IGS to a shapefile of minor
civil divisions. The historical census data consisted of population statistics from 1890 to
2000. The boundaries of civil townships are not believed to have changed greatly during the
past 110 years. Using these data, personnel of the IGS calculated population density for each
civil township during census years.","United States Department of Commerce, United States Census Bureau (Data creator)",20040520,GT-polygon composed of chains,-88.0972,-84.6884,41.7734,37.7606,Windows 2000 operating system; ESRI ArcGIS 8.3 shapefile; approximately 933 Kb,"[u'Indiana Geological Survey (IGS)', u'Indiana Business Research Center (IBRC)', u'geographic information system (GIS)', u'United States Department of Commerce', u'United States Census Bureau (USCB)', u'Minor Civil Division (MCD)', u'polygon', u'township', u'civil township', u'population', u'population density', u'population change', u'vector', u'society']"
