Filename,DatasetURI,Title,Description,Originator,Publisher,Date_Issued,Temporal,Geom_type,Geom2,West,East,North,South,Format,Thumbnail,Keywords,Place
['https://btaagdp.org/metadata/05a-01/pub/gdrs/apps/pub/us_mn_state_dot/plan_tribal_lands_compare/metadata/metadata.xml'],http://mndot.maps.arcgis.com/home/webmap/viewer.html?webmap=fe83c8103d404716bbba8f41f804d8bc,"Federal/State Tribal Lands Comparison Web Map, Minnesota","The Federal/State Tribal Data Comparison web map can be used to compare the reservation boundaries that appear on the Minnesota State Highway Map with the U.S. Census Bureau reservation boundaries. This map also shows off-reservation trust land owned by tribes. The map is for informational purposes only. It is not a land survey and does not contain coordinate correct data. Boundaries are not recognition, endorsement, or acceptance by MnDOT or the State of Minnesota.",Minnesota Department of Transportation,Minnesota Department of Transportation,20170912,20170912,undefined,undefined,-97.23,-89.53,49.37,43.5,undefined,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dot/plan_tribal_lands_compare/metadata/preview.jpg,"[u'planningCadastre, boundaries, land ownership, reservation, trust land, Indian, Native American, tribe, tribal, US Census']","[u'Minnesota, Bois Forte, Fond du Lac, Grand Portage, Ho Chunk Nation, Leech Lake, Lower Sioux, Mille Lacs, Minnesota Chippewa, Prairie Island, Red Lake, Shakopee Mdewakanton Sioux, Upper Sioux, White Earth']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/apps/pub/us_mn_state_mngeo/loc_pls_api_service/metadata/metadata.xml'],http://www.mngeo.state.mn.us/chouse/pls/pls_api.html,"Public Land Survey API Service, Minnesota","The PLS (public land survey) API (application programming interface) service provides public land survey descriptions, UTM coordinates, and some place names for point locations in Minnesota. An interactive webpage lets you type in coordinates (UTM, geographic, or PLS) or place names (county, quad name, township name) for a point location and then displays all of those coordinates and place names for that point.

The PLS API homepage links to the interactive webpage and to a technical description of the API service.",Minnesota Geospatial Information Office,Minnesota Geospatial Information Office,unknown,undefined,Cell,,-97.23,-89.53,49.37,43.5,,http://geoint.lmic.state.mn.us/pls.html,"[u'planningCadastre, PLS, PLSS, public land survey']","[u'Minnesota, MN']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/apps/pub/us_mn_state_mngeo/loc_sectic24k/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/loc-sectic24k,"Public Land Survey System Section Corner Database, Minnesota: SECTIC-24K","SECTIC-24K is a digital file of the Public Land Survey (PLS) section corners of Minnesota as recorded on the most recent edition of the U.S. Geological Survey's 1:24,000 7.5-minute quadrangle maps that were available in the mid-1990s. The database attempted to best fit the section corner locations shown on the published 1:24,000 maps, even though better real-world data for the location of the section corner might be available elsewhere. The SECTIC-24K data set also includes a program which has the following utilities:

Utility A: Section corner extraction from the SECTIC-24K database by county, 1:24,000-scale quad, or township.

Utility B: Conversion among PLS, UTM, or LAT/LONG coordinates, either interactively or by file conversion. It also allows NAD27 - NAD83 conversions.

Utility C: Creation of a dBASE output file from SECTIC-24K.

This older software program does not run on Windows 7 - 64 bit computers (it does run on Windows - 32 bit). There is also a web service that generates much the same info as the SECTIC program. The main differences are it may not do NAD27/NAD83 shifts and it doesn't have a batch mode. A batch mode could be created using the web service and the scripting code of your choice. Find the web service at:  https://gisdata.mn.gov/dataset/loc-pls-api-service",Minnesota Geospatial Information Office (MnGeo),Minnesota Geospatial Information Office (MnGeo),1999,undefined,Not applicable,Compressed binary which is exportable to dBase format.,-97.25,-89.50,49.40,43.50,Compressed binary which is exportable to dBase format.,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_mngeo/loc_sectic/metadata/preview.jpg,"[u'location, U.S. Public Land Survey, PLS, PLSS, PLS section corners, USGS 1:24,000 7.5-minute quadrangle']",[u'Minnesota']
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/edu_umn/base_historical_aerial_points/metadata/metadata.xml'],http://gisdata.state.mn.us/dataset/base-historical-aerial-points,Minnesota Historical Aerial Photographs Online (MHAPO),"The points in this dataset represent the approximate geographic location of the centroids for scanned, non-georeferenced air photos that were captured between 1923 and 2007 and are freely available via the John R. Borchert Map Library and the Minnesota Department of Natural Resources.

The images were captured by a variety of government entities to address a wide range of applications. Images were scanned at resolutions ranging from 150 to 1200DPI.  The collection includea a mixture of black & white, true color and infrared photographs.  Various image collects were taken at a range of flight heights depending on the year and purpose of the collect.","John R. Borchert Map Library, University of Minnesota and Minnesota Department of Natural Resources (MNDNR)",John R. Borchert Map Library,20150903,20150903,undefined,undefined,-97.23,-89.53,49.37,43.5,undefined,undefined,"[u'imageryBaseMapsEarthCover, Historic Air Photos, Imagery, Index, ']","[u'Minnesota, MN']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/org_mmcd/env_wetland_mosquito_wet_areas/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/org-mmcd-env-wetland-mosquito-wet-areas,Metro Wetlands and Wet Areas (MMCD),"This layer depicts wetlands and wet areas tracked by the Metropolitan Mosquito Control District (MMCD) as potentially holding water long enough to support mosquito larval development (5 days). It was developed by MMCD for internal use and is not intended to imply jurisdictional wetland boundaries. It generally includes swamps, marshes, roadside ditches, small shallow ponds and other water-holding features down to 0.01 acre in size. It may include vegetated lake margins but does not generally include large bodies of open water. 

All features were manually digitized from orthorectified digital aerial photography (for example, Metro. Council regional leaf-off), and most have been field checked for approximate location and size at least once in the last 5 years. The actual extent of water will vary seasonally and annually with rainfall. The extent of water shown in this dataset tends to reflect conditions at the time the aerial photos were taken but may be modified based on field experience. Many sites are field checked during the spring, summer and fall, especially those treated frequently. To see inspections and treatment history go to http://www.mmcd.org 

Each feature has been assigned a unique number used within MMCD.",Metropolitan Mosquito Control District,"Metropolitan Mosquito Control District, Saint Paul, MN",20170627,20170330,,MapInfo 10,-94.012,-92.732,45.415,44.471,Shapefile,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/org_mmcd/env_wetland_mosquito_wet_areas/metadata/preview.jpg,"[u'Wetlands, water, water features, mosquitoes']","[u'Twin Cities, Anoka County, Carver County, Dakota County, Hennepin County, Ramsey County, Scott County, Washington County, Saint Paul, Minneapolis']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2013_serv/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-base-aerialphotography-2013-serv,"Aerial Photography - 2013, Dakota County, Minnesota","County wide ortho photography at 6-inch pixel resolution. The photography was exposed on 4/29/13, 5/12/2013, 5/14/2013, 5/16/13 and 5/23/13. Rectification was done in INPHO OrthoMaster using the aerotriangulation data, raw images, and existing LiDAR DEM data which was reviewed and edited by AeroMetric. These rectified images were used to automatically generate seamlines which were then fully reviewed and edited. The rectified images were mosaicked, balanced, and cut into final image tiles. The final tiles were reviewed 100% and artifacts were removed as well as other edits performed.",Dakota County,Dakota County,periodically revised,Periodically Revised,undefined,ArcGIS Server,-93.329853,-92.729236,44.923499,44.468748,,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2013_serv/metadata/preview.jpg,"[u'base map, imageryBaseMapsEarthCover, Digital Orthorectified Image, Ortho, Orthophoto, Air Photo, Air Photography, Aerial Photo, Aerial Photography']","[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul,Dakota County']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2014_serv/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-base-aerialphotography-2014-serv,"Aerial Photography - 2014, Dakota County, Minnesota",Low level (6-inch) aerial photography for Dakota County flown in Spring 2014.,Dakota County,Dakota County,periodically revised,Periodically Revised,undefined,ArcGIS Server,-93.329853,-92.729236,44.923499,44.468748,,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2014_serv/metadata/preview.jpg,"[u'base map, imageryBaseMapsEarthCover, Digital Orthorectified Image, Ortho, Orthophoto, Air Photo, Air Photography, Aerial Photo, Aerial Photography']","[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul,Dakota County']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2015_serv/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-base-aerialphotography-2015-serv,"Aerial Photography - 2015, Dakota County, Minnesota",Low level (6-inch) aerial photography for Dakota County flown in Spring 2015.,Dakota County,Dakota County,periodically revised,Periodically Revised,undefined,ArcGIS Server,-93.329853,-92.729236,44.923499,44.468748,,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2015_serv/metadata/preview.jpg,"[u'base map, imageryBaseMapsEarthCover, Digital Orthorectified Image, Ortho, Orthophoto, Air Photo, Air Photography, Aerial Photo, Aerial Photography']","[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul,Dakota County']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2016_lfon/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-base-aerialphotography-2016-lfon,"Aerial Photography - 2016 Leaf-on, Dakota County, Minnesota","Ayres Associates provided Dakota County with low level (6-inch) digital, color orthoimagery services in 2016. The aerial imagery was collected on August 5th, 6th, 8th,13th, 14th, 16th, 17th, 22nd, and 25th using an Microsoft Vexcel UltraCam Falcon sensor mounted in a fixed-wing aircraft. Aerial imagery was collected to support 0.1524 meter ground sample distance (GSD) orthoimagery to meet ASPRS Class II horizontal accuracy specifications at 1"" = 100' map scale. The horizontal accuracy meets or exceeds 2.0 feet RMSE using the National Standard for Spatial Data Accuracy (NSSDA) standards. Resultant orthoimagery was rectified to a DEM surface created using 2011 Twin Cities Metro data as part of the Statewide Minnesota LiDAR program. Orthoimagery was delivered in PLSS section GeoTiff and MrSID tiles and a project-wide MrSID mosaic. The orthoimgery was delivered according to a section tile schematic.",Dakota County,Dakota County,periodically revised,Periodically Revised,undefined,ArcGIS Server,-93.329853,-92.729236,44.923499,44.468748,,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2016_lfon/metadata/preview.jpg,"[u'base map, imageryBaseMapsEarthCover, Digital Orthorectified Image, Ortho, Orthophoto, Air Photo, Air Photography, Aerial Photo, Aerial Photography']","[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul,Dakota County']"
['https://btaagdp.org/metadata/05a-01/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2016_serv/metadata/metadata.xml'],https://gisdata.mn.gov/dataset/us-mn-co-dakota-base-aerialphotography-2016-serv,"Aerial Photography - 2016, Dakota County, Minnesota",Low level (6-inch) aerial photography for Dakota County flown in Spring 2016.,Dakota County,Dakota County,periodically revised,Periodically Revised,undefined,ArcGIS Server,-93.329853,-92.729236,44.923499,44.468748,,ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_co_dakota/base_aerialphotography_2016_serv/metadata/preview.jpg,"[u'base map, imageryBaseMapsEarthCover, Digital Orthorectified Image, Ortho, Orthophoto, Air Photo, Air Photography, Aerial Photo, Aerial Photography']","[u'Apple Valley, Burnsville,Castle Rock Township,Coates,Douglas Township,Eagan,Empire Township,Farmington,Greenvale Township,Hampton,Hampton Township,Hastings,Inver Grove Heights,Lakeville,Lilydale,Marshan Township,Mendota, Mendota Heights,Miesville,New Trier,Nininger Township,Northfield,Randolph, Randolph Township, Ravenna Township,Rosemount,Sciota Township,South St Paul,Sunfish Lake,Vermillion, Vermillion Township,Waterford Township,West St Paul,Dakota County']"
